panel	row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1	10000	9502	0.975	0.09766187669243595	0.22689721886983835	-0.6310743834569387	-0.2167035845135434
1	2	1	10000	9510	0.975	0.09766187669243595	0.22689721886983835	-0.7163064524966559	-0.10244890164618208
1	3	1	10000	9523	0.975	0.09766187669243595	0.22689721886983835	-0.0503724805897221	0.12406013268248021
1	4	1	10000	9528	0.975	0.09766187669243595	0.22689721886983835	-0.041836048683708035	0.11165517107686507
1	1	2	10000	9505	0.975	0.5408339211930677	1.759441948479798	-0.6310743834569387	-0.2167035845135434
1	2	2	10000	9524	0.975	0.5408339211930677	1.759441948479798	-0.7163064524966559	-0.10244890164618208
1	3	2	10000	9501	0.975	0.5408339211930677	1.759441948479798	-0.0503724805897221	0.12406013268248021
1	4	2	10000	9502	0.975	0.5408339211930677	1.759441948479798	-0.041836048683708035	0.11165517107686507
2	1	1	10000	9512	0.975	0.14635160669342512	0.4059204823121608	-2.367209437255665	-1.4984578654786902
2	2	1	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-1.4639378991589687	-0.012404955181948224
2	3	1	10000	9577	0.975	0.14635160669342512	0.4059204823121608	-0.033210927326251395	0.09696123062676562
2	4	1	10000	9587	0.975	0.14635160669342512	0.4059204823121608	-0.06830999479849467	0.030012707944704974
2	1	2	10000	9512	0.975	1.0309675382725123	4.531173967738242	-2.367209437255665	-1.4984578654786902
2	2	2	10000	9515	0.975	1.0309675382725123	4.531173967738242	-1.4639378991589687	-0.012404955181948224
2	3	2	10000	9503	0.975	1.0309675382725123	4.531173967738242	-0.033210927326251395	0.09696123062676562
2	4	2	10000	9508	0.975	1.0309675382725123	4.531173967738242	-0.06830999479849467	0.030012707944704974
