row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	953	0.975	-2.669799451851567	-0.4759749043950612	-54.62858347178144	53.68179054254857
2	1	1000	949	0.975	-1.435427954242825	0.016171114139295634	-32.663513840281354	40.74607078493861
3	1	1000	969	0.975	-2.0639870813398247	2.359276561182958	-2.3089984255873235	2.247544139344691
4	1	1000	970	0.975	-2.0714804814376864	2.138845913177616	-2.1608183980075895	2.083159564157234
1	2	1000	951	0.975	-2.244060493397651	-1.5023295330596809	-23.787919050989636	29.022686054406357
2	2	1000	951	0.975	-1.459999697321952	-0.05893384074928937	-22.285817187770096	23.038489045391373
3	2	1000	971	0.975	-2.2594457101826935	2.29389229669394	-2.405723322147972	2.3255376350632604
4	2	1000	969	0.975	-2.2413204406697274	2.3859699177363343	-2.569656663103327	2.330168609163346
1	3	1000	950	0.975	-2.39383433310547	-1.508051973328282	-23.017051361473566	27.58653733882837
2	3	1000	951	0.975	-1.46078544606564	-0.05581669180924703	-22.211988272314848	20.913620335522616
3	3	1000	968	0.975	-2.1206726529373845	2.3677322246136003	-2.429439883570814	2.2567699848387304
4	3	1000	968	0.975	-2.044119007252929	2.0648038999005944	-2.2351844616651277	2.066649684256177
