row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	949	0.975	-1.5566003450132397	-0.2084835635963958	-151.40766991192356	139.0277757163782
2	1	1000	951	0.975	-1.703915043132969	-0.12946443004247174	-220.01480894682373	212.7730674712823
3	1	1000	948	0.975	-1.352270876829055	2.399888783725091	-13.864456192577272	15.064019920950743
4	1	1000	948	0.975	-1.4330777577888623	2.44252688180473	-12.252556128771268	14.529037151884836
1	2	1000	949	0.975	-0.6450638753008506	-0.20732326033078885	-213.3656828785806	194.32301252526838
2	2	1000	949	0.975	-0.7162700504405948	-0.09691922585653455	-304.9550476266495	288.1585975161796
3	2	1000	949	0.975	-0.6396349348837391	1.2122663647356278	-26.19830928133429	24.98597300911378
4	2	1000	948	0.975	-0.7078405067303017	1.360045206801452	-19.5871128340131	19.23183262647659
1	3	1000	950	0.975	-0.6411627202998913	-0.20107822871287512	-217.61946140297903	198.43460854382062
2	3	1000	949	0.975	-0.7557500325170885	-0.12065259516443905	-299.29433274902067	278.8846519200249
3	3	1000	950	0.975	-0.14657383546417674	0.349711613770637	-73.0208493949471	66.34578867614954
4	3	1000	952	0.975	-0.15471709339827094	0.3193747986935226	-73.27151958078682	59.462369883205625
