panel	row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1	10000	9502	0.975	0.09766187669243595	0.22689721886983835	-0.6310743834569387	-0.2167035845135434
1	2	1	10000	9510	0.975	0.09766187669243595	0.22689721886983835	-0.7163064524966559	-0.10244890164618208
1	3	1	10000	9506	0.975	0.09766187669243595	0.22689721886983835	-0.1648677421093573	0.3607083452560859
1	4	1	10000	9506	0.975	0.09766187669243595	0.22689721886983835	-0.19720791881535443	0.44769200572487455
1	1	2	10000	9505	0.975	0.5408339211930677	1.759441948479798	-0.6310743834569387	-0.2167035845135434
1	2	2	10000	9524	0.975	0.5408339211930677	1.759441948479798	-0.7163064524966559	-0.10244890164618208
1	3	2	10000	9503	0.975	0.5408339211930677	1.759441948479798	-0.1648677421093573	0.3607083452560859
1	4	2	10000	9503	0.975	0.5408339211930677	1.759441948479798	-0.19720791881535443	0.44769200572487455
2	1	1	10000	9512	0.975	0.14635160669342512	0.4059204823121608	-2.367209437255665	-1.4984578654786902
2	2	1	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-1.4639378991589687	-0.012404955181948224
2	3	1	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-2.0444194983310804	2.2721274487973657
2	4	1	10000	9504	0.975	0.14635160669342512	0.4059204823121608	-2.2023775006717043	2.1832417315866905
2	1	2	10000	9512	0.975	1.0309675382725123	4.531173967738242	-2.367209437255665	-1.4984578654786902
2	2	2	10000	9515	0.975	1.0309675382725123	4.531173967738242	-1.4639378991589687	-0.012404955181948224
2	3	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.0444194983310804	2.2721274487973657
2	4	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.2023775006717043	2.1832417315866905
