panel	row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1	10000	9511	0.975	0.10632540283567442	0.22626972054870678	-0.6310735638655621	-0.2148603041771227
1	2	1	10000	9507	0.975	0.10632540283567442	0.22626972054870678	-0.7384574579305141	-0.12380291901404945
1	3	1	10000	9503	0.975	0.10632540283567442	0.22626972054870678	-0.6464421528398682	1.2140632776569977
1	4	1	10000	9502	0.975	0.10632540283567442	0.22626972054870678	-0.7153098196699919	1.3749425572126777
1	1	2	10000	9513	0.975	0.5446381201883379	1.740563032497226	-0.6310735638655621	-0.2148603041771227
1	2	2	10000	9511	0.975	0.5446381201883379	1.740563032497226	-0.7384574579305141	-0.12380291901404945
1	3	2	10000	9507	0.975	0.5446381201883379	1.740563032497226	-0.6464421528398682	1.2140632776569977
1	4	2	10000	9504	0.975	0.5446381201883379	1.740563032497226	-0.7153098196699919	1.3749425572126777
2	1	1	10000	9505	0.975	0.15375628295177943	0.40886197734559493	-2.2945047436315726	-1.469969086274128
2	2	1	10000	9506	0.975	0.15375628295177943	0.40886197734559493	-1.4486042768998613	-0.02278676025290315
2	3	1	10000	9506	0.975	0.15375628295177943	0.40886197734559493	-2.2007862478946976	2.322760091124647
2	4	1	10000	9502	0.975	0.15375628295177943	0.40886197734559493	-2.249265535230301	2.1915769406780834
2	1	2	10000	9510	0.975	1.01764458986523	4.576290225427993	-2.2945047436315726	-1.469969086274128
2	2	2	10000	9509	0.975	1.01764458986523	4.576290225427993	-1.4486042768998613	-0.02278676025290315
2	3	2	10000	9505	0.975	1.01764458986523	4.576290225427993	-2.2007862478946976	2.322760091124647
2	4	2	10000	9504	0.975	1.01764458986523	4.576290225427993	-2.249265535230301	2.1915769406780834
