configuration	predictor	draw	basis	gradient	finite_difference	relative_error
NCP	mu	1	1	-3.701227120183784	-3.701227123988484	1.0279564012089945e-9
NCP	mu	1	2	-5.111579105500584	-5.1115791071230685	3.1741353025982565e-10
NCP	mu	1	19	-7.296526255943973	-7.296526253075496	3.931291289657637e-10
NCP	mu	1	20	4.349895343145467	4.349895344526183	3.1741361045932114e-10
NCP	mu	5000	1	-0.4829763316593859	-0.48297632986304956	1.7963363574402536e-9
NCP	mu	5000	2	-5.163102378968934	-5.163102384276377	1.0279562526786355e-9
NCP	mu	5000	19	3.464741265637225	3.4647412691988277	1.0279562874573897e-9
NCP	mu	5000	20	-1.2298214949656343	-1.2298214953559963	3.1741351616697885e-10
NCP	mu	10000	1	47.308344647942725	47.30834466295904	3.1741359502964443e-10
NCP	mu	10000	2	85.43900070704899	85.43900067346043	3.931291654170712e-10
NCP	mu	10000	19	2.424272031265809	2.424272030312757	3.93129090861893e-10
NCP	mu	10000	20	-1.781331153272654	-1.7813311525723605	3.9312924918805226e-10
NCP	log_sigma	1	1	8.599040840718846	8.599040849558286	1.0279564391421923e-9
NCP	log_sigma	1	2	13.560755208021568	13.560755241232425	2.449041795815612e-9
NCP	log_sigma	1	19	-0.3459607753474166	-0.34596077469473124	6.52685350210902e-10
NCP	log_sigma	1	20	-0.27609217045570383	-0.2760921702815722	1.7413165354085436e-10
NCP	log_sigma	5000	1	-5.717123459340997	-5.7171234449066475	2.52475739209421e-9
NCP	log_sigma	5000	2	-4.693744232440179	-4.693744237265142	1.0279562116893352e-9
NCP	log_sigma	5000	19	1.2893819667604771	1.2893819644212614	1.8142146938043952e-9
NCP	log_sigma	5000	20	0.028595581212699228	0.028595582080015444	8.67316215374947e-10
NCP	log_sigma	10000	1	-1.3021114786182129	-1.3021114744054914	3.235300182931199e-9
NCP	log_sigma	10000	2	-4.7413735247363835	-4.741373522872411	3.9312913822659106e-10
NCP	log_sigma	10000	19	1.2453724355582807	1.245372436838469	1.027956266880729e-9
NCP	log_sigma	10000	20	-0.4155111917421613	-0.4155111938075606	2.065399296036219e-9
Post-hoc	mu	1	1	35.04885174647397	35.04885173269525	3.9312911131192673e-10
Post-hoc	mu	1	2	32.89755431116097	32.89755429822798	3.9312910969536446e-10
Post-hoc	mu	1	19	7.658578421322334	7.658578423753271	3.174136367819758e-10
Post-hoc	mu	1	20	3.296804681908234	3.296804685297205	1.0279562208519567e-9
Post-hoc	mu	5000	1	-92.24934666013513	-92.24934668941633	3.174135882209753e-10
Post-hoc	mu	5000	2	-187.50011564120624	-187.50011556749448	3.9312914554262964e-10
Post-hoc	mu	5000	19	1.2272256424101977	1.2272256427997357	3.17413476368426e-10
Post-hoc	mu	5000	20	0.48969512593220244	0.489695125338585	5.936174329868038e-10
Post-hoc	mu	10000	1	-165.8601003601234	-165.86010064847102	1.73849901639687e-9
Post-hoc	mu	10000	2	-307.8708474550106	-307.8708471152222	1.1036719361478862e-9
Post-hoc	mu	10000	19	0.9171996675808662	0.9171996680379378	4.570716027885169e-10
Post-hoc	mu	10000	20	5.264499234407482	5.264499239819157	1.0279563755571607e-9
Post-hoc	log_sigma	1	1	-4.043879683002031	-4.0438796842856135	3.174135310874136e-10
Post-hoc	log_sigma	1	2	-12.165766407013699	-12.165766419519576	1.0279563822193395e-9
Post-hoc	log_sigma	1	19	-1.5972455919114232	-1.5972455924184106	3.1741351709805303e-10
Post-hoc	log_sigma	1	20	-0.7280429322589076	-0.7280429322520375	6.870060076380469e-12
Post-hoc	log_sigma	5000	1	-10.86795604035697	-10.867956059250902	1.738499096086902e-9
Post-hoc	log_sigma	5000	2	2.4746685081796858	2.4746685107235367	1.027956229002306e-9
Post-hoc	log_sigma	5000	19	0.017397058196776855	0.01739706121384188	3.0170650248961817e-9
Post-hoc	log_sigma	5000	20	-0.6806259030277462	-0.6806259051472806	2.1195344368507563e-9
Post-hoc	log_sigma	10000	1	17.469442084167145	17.46944210212497	1.0279563357554185e-9
Post-hoc	log_sigma	10000	2	11.087771555447148	11.087771582601563	2.449041763638093e-9
Post-hoc	log_sigma	10000	19	-0.3861118593158788	-0.3861118571535371	2.1623417501004383e-9
Post-hoc	log_sigma	10000	20	-1.248106763199834	-1.2481067627091667	3.931292570858547e-10
Online	mu	1	1	-122.23518037450035	-122.23518050015277	1.0279562695404898e-9
Online	mu	1	2	-127.96100152703477	-127.96100147672958	3.9312906860006656e-10
