predictor	basis	centeredness
mu	1	1.0
mu	2	0.9
mu	3	0.8
mu	4	0.9
mu	5	0.7
mu	6	0.8
mu	7	0.8
mu	8	0.6
mu	9	0.7
mu	10	0.6
mu	11	0.7
mu	12	0.6
mu	13	0.8
mu	14	0.7
mu	15	0.6
mu	16	0.7
mu	17	0.7
mu	18	0.6
mu	19	0.6
mu	20	0.6
log_sigma	1	0.9
log_sigma	2	1.0
log_sigma	3	0.8
log_sigma	4	0.8
log_sigma	5	0.7
log_sigma	6	0.5
log_sigma	7	0.6
log_sigma	8	0.6
log_sigma	9	0.5
log_sigma	10	0.3
log_sigma	11	0.2
log_sigma	12	0.2
log_sigma	13	0.1
log_sigma	14	0.1
log_sigma	15	0.1
log_sigma	16	0.0
log_sigma	17	0.0
log_sigma	18	0.0
log_sigma	19	0.0
log_sigma	20	0.0
