package	version	tree_hash	source	git_sha
ADTypes	1.24.0	629de23e1c16911b439dabd2303c08af9575b226	/home/n/.julia/packages/ADTypes/0z2Sm	
AbstractFFTs	1.5.0	d92ad398961a3ed262d8bf04a1a2b8340f915fef	/home/n/.julia/packages/AbstractFFTs/4iQz5	
AbstractMCMC	5.16.0	328c7d50f307c66308a915abb20d9889e5aab48b	/home/n/.julia/packages/AbstractMCMC/NK6XN	
AbstractPPL	0.15.5	31fb177c9952267ac2dc54a44868cb768390e6ef	/home/n/.julia/packages/AbstractPPL/Kuf2H	
AbstractTrees	0.4.5	2d9c9a55f9c93e8887ad391fbae72f8ef55e1177	/home/n/.julia/packages/AbstractTrees/Ftf8W	
Accessors	0.1.45	7063ad1083578215c7c4bf410368150abe8d5524	/home/n/.julia/packages/Accessors/e7kZq	
Adapt	4.7.0	daa72978cd7a624246e894a4f4f067706d4e17e2	/home/n/.julia/packages/Adapt/YzfDi	
AdaptivePredicates	1.2.0	7e651ea8d262d2d74ce75fdf47c4d63c07dba7a6	/home/n/.julia/packages/AdaptivePredicates/rvPuS	
AdvancedHMC	0.8.7	230bc5a3a9cd4e2ddb9c7cb1e00f330c88f04e03	/home/n/.julia/packages/AdvancedHMC/db2kL	
AdvancedMH	0.8.10	62ddbccf0ce5c26f8ef3cebe4bedef6b1599d616	/home/n/.julia/packages/AdvancedMH/IkIeT	
AdvancedPS	0.7.2	d92dd3fb4cc2748860ae8d5dd1d324cf0715a53b	/home/n/.julia/packages/AdvancedPS/ZHu61	
AdvancedVI	0.7.0	fc42c29943eae508fd28ec620d1faa4d2c1ce044	/home/n/.julia/packages/AdvancedVI/BGKMH	
AlgebraOfGraphics	0.13.2	88b1f363a4c69268ab705bcb5a049768a367bed9	/home/n/.julia/packages/AlgebraOfGraphics/HY7hU	
AlgebraOfVega	0.2.0	nothing	/home/n/github/nsiccha/AlgebraOfVega.jl	412422660d859a468b8357a11527ff0033e0881c
AliasTables	1.1.3	9876e1e164b144ca45e9e3198d0b689cadfed9ff	/home/n/.julia/packages/AliasTables/N6kwW	
Animations	0.4.2	e092fa223bf66a3c41f9c022bd074d916dc303e7	/home/n/.julia/packages/Animations/OGXDY	
ArgCheck	2.5.0	f9e9a66c9b7be1ad7372bbd9b062d9230c30c5ce	/home/n/.julia/packages/ArgCheck/DaoPJ	
ArgTools	1.1.1	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/ArgTools	
ArrayInterface	7.30.2	1aec1ff0dcaa83a484e7f72097562fa3102c6722	/home/n/.julia/packages/ArrayInterface/TT5ip	
Artifacts	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Artifacts	
Automa	1.2.0	94eab0b3ccdcac361188cc661daf69d4433c1818	/home/n/.julia/packages/Automa/fzRJn	
AxisAlgorithms	1.1.0	01b8ccb13d68535d73d2b0c23e39bd23155fb712	/home/n/.julia/packages/AxisAlgorithms/08cuY	
AxisArrays	0.4.8	4126b08903b777c88edf1754288144a0492c05ad	/home/n/.julia/packages/AxisArrays/gTmxS	
BangBang	0.4.9	cceb62468025be98d42a5dc581b163c20896b040	/home/n/.julia/packages/BangBang/ZEWNl	
Base64	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Base64	
BaseDirs	1.4.0	8c290a1b223deaeea9aea44b235d24546da8eb98	/home/n/.julia/packages/BaseDirs/xcQ4N	
BayesianRegressionModels	0.2.1	nothing	/home/n/.local/state/kb-agents-worktrees/BayesianRegressionModels-docs-adaptive-centering	6fa5ad1e191d1812b86a1c7b9eb9fa413c1d7bc4
Bijectors	0.16.3	a58fb73182f07a5a561bfadbe40efb9c6c892853	/home/n/.julia/packages/Bijectors/6t7LY	
BitFlags	0.1.10	bbe1079eecf9c9fbb52765193ad2bae27ae09bc8	/home/n/.julia/packages/BitFlags/84icQ	
BridgeStan	2.9.0	3037ad381e5595495008cf529c7adb7146b689ac	/home/n/.julia/packages/BridgeStan/lLxtM	
Bzip2_jll	1.0.9+0	1b96ea4a01afe0ea4090c5c8039690672dd13f2e	/home/n/.julia/packages/Bzip2_jll/eIOLw	
CEnum	0.5.0	389ad5c84de1ae7cf0e28e381131c98ea87d54fc	/home/n/.julia/packages/CEnum/B6ahP	
CRC32c	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/CRC32c	
CRlibm	1.0.2	66188d9d103b92b6cd705214242e27f5737a1e5e	/home/n/.julia/packages/CRlibm/A3Rgc	
CRlibm_jll	1.0.1+0	e329286945d0cfc04456972ea732551869af1cfc	/home/n/.julia/packages/CRlibm_jll/0eQYo	
Cairo_jll	1.18.7+0	1fa950ebc3e37eccd51c6a8fe1f92f7d86263522	/home/n/.julia/packages/Cairo_jll/qZ5M2	
CategoricalArrays	1.1.1	20ff1463035a170b25eba2ef9823bb9ad51635e4	/home/n/.julia/packages/CategoricalArrays/pvykx	
ChainRulesCore	1.26.1	12177ad6b3cad7fd50c8b3825ce24a99ad61c18f	/home/n/.julia/packages/ChainRulesCore/IZ7FD	
Chairmarks	1.3.1	9a49491e67e7a4d6f885c43d00bb101e6e5a434b	/home/n/.julia/packages/Chairmarks/yJzRJ	
ChangesOfVariables	0.1.11	83ee8183bd8c4a390ae178385e6c7b3aa4e468b2	/home/n/.julia/packages/ChangesOfVariables/BJUGr	
ChunkSplitters	3.2.0	1c52c8e2673edc030191177ff1aee42d25149acb	/home/n/.julia/packages/ChunkSplitters/5ciiA	
CodecZlib	0.7.9	970758a3d591a2a5c2a907c53f2e2f8c1b1d3537	/home/n/.julia/packages/CodecZlib/BjTS1	
CodecZstd	0.8.7	da54a6cd93c54950c15adf1d336cfd7d71f51a56	/home/n/.julia/packages/CodecZstd/dNeRy	
ColorBrewer	0.4.2	07da79661b919001e6863b81fc572497daa58349	/home/n/.julia/packages/ColorBrewer/Ic9lh	
ColorSchemes	3.31.0	b0fd3f56fa442f81e0a47815c92245acfaaa4e34	/home/n/.julia/packages/ColorSchemes/3BWhh	
ColorTypes	0.12.1	67e11ee83a43eb71ddc950302c53bf33f0690dfe	/home/n/.julia/packages/ColorTypes/L7biZ	
ColorVectorSpace	0.11.0	8b3b6f87ce8f65a2b4f857528fd8d70086cd72b1	/home/n/.julia/packages/ColorVectorSpace/JXxVe	
Colors	0.13.1	37ea44092930b1811e666c3bc38065d7d87fcc74	/home/n/.julia/packages/Colors/VFEJ1	
CommonSolve	0.2.14	6c389fa857f6ca5a95474b52a52023fd77f24cb7	/home/n/.julia/packages/CommonSolve/zocpq	
CommonSubexpressions	0.3.1	cda2cfaebb4be89c9084adaca7dd7333369715c5	/home/n/.julia/packages/CommonSubexpressions/nws5L	
Compat	4.18.1	9d8a54ce4b17aa5bdce0ea5c34bc5e7c340d16ad	/home/n/.julia/packages/Compat/FiBO2	
CompilerSupportLibraries_jll	1.1.1+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/CompilerSupportLibraries_jll	
CompositionsBase	0.1.2	802bb88cd69dfd1509f6670416bd4434015693ad	/home/n/.julia/packages/CompositionsBase/IN0VV	
