brm	original
hsgp_x_rho_iso	gp_loc_log_x_scale
hsgp_x_sigma	gp_loc_log_y_scale
hsgp_x_beta_partial.1	gp_loc_adaptive_weight.1
hsgp_x_beta_partial.2	gp_loc_adaptive_weight.2
hsgp_x_beta_partial.3	gp_loc_adaptive_weight.3
hsgp_x_beta_partial.4	gp_loc_adaptive_weight.4
hsgp_x_beta_partial.5	gp_loc_adaptive_weight.5
hsgp_x_beta_partial.6	gp_loc_adaptive_weight.6
hsgp_x_beta_partial.7	gp_loc_adaptive_weight.7
hsgp_x_beta_partial.8	gp_loc_adaptive_weight.8
hsgp_x_beta_partial.9	gp_loc_adaptive_weight.9
hsgp_x_beta_partial.10	gp_loc_adaptive_weight.10
hsgp_x_beta_partial.11	gp_loc_adaptive_weight.11
hsgp_x_beta_partial.12	gp_loc_adaptive_weight.12
hsgp_x_beta_partial.13	gp_loc_adaptive_weight.13
hsgp_x_beta_partial.14	gp_loc_adaptive_weight.14
hsgp_x_beta_partial.15	gp_loc_adaptive_weight.15
hsgp_x_beta_partial.16	gp_loc_adaptive_weight.16
hsgp_x_beta_partial.17	gp_loc_adaptive_weight.17
hsgp_x_beta_partial.18	gp_loc_adaptive_weight.18
hsgp_x_beta_partial.19	gp_loc_adaptive_weight.19
hsgp_x_beta_partial.20	gp_loc_adaptive_weight.20
hsgp_log_sigma_x_rho_iso	gp_log_scale_log_x_scale
hsgp_log_sigma_x_sigma	gp_log_scale_log_y_scale
hsgp_log_sigma_x_beta_partial.1	gp_log_scale_adaptive_weight.1
hsgp_log_sigma_x_beta_partial.2	gp_log_scale_adaptive_weight.2
hsgp_log_sigma_x_beta_partial.3	gp_log_scale_adaptive_weight.3
hsgp_log_sigma_x_beta_partial.4	gp_log_scale_adaptive_weight.4
hsgp_log_sigma_x_beta_partial.5	gp_log_scale_adaptive_weight.5
hsgp_log_sigma_x_beta_partial.6	gp_log_scale_adaptive_weight.6
hsgp_log_sigma_x_beta_partial.7	gp_log_scale_adaptive_weight.7
hsgp_log_sigma_x_beta_partial.8	gp_log_scale_adaptive_weight.8
hsgp_log_sigma_x_beta_partial.9	gp_log_scale_adaptive_weight.9
hsgp_log_sigma_x_beta_partial.10	gp_log_scale_adaptive_weight.10
hsgp_log_sigma_x_beta_partial.11	gp_log_scale_adaptive_weight.11
hsgp_log_sigma_x_beta_partial.12	gp_log_scale_adaptive_weight.12
hsgp_log_sigma_x_beta_partial.13	gp_log_scale_adaptive_weight.13
hsgp_log_sigma_x_beta_partial.14	gp_log_scale_adaptive_weight.14
hsgp_log_sigma_x_beta_partial.15	gp_log_scale_adaptive_weight.15
hsgp_log_sigma_x_beta_partial.16	gp_log_scale_adaptive_weight.16
hsgp_log_sigma_x_beta_partial.17	gp_log_scale_adaptive_weight.17
hsgp_log_sigma_x_beta_partial.18	gp_log_scale_adaptive_weight.18
hsgp_log_sigma_x_beta_partial.19	gp_log_scale_adaptive_weight.19
hsgp_log_sigma_x_beta_partial.20	gp_log_scale_adaptive_weight.20
