draw	original_value	brm_value	density_absolute_error	max_gradient_absolute_error
1	-90.95486278568899	-90.9548627856891	1.1368683772161603e-13	1.5774048733874224e-12
668	-80.80469955559357	-80.80469955559363	5.684341886080802e-14	2.913225216616411e-13
1334	-78.90519739515096	-78.90519739515098	1.4210854715202004e-14	2.0463630789890885e-12
2001	-84.2863435427165	-84.28634354271651	1.4210854715202004e-14	2.014388655879884e-12
2667	-88.3844327832775	-88.3844327832775	0.0	1.5205614545266144e-12
3334	-88.14970922631197	-88.14970922631197	0.0	5.258016244624741e-13
4001	-81.00224883519341	-81.00224883519347	5.684341886080802e-14	1.3642420526593924e-12
4667	-83.71172908729275	-83.71172908729278	2.842170943040401e-14	4.121147867408581e-12
5334	-90.48956351425076	-90.48956351425078	1.4210854715202004e-14	7.815970093361102e-13
6000	-87.62522883625971	-87.62522883625974	2.842170943040401e-14	1.7692514120426495e-12
6667	-82.67697124880593	-82.676971248806	7.105427357601002e-14	1.3002932064409833e-12
7334	-81.14270168312295	-81.14270168312297	1.4210854715202004e-14	1.4459544672718039e-12
8000	-82.18075786028882	-82.18075786028886	4.263256414560601e-14	4.952482868247898e-12
8667	-103.0303678096544	-103.03036780965434	5.684341886080802e-14	2.1103119252074976e-12
9333	-91.20884928132129	-91.20884928132125	4.263256414560601e-14	6.536993168992922e-13
10000	-87.32245291551553	-87.32245291551558	5.684341886080802e-14	3.495870259939693e-12
