frame	predictor	basis	candidate	loss	baseline	absolute_difference
NCP	mu	1	0.0	-0.04911112046392913	-0.04911112046392913	0.0
NCP	mu	1	0.1	-0.05407656730583795	-0.05407656730583795	0.0
NCP	mu	1	0.2	-0.05944417159250994	-0.05944417159250994	0.0
NCP	mu	1	0.3	-0.06521419932777825	-0.06521419932777825	0.0
NCP	mu	1	0.4	-0.07135086143231231	-0.07135086143231231	0.0
NCP	mu	1	0.5	-0.07775639458384002	-0.07775639458384002	0.0
NCP	mu	1	0.6	-0.08423649410406961	-0.08423649410406961	0.0
NCP	mu	1	0.7	-0.0904640587779924	-0.0904640587779924	0.0
NCP	mu	1	0.8	-0.09596172399324711	-0.09596172399324711	0.0
NCP	mu	1	0.9	-0.10013893036272746	-0.10013893036272746	0.0
NCP	mu	1	1.0	-0.10241529541771319	-0.10241529541771319	0.0
NCP	mu	2	0.0	-0.039355056963390166	-0.039355056963390166	0.0
NCP	mu	2	0.1	-0.042125537614557375	-0.042125537614557375	0.0
NCP	mu	2	0.2	-0.04493027417864548	-0.04493027417864548	0.0
NCP	mu	2	0.3	-0.0477219891804512	-0.0477219891804512	0.0
NCP	mu	2	0.4	-0.05043543212314984	-0.05043543212314984	0.0
NCP	mu	2	0.5	-0.05298574957856826	-0.05298574957856826	0.0
NCP	mu	2	0.6	-0.05526984052233993	-0.05526984052233993	0.0
NCP	mu	2	0.7	-0.05717244731067755	-0.05717244731067755	0.0
NCP	mu	2	0.8	-0.05857805522497006	-0.05857805522497006	0.0
NCP	mu	2	0.9	-0.05938777086803834	-0.05938777086803834	0.0
NCP	mu	2	1.0	-0.05953758596637524	-0.05953758596637524	0.0
NCP	mu	3	0.0	-0.055075384517596075	-0.055075384517596075	0.0
NCP	mu	3	0.1	-0.056567472327280086	-0.056567472327280086	0.0
NCP	mu	3	0.2	-0.05785623585618969	-0.05785623585618969	0.0
NCP	mu	3	0.3	-0.0589187256850323	-0.0589187256850323	0.0
NCP	mu	3	0.4	-0.05973478574513687	-0.05973478574513687	0.0
NCP	mu	3	0.5	-0.06028771386965921	-0.06028771386965921	0.0
NCP	mu	3	0.6	-0.060564848530649765	-0.060564848530649765	0.0
NCP	mu	3	0.7	-0.06055804543226721	-0.06055804543226721	0.0
NCP	mu	3	0.8	-0.060264011332574544	-0.060264011332574544	0.0
NCP	mu	3	0.9	-0.05968446977716794	-0.05968446977716794	0.0
NCP	mu	3	1.0	-0.05882614383744281	-0.05882614383744281	0.0
NCP	mu	4	0.0	-0.059982013760959144	-0.059982013760959144	0.0
NCP	mu	4	0.1	-0.06323849859845061	-0.06323849859845061	0.0
NCP	mu	4	0.2	-0.06638796227754011	-0.06638796227754011	0.0
NCP	mu	4	0.3	-0.0693453984932819	-0.0693453984932819	0.0
NCP	mu	4	0.4	-0.07201222231564497	-0.07201222231564497	0.0
NCP	mu	4	0.5	-0.07428070661863999	-0.07428070661863999	0.0
NCP	mu	4	0.6	-0.07604182029005709	-0.07604182029005709	0.0
NCP	mu	4	0.7	-0.07719620138894005	-0.07719620138894005	0.0
NCP	mu	4	0.8	-0.07766679709108755	-0.07766679709108755	0.0
NCP	mu	4	0.9	-0.07741053034982953	-0.07741053034982953	0.0
NCP	mu	4	1.0	-0.07642588639043418	-0.07642588639043418	0.0
NCP	mu	5	0.0	-0.058408829010298605	-0.058408829010298605	0.0
NCP	mu	5	0.1	-0.059772189621331594	-0.059772189621331594	0.0
NCP	mu	5	0.2	-0.06096003281349365	-0.06096003281349365	0.0
NCP	mu	5	0.3	-0.06195738428302791	-0.06195738428302791	0.0
NCP	mu	5	0.4	-0.06275130161046684	-0.06275130161046684	0.0
NCP	mu	5	0.5	-0.06333129663701788	-0.06333129663701788	0.0
NCP	mu	5	0.6	-0.06368970299256486	-0.06368970299256486	0.0
NCP	mu	5	0.7	-0.06382196458186484	-0.06382196458186484	0.0
NCP	mu	5	0.8	-0.06372682445016913	-0.06372682445016913	0.0
NCP	mu	5	0.9	-0.06340639937879254	-0.06340639937879254	0.0
NCP	mu	5	1.0	-0.0628661332564882	-0.0628661332564882	0.0
NCP	mu	6	0.0	-0.029886615745896537	-0.029886615745896537	0.0
NCP	mu	6	0.1	-0.03129669389385087	-0.03129669389385087	0.0
NCP	mu	6	0.2	-0.032603013102783185	-0.032603013102783185	0.0
NCP	mu	6	0.3	-0.033775541618793564	-0.033775541618793564	0.0
NCP	mu	6	0.4	-0.03478367949666465	-0.03478367949666465	0.0
NCP	mu	6	0.5	-0.03559761889709058	-0.03559761889709058	0.0
NCP	mu	6	0.6	-0.036189979175030335	-0.036189979175030335	0.0
NCP	mu	6	0.7	-0.036537591369000685	-0.036537591369000685	0.0
NCP	mu	6	0.8	-0.03662324208173037	-0.03662324208173037	0.0
NCP	mu	6	0.9	-0.03643714635309296	-0.03643714635309296	0.0
NCP	mu	6	1.0	-0.03597792260308421	-0.03597792260308421	0.0
NCP	mu	7	0.0	-0.03065148623896791	-0.03065148623896791	0.0
NCP	mu	7	0.1	-0.0312934808361636	-0.0312934808361636	0.0
NCP	mu	7	0.2	-0.0318510923544111	-0.0318510923544111	0.0
NCP	mu	7	0.3	-0.03231500960293414	-0.03231500960293414	0.0
NCP	mu	7	0.4	-0.032676786709932126	-0.032676786709932126	0.0
NCP	mu	7	0.5	-0.03292911289045848	-0.03292911289045848	0.0
NCP	mu	7	0.6	-0.033066065022280565	-0.033066065022280565	0.0
NCP	mu	7	0.7	-0.03308332733631357	-0.03308332733631357	0.0
NCP	mu	7	0.8	-0.03297836321196951	-0.03297836321196951	0.0
NCP	mu	7	0.9	-0.03275052637713021	-0.03275052637713021	0.0
NCP	mu	7	1.0	-0.03240110263423064	-0.03240110263423064	0.0
NCP	mu	8	0.0	-0.05107842174950107	-0.05107842174950107	0.0
NCP	mu	8	0.1	-0.052314891365015395	-0.052314891365015395	0.0
NCP	mu	8	0.2	-0.053397387661582224	-0.053397387661582224	0.0
NCP	mu	8	0.3	-0.054314355130460214	-0.054314355130460214	0.0
NCP	mu	8	0.4	-0.05505587018407006	-0.05505587018407006	0.0
NCP	mu	8	0.5	-0.055613914132513285	-0.055613914132513285	0.0
NCP	mu	8	0.6	-0.055982606470966784	-0.055982606470966784	0.0
NCP	mu	8	0.7	-0.05615838532433676	-0.05615838532433676	0.0
NCP	mu	8	0.8	-0.05614012414667324	-0.05614012414667324	0.0
NCP	mu	8	0.9	-0.05592917708521359	-0.05592917708521359	0.0
NCP	mu	8	1.0	-0.055529349518213235	-0.055529349518213235	0.0
NCP	mu	9	0.0	-0.060017191356493325	-0.060017191356493325	0.0
NCP	mu	9	0.1	-0.06256802262107354	-0.06256802262107354	0.0
NCP	mu	9	0.2	-0.06490505554264242	-0.06490505554264242	0.0
NCP	mu	9	0.3	-0.06698853328167752	-0.06698853328167752	0.0
NCP	mu	9	0.4	-0.06878083768824474	-0.06878083768824474	0.0
NCP	mu	9	0.5	-0.07024836465198003	-0.07024836465198003	0.0
NCP	mu	9	0.6	-0.07136339280803443	-0.07136339280803443	0.0
NCP	mu	9	0.7	-0.07210575033265963	-0.07210575033265963	0.0
NCP	mu	9	0.8	-0.07246408331960501	-0.07246408331960501	0.0
NCP	mu	9	0.9	-0.07243656464892889	-0.07243656464892889	0.0
NCP	mu	9	1.0	-0.07203095093483088	-0.07203095093483088	0.0
NCP	mu	10	0.0	-0.057314608820554835	-0.057314608820554835	0.0
NCP	mu	10	0.1	-0.057923407380719924	-0.057923407380719924	0.0
NCP	mu	10	0.2	-0.05842694361558453	-0.05842694361558453	0.0
NCP	mu	10	0.3	-0.058822049810143016	-0.058822049810143016	0.0
NCP	mu	10	0.4	-0.059106138027843015	-0.059106138027843015	0.0
NCP	mu	10	0.5	-0.05927722695181841	-0.05927722695181841	0.0
NCP	mu	10	0.6	-0.05933396335947696	-0.05933396335947696	0.0
NCP	mu	10	0.7	-0.05927563800388265	-0.05927563800388265	0.0
NCP	mu	10	0.8	-0.05910219573033297	-0.05910219573033297	0.0
NCP	mu	10	0.9	-0.05881423971192009	-0.05881423971192009	0.0
NCP	mu	10	1.0	-0.058413029743576504	-0.058413029743576504	0.0
NCP	mu	11	0.0	-0.07835449656786704	-0.07835449656786704	0.0
NCP	mu	11	0.1	-0.08085190675243983	-0.08085190675243983	0.0
NCP	mu	11	0.2	-0.0830611260002053	-0.0830611260002053	0.0
NCP	mu	11	0.3	-0.08493571509009194	-0.08493571509009194	0.0
NCP	mu	11	0.4	-0.0864343134459241	-0.0864343134459241	0.0
NCP	mu	11	0.5	-0.08752327323921809	-0.08752327323921809	0.0
NCP	mu	11	0.6	-0.08817897820353815	-0.08817897820353815	0.0
NCP	mu	11	0.7	-0.08838953739188672	-0.08838953739188672	0.0
