brm	original
hsgp_x_rho_iso	gp_loc_log_x_scale
hsgp_x_sigma	gp_loc_log_y_scale
hsgp_x_beta_raw.1	gp_loc_unit_weight.1
hsgp_x_beta_raw.2	gp_loc_unit_weight.2
hsgp_x_beta_raw.3	gp_loc_unit_weight.3
hsgp_x_beta_raw.4	gp_loc_unit_weight.4
hsgp_x_beta_raw.5	gp_loc_unit_weight.5
hsgp_x_beta_raw.6	gp_loc_unit_weight.6
hsgp_x_beta_raw.7	gp_loc_unit_weight.7
hsgp_x_beta_raw.8	gp_loc_unit_weight.8
hsgp_x_beta_raw.9	gp_loc_unit_weight.9
hsgp_x_beta_raw.10	gp_loc_unit_weight.10
hsgp_x_beta_raw.11	gp_loc_unit_weight.11
hsgp_x_beta_raw.12	gp_loc_unit_weight.12
hsgp_x_beta_raw.13	gp_loc_unit_weight.13
hsgp_x_beta_raw.14	gp_loc_unit_weight.14
hsgp_x_beta_raw.15	gp_loc_unit_weight.15
hsgp_x_beta_raw.16	gp_loc_unit_weight.16
hsgp_x_beta_raw.17	gp_loc_unit_weight.17
hsgp_x_beta_raw.18	gp_loc_unit_weight.18
hsgp_x_beta_raw.19	gp_loc_unit_weight.19
hsgp_x_beta_raw.20	gp_loc_unit_weight.20
hsgp_log_sigma_x_rho_iso	gp_log_scale_log_x_scale
hsgp_log_sigma_x_sigma	gp_log_scale_log_y_scale
hsgp_log_sigma_x_beta_raw.1	gp_log_scale_unit_weight.1
hsgp_log_sigma_x_beta_raw.2	gp_log_scale_unit_weight.2
hsgp_log_sigma_x_beta_raw.3	gp_log_scale_unit_weight.3
hsgp_log_sigma_x_beta_raw.4	gp_log_scale_unit_weight.4
hsgp_log_sigma_x_beta_raw.5	gp_log_scale_unit_weight.5
hsgp_log_sigma_x_beta_raw.6	gp_log_scale_unit_weight.6
hsgp_log_sigma_x_beta_raw.7	gp_log_scale_unit_weight.7
hsgp_log_sigma_x_beta_raw.8	gp_log_scale_unit_weight.8
hsgp_log_sigma_x_beta_raw.9	gp_log_scale_unit_weight.9
hsgp_log_sigma_x_beta_raw.10	gp_log_scale_unit_weight.10
hsgp_log_sigma_x_beta_raw.11	gp_log_scale_unit_weight.11
hsgp_log_sigma_x_beta_raw.12	gp_log_scale_unit_weight.12
hsgp_log_sigma_x_beta_raw.13	gp_log_scale_unit_weight.13
hsgp_log_sigma_x_beta_raw.14	gp_log_scale_unit_weight.14
hsgp_log_sigma_x_beta_raw.15	gp_log_scale_unit_weight.15
hsgp_log_sigma_x_beta_raw.16	gp_log_scale_unit_weight.16
hsgp_log_sigma_x_beta_raw.17	gp_log_scale_unit_weight.17
hsgp_log_sigma_x_beta_raw.18	gp_log_scale_unit_weight.18
hsgp_log_sigma_x_beta_raw.19	gp_log_scale_unit_weight.19
hsgp_log_sigma_x_beta_raw.20	gp_log_scale_unit_weight.20
