arm	draws	min_bulk_ess	limiting_qoi	sampling_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	divergences	max_split_rhat	model	sampler	relative_sampling_efficiency	relative_total_efficiency
ordinary_ncp_native	2000	687.3172705184242	population_log_sat_slope	1815412	2459692	0.37860125994453275	0.2794322502648397	20	1.0017833308554647	brms NCP	Native Stan	1.0	1.0
ordinary_ncp_whmc	2000	541.9673711033796	group_sd_1	1304695	1351111	0.41539775281071795	0.4011271991001329	6	1.001525077907834	brms NCP	WHMC	1.0971906244357879	1.4355078868668645
s2z_cp_native	2000	382.2022229680084	region_1_total_intercept	562816	851478	0.6790891214322415	0.44886916980592384	0	1.0045753470024112	brms S2Z CP	Native Stan	1.7936789791236616	1.6063613608683163
s2z_cp_whmc	2000	816.3213840707626	region_1_total_slope	26192	30584	31.166821322188557	26.69112555815991	0	1.0029066291477222	brms S2Z CP	WHMC	82.32096566914403	95.51913042557777
s2z_ncp_native	2000	428.5302025673861	group_sd_1	1159260	1681113	0.3696584049888602	0.2549086245644321	37	1.0039857919023558	brms S2Z NCP	Native Stan	0.9763792255815981	0.9122376687831678
s2z_ncp_whmc	2000	271.5974373222957	group_sd_1	462483	485549	0.5872592880652818	0.559361541929436	60	1.0161827830337649	brms S2Z NCP	WHMC	1.5511287208904658	2.0017787545971717
s2z_auto_native	2000	405.84566041591006	region_1_total_slope	579692	883701	0.7001056775251514	0.4592567626560455	0	1.003328316547346	brms S2Z auto	Native Stan	1.8491900360493276	1.6435352834927683
s2z_auto_whmc	2000	312.1035638720663	region_1_total_intercept	150944	157936	2.067677839941079	1.9761394734073692	0	1.0058921924822688	brms S2Z auto	WHMC	5.461360166218163	7.071980673434895
total_ncp	2000	196.86320317441618	group_sd_2	901207	1178130	0.2184439348278655	0.16709803092563313	11	1.0207874812079099	BRM total NCP	WHMC	0.5769762489957608	0.597991215284783
total_cp	2000	1357.424300807802	group_sd_1	25256	27183	53.74660677889619	49.93651549894427	0	1.0019611924354463	BRM total CP	WHMC	141.96098234530538	178.70705851459718
total_posthoc_position	2000	291.2127887173102	region_4_total_slope	33568	1215894	8.675309482760673	0.2395050791576488	0	1.0048252198388128	BRM total post-hoc position	WHMC	22.91410621304233	0.857113232029056
total_posthoc_gradient	2000	951.0700356566217	group_sd_2	20672	1202655	46.00764491372976	0.7908086988010873	2	1.0016712835196313	BRM total post-hoc gradient	WHMC	121.52005231168577	2.83005522108338
total_online_position	2000	259.5420327658814	region_6_total_slope	48056	53202	5.400824720448672	4.878426238973749	0	1.0056122293817005	BRM total online position	WHMC	14.265205354149968	17.458350760694533
total_online_gradient	2000	785.8700330829977	group_sd_1	15934	20137	49.32032340171945	39.02617237339215	0	1.003583420867027	BRM total online gradient	WHMC	130.26983430785506	139.66237732546622
