panel	column	draw	log_group_sd	coordinate
1: region 1 intercept, rho=0.80	1. CP	1	-0.08429967514358412	0.9347954380553074
1: region 1 intercept, rho=0.80	2. NCP	1	-0.08429967514358412	1.0170152567606643
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	1	-0.08429967514358412	0.947454288247042
1: region 1 intercept, rho=0.80	1. CP	2	-0.6438710137243167	1.266870648135831
1: region 1 intercept, rho=0.80	2. NCP	2	-0.6438710137243167	2.4119144670769654
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	2	-0.6438710137243167	1.4469539496887902
1: region 1 intercept, rho=0.80	1. CP	3	-0.2823069399581269	0.9527280684358449
1: region 1 intercept, rho=0.80	2. NCP	3	-0.2823069399581269	1.263494356459065
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	3	-0.2823069399581269	1.0069276323622758
1: region 1 intercept, rho=0.80	1. CP	4	-0.3089910747248933	0.8222547382058831
1: region 1 intercept, rho=0.80	2. NCP	4	-0.3089910747248933	1.119952241951902
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	4	-0.3089910747248933	0.8743326300011446
1: region 1 intercept, rho=0.80	1. CP	5	-0.4147542683388946	1.1114694289381777
1: region 1 intercept, rho=0.80	2. NCP	5	-0.4147542683388946	1.6827632233453658
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	5	-0.4147542683388946	1.205843679058455
1: region 1 intercept, rho=0.80	1. CP	6	0.09373277528238387	0.5324632947758241
1: region 1 intercept, rho=0.80	2. NCP	6	0.09373277528238387	0.4848216977928572
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	6	0.09373277528238387	0.5245859664071926
1: region 1 intercept, rho=0.80	1. CP	7	-0.12326550720363182	0.85971877880065
1: region 1 intercept, rho=0.80	2. NCP	7	-0.12326550720363182	0.9725007450202591
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	7	-0.12326550720363182	0.877772161168977
1: region 1 intercept, rho=0.80	1. CP	8	0.16274009513735713	0.74454474412853
1: region 1 intercept, rho=0.80	2. NCP	8	0.16274009513735713	0.6327230804287638
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	8	0.16274009513735713	0.7268437513321194
1: region 1 intercept, rho=0.80	1. CP	9	0.9588300239253791	0.21141888141419615
1: region 1 intercept, rho=0.80	2. NCP	9	0.9588300239253791	0.08104555156286172
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	9	0.9588300239253791	0.2003189251424935
1: region 1 intercept, rho=0.80	1. CP	10	0.2775155524437439	0.20212585158397614
1: region 1 intercept, rho=0.80	2. NCP	10	0.2775155524437439	0.15314343694653712
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	10	0.2775155524437439	0.2050371837161501
1: region 1 intercept, rho=0.80	1. CP	11	0.13130291481329973	1.3989630673553926
1: region 1 intercept, rho=0.80	2. NCP	11	0.13130291481329973	1.2268235890715844
1: region 1 intercept, rho=0.80	3. ACP (brms auto)	11	0.13130291481329973	1.3702305924656522
1: region 1 intercept, rho=0.80	1. CP	12	-0.0691638652267837	1.545432943739998
