arm	max_mean_difference_mcse	largest_difference	quantities_above_3mcse	invariant_min_ess	invariant_relative_sampling	invariant_relative_total
ordinary_ncp_native	1.596135221704925	region_6_total_slope	0	726.1167677200781	1.0	1.0
ordinary_ncp_whmc	1.2383173883570961	group_sd_1	0	541.9673711033796	1.0385630779378003	1.3588026147736099
s2z_auto_native	1.571451422414451	group_sd_1	0	405.84566041591006	1.750379972959473	1.5557142256856027
s2z_auto_whmc	3.5640491584079825	region_2_total_intercept	2	312.1035638720663	5.169536539624687	6.6940947650697185
s2z_cp_native	2.7427097940875744	region_6_total_intercept	0	382.2022229680084	1.6978351071391449	1.5205266633422536
s2z_cp_whmc	0.6684633759340061	population_intercept_at_mean_log_sat	0	816.3213840707626	77.92220748160591	90.41513834275018
s2z_ncp_native	1.5305193189019262	region_4_total_intercept	0	428.5302025673861	0.9242071442927241	0.86349294279601
s2z_ncp_whmc	2.5599377073927916	region_6_total_slope	0	271.5974373222957	1.4682453374718976	1.8948152293900733
total_cp	0.0	population_intercept_at_mean_log_sat	0	1357.424300807802	134.37540522863134	169.1579827667335
total_ncp	1.676638363974413	group_sd_2	0	196.86320317441618	0.5461459619764671	0.5660380095257336
total_online_gradient	1.975696851267028	residual_sd	0	785.8700330829977	123.30896479432243	132.19962441971765
total_online_position	1.7240539778202768	region_5_total_intercept	0	259.5420327658814	13.502954956108297	16.525477066547598
total_posthoc_gradient	1.3096664368084523	region_6_total_intercept	0	951.0700356566217	115.02672074406975	2.6788333728733122
total_posthoc_position	0.8754961407650828	residual_sd	0	291.2127887173102	21.689708375924656	0.8113140383924312
