arm	draws	min_bulk_ess	limiting_qoi	sampling_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	divergences	max_split_rhat	model	sampler	relative_sampling_efficiency	relative_total_efficiency
ordinary_ncp_native	2000	422.41566775175767	population_intercept_at_mean_log_sat	799353	1060905	0.52844696617359	0.39816540383140586	6	1.003003417318427	brms NCP	Native Stan	1.0	1.0
ordinary_ncp_whmc	2000	85.52141300825332	group_sd_1	106570	110573	0.8024905039715992	0.7734384796311334	68	1.0373705360732979	brms NCP	WHMC	1.51858285758043	1.942505481864086
s2z_cp_native	2000	816.465449223882	region_1_total_intercept	72128	117637	11.319674040925605	6.940549735405375	0	1.0016569108309363	brms S2Z CP	Native Stan	21.420643442973606	17.431322934184895
s2z_cp_whmc	2000	1783.4029847090476	population_intercept_at_mean_log_sat	14448	16068	123.43597623955202	110.99097490098627	0	1.0009000159940402	brms S2Z CP	WHMC	233.58252415248882	278.75594874129973
s2z_ncp_native	2000	244.5936874341249	group_sd_1	391932	603455	0.6240717456960005	0.4053221655867047	35	1.0019696845508126	brms S2Z NCP	Native Stan	1.1809543542558605	1.0179743435427384
s2z_ncp_whmc	2000	68.59472929037197	group_sd_1	28686	33426	2.391226706071672	2.052136938023454	22	1.0425112822529825	brms S2Z NCP	WHMC	4.525007917797708	5.153981029683797
s2z_auto_native	2000	1031.291624319046	region_1_total_intercept	61412	109652	16.79299850711662	9.40513282310442	0	1.0020114501561437	brms S2Z auto	Native Stan	31.778020467621108	23.621170329220295
s2z_auto_whmc	2000	1326.9608632682148	region_6_total_intercept	16592	17512	79.97594402532634	75.77437547214566	0	1.0019453860474523	brms S2Z auto	WHMC	151.34147633474154	190.3087881141743
total_ncp	2000	101.01501395708598	group_sd_1	54388	62909	1.8573033381827975	1.6057323110697355	6	1.0235930061917362	BRM total NCP	WHMC	3.5146447175792668	4.032827301464008
total_cp	2000	1058.352499675998	region_3_total_intercept	14424	16013	73.37441068191889	66.09333039880084	0	1.0016290292231211	BRM total CP	WHMC	138.84914736707196	165.99465891011107
total_posthoc_position	2000	1058.352499675998	region_3_total_intercept	14424	78922	73.37441068191889	13.410107443754567	0	1.0016290292231211	BRM total post-hoc position	WHMC	138.84914736707196	33.67974041620345
total_posthoc_gradient	2000	1058.352499675998	region_3_total_intercept	14424	78922	73.37441068191889	13.410107443754567	0	1.0016290292231211	BRM total post-hoc gradient	WHMC	138.84914736707196	33.67974041620345
total_online_position	2000	830.2951807827999	region_3_total_intercept	14698	16286	56.49035112143147	50.98214299292643	0	1.002701515867655	BRM total online position	WHMC	106.89880865523772	128.04262374968584
total_online_gradient	2000	830.2951807827999	region_3_total_intercept	14698	16286	56.49035112143147	50.98214299292643	0	1.002701515867655	BRM total online gradient	WHMC	106.89880865523772	128.04262374968584
