arm	recovery_seed	min_bulk_ess	limiting_qoi
total_cp	101	1058.352499675998	region_3_total_intercept
total_cp	102	1058.352499675998	region_3_total_intercept
total_cp	103	1058.352499675998	region_3_total_intercept
total_cp	104	1058.352499675998	region_3_total_intercept
total_cp	105	1058.352499675998	region_3_total_intercept
total_cp	106	1058.352499675998	region_3_total_intercept
total_cp	107	1058.352499675998	region_3_total_intercept
total_cp	108	1058.352499675998	region_3_total_intercept
total_cp	109	1058.352499675998	region_3_total_intercept
total_cp	110	1058.352499675998	region_3_total_intercept
total_ncp	101	101.01501395708598	group_sd_1
total_ncp	102	101.01501395708598	group_sd_1
total_ncp	103	101.01501395708598	group_sd_1
total_ncp	104	101.01501395708598	group_sd_1
total_ncp	105	101.01501395708598	group_sd_1
total_ncp	106	101.01501395708598	group_sd_1
total_ncp	107	101.01501395708598	group_sd_1
total_ncp	108	101.01501395708598	group_sd_1
total_ncp	109	101.01501395708598	group_sd_1
total_ncp	110	101.01501395708598	group_sd_1
total_online_gradient	101	830.2951807827999	region_3_total_intercept
total_online_gradient	102	830.2951807827999	region_3_total_intercept
total_online_gradient	103	830.2951807827999	region_3_total_intercept
total_online_gradient	104	830.2951807827999	region_3_total_intercept
total_online_gradient	105	830.2951807827999	region_3_total_intercept
total_online_gradient	106	830.2951807827999	region_3_total_intercept
total_online_gradient	107	830.2951807827999	region_3_total_intercept
total_online_gradient	108	830.2951807827999	region_3_total_intercept
total_online_gradient	109	830.2951807827999	region_3_total_intercept
total_online_gradient	110	830.2951807827999	region_3_total_intercept
total_online_position	101	830.2951807827999	region_3_total_intercept
total_online_position	102	830.2951807827999	region_3_total_intercept
total_online_position	103	830.2951807827999	region_3_total_intercept
total_online_position	104	830.2951807827999	region_3_total_intercept
total_online_position	105	830.2951807827999	region_3_total_intercept
total_online_position	106	830.2951807827999	region_3_total_intercept
total_online_position	107	830.2951807827999	region_3_total_intercept
total_online_position	108	830.2951807827999	region_3_total_intercept
total_online_position	109	830.2951807827999	region_3_total_intercept
total_online_position	110	830.2951807827999	region_3_total_intercept
total_posthoc_gradient	101	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	102	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	103	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	104	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	105	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	106	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	107	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	108	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	109	1058.352499675998	region_3_total_intercept
total_posthoc_gradient	110	1058.352499675998	region_3_total_intercept
total_posthoc_position	101	1058.352499675998	region_3_total_intercept
total_posthoc_position	102	1058.352499675998	region_3_total_intercept
total_posthoc_position	103	1058.352499675998	region_3_total_intercept
total_posthoc_position	104	1058.352499675998	region_3_total_intercept
total_posthoc_position	105	1058.352499675998	region_3_total_intercept
total_posthoc_position	106	1058.352499675998	region_3_total_intercept
total_posthoc_position	107	1058.352499675998	region_3_total_intercept
total_posthoc_position	108	1058.352499675998	region_3_total_intercept
total_posthoc_position	109	1058.352499675998	region_3_total_intercept
total_posthoc_position	110	1058.352499675998	region_3_total_intercept
