panel	column	draw	log_group_sd	coordinate
1: region 6 intercept, rho=0.99	1. CP	1	-0.7298091317648886	0.6287322962178751
1: region 6 intercept, rho=0.99	2. NCP	1	-0.7298091317648886	1.3044211989660566
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	1	-0.7298091317648886	0.6331174663068346
1: region 6 intercept, rho=0.99	1. CP	2	-0.17351510953554772	0.6202922642686198
1: region 6 intercept, rho=0.99	2. NCP	2	-0.17351510953554772	0.7378244107547688
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	2	-0.17351510953554772	0.6210513156611512
1: region 6 intercept, rho=0.99	1. CP	3	-0.8875747923136297	0.7194781489498926
1: region 6 intercept, rho=0.99	2. NCP	3	-0.8875747923136297	1.7477787035635968
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	3	-0.8875747923136297	0.7264287696914061
1: region 6 intercept, rho=0.99	1. CP	4	-0.22755208188544923	0.6987251737563469
1: region 6 intercept, rho=0.99	2. NCP	4	-0.22755208188544923	0.8772654061825147
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	4	-0.22755208188544923	0.6999067756576851
1: region 6 intercept, rho=0.99	1. CP	5	-0.5928103977157905	0.7034160336321623
1: region 6 intercept, rho=0.99	2. NCP	5	-0.5928103977157905	1.2725256583684175
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	5	-0.5928103977157905	0.7072957288350014
1: region 6 intercept, rho=0.99	1. CP	6	-0.7454293485278156	0.6757441824286649
1: region 6 intercept, rho=0.99	2. NCP	6	-0.7454293485278156	1.4240268178988675
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	6	-0.7454293485278156	0.6807690858820008
1: region 6 intercept, rho=0.99	1. CP	7	-0.7071484217937392	0.776832786534394
1: region 6 intercept, rho=0.99	2. NCP	7	-0.7071484217937392	1.5755718190066201
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	7	-0.7071484217937392	0.7821250444507185
1: region 6 intercept, rho=0.99	1. CP	8	-0.09981615235388075	0.5246188941058809
1: region 6 intercept, rho=0.99	2. NCP	8	-0.09981615235388075	0.5796869609582717
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	8	-0.09981615235388075	0.5249703256954735
1: region 6 intercept, rho=0.99	1. CP	9	-0.5312586071316141	0.604074579127649
1: region 6 intercept, rho=0.99	2. NCP	9	-0.5312586071316141	1.0275743181154233
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	9	-0.5312586071316141	0.6067748553514652
1: region 6 intercept, rho=0.99	1. CP	10	-0.7299084803526386	0.6381314008923196
1: region 6 intercept, rho=0.99	2. NCP	10	-0.7299084803526386	1.3240529127387113
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	10	-0.7299084803526386	0.6427070774503147
1: region 6 intercept, rho=0.99	1. CP	11	-0.4882332151046473	0.741672936419348
1: region 6 intercept, rho=0.99	2. NCP	11	-0.4882332151046473	1.208507703555511
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	11	-0.4882332151046473	0.7447241703786832
1: region 6 intercept, rho=0.99	1. CP	12	-0.14224110917849478	0.7966931078185127
1: region 6 intercept, rho=0.99	2. NCP	12	-0.14224110917849478	0.9184712972870595
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	12	-0.14224110917849478	0.797542110887327
1: region 6 intercept, rho=0.99	1. CP	13	-0.5094046241058584	0.7772680092920227
1: region 6 intercept, rho=0.99	2. NCP	13	-0.5094046241058584	1.2936071601479204
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	13	-0.5094046241058584	0.7808797163517852
1: region 6 intercept, rho=0.99	1. CP	14	-0.357141310140058	0.6149645963298049
1: region 6 intercept, rho=0.99	2. NCP	14	-0.357141310140058	0.8789306598850761
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	14	-0.357141310140058	0.6166340491105434
1: region 6 intercept, rho=0.99	1. CP	15	-0.8081806001258138	0.6969777470501257
1: region 6 intercept, rho=0.99	2. NCP	15	-0.8081806001258138	1.563893905770613
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	15	-0.8081806001258138	0.7028431885687988
1: region 6 intercept, rho=0.99	1. CP	16	-0.42066950369656053	0.5664670496144186
1: region 6 intercept, rho=0.99	2. NCP	16	-0.42066950369656053	0.8627184719366601
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	16	-0.42066950369656053	0.5683323228684294
1: region 6 intercept, rho=0.99	1. CP	17	-0.7107948015021298	0.7626928339825247
1: region 6 intercept, rho=0.99	2. NCP	17	-0.7107948015021298	1.5525440314328194
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	17	-0.7107948015021298	0.7679232654766839
1: region 6 intercept, rho=0.99	1. CP	18	0.11392364081536793	0.49761145399973716
1: region 6 intercept, rho=0.99	2. NCP	18	0.11392364081536793	0.44403168337229126
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	18	0.11392364081536793	0.49729718252044314
1: region 6 intercept, rho=0.99	1. CP	19	-0.8011223577592074	0.8296224260362548
1: region 6 intercept, rho=0.99	2. NCP	19	-0.8011223577592074	1.8484321026642399
1: region 6 intercept, rho=0.99	3. ACP (brms auto)	19	-0.8011223577592074	0.8367605240915346
1: region 6 intercept, rho=0.99	1. CP	20	-0.8632378121008448	0.7543845251517247
1: region 6 intercept, rho=0.99	2. NCP	20	-0.8632378121008448	1.7885133632234569
