arm	group	id	centeredness
Post-hoc position	School effects	1	0.01
Post-hoc position	School effects	2	0.06
Post-hoc position	School effects	3	0.03
Post-hoc position	School effects	4	0.05
Post-hoc position	School effects	5	0.06
Post-hoc position	School effects	6	0.05
Post-hoc position	School effects	7	0.03
Post-hoc position	School effects	8	0.02
Post-hoc gradient	School effects	1	0.02
Post-hoc gradient	School effects	2	0.07
Post-hoc gradient	School effects	3	0.03
Post-hoc gradient	School effects	4	0.06
Post-hoc gradient	School effects	5	0.08
Post-hoc gradient	School effects	6	0.06
Post-hoc gradient	School effects	7	0.05
Post-hoc gradient	School effects	8	0.03
Online position	School effects	1	0.0
Online position	School effects	2	0.0
Online position	School effects	3	0.1
Online position	School effects	4	0.1
Online position	School effects	5	0.1
Online position	School effects	6	0.0
Online position	School effects	7	0.0
Online position	School effects	8	0.0
Online gradient	School effects	1	0.0
Online gradient	School effects	2	0.1
Online gradient	School effects	3	0.0
Online gradient	School effects	4	0.0
Online gradient	School effects	5	0.1
Online gradient	School effects	6	0.1
Online gradient	School effects	7	0.0
Online gradient	School effects	8	0.0
