qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.9215272920643133	0.9063882847159243	166.8721498172109	84.89093478629219	1.0001756998812015
theta[1]	6.220159708692628	5.589258606026234	4642.758929440876	2639.8318889615625	1.00043954835188
theta[2]	5.013626906681716	4.730417134245771	7833.728276419897	4804.390707824416	0.9999803673038576
theta[3]	3.9753437065396806	5.233815552651133	6525.692257002403	3926.6842952220886	1.0002468216545728
theta[4]	4.823462449821896	4.787461823614914	8033.895883015174	4812.765177551153	1.0003167268945528
theta[5]	3.701679512299602	4.657295399637622	5029.10732009756	4293.904097908454	0.9999079776990483
theta[6]	4.102337515529772	4.815251330829263	6064.8042443077065	3909.4780253685317	1.0000123379557588
theta[7]	6.3522089535715915	5.02367848400796	3199.708846418325	3181.7085954949152	1.0003852578944992
theta[8]	4.967230227964267	5.412886232040825	6080.195286713357	3344.68743642569	1.0006723774624258
mu	4.440969340821558	3.299136408946808	5470.667445385417	5560.236127007824	1.000251500639447
