qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.7957924124419116	1.2034376401101303	4839.400320780729	3564.942558714608	1.0003331142453622
theta[1]	6.351742625437476	5.7234725312966015	11654.532552079945	7076.184406912599	1.0000424028991743
theta[2]	4.980608361442269	4.679498392542751	13244.847010962467	7371.914012902236	0.9999331283250043
theta[3]	3.962136199938833	5.180587055475798	10887.331671799633	7039.203392635791	0.9999350990502555
theta[4]	4.723921949895058	4.753393662058226	12590.466548894277	7747.9472106779685	1.000553097822728
theta[5]	3.646633979762459	4.599356870629887	12200.914690522337	7744.29087765646	1.0006942315068605
theta[6]	4.075419533167148	4.864096238912476	12504.220056657334	7631.160697201635	1.000167689316774
theta[7]	6.3432491537798885	5.074232577899137	12133.512049639856	7318.564585643737	0.9999471594583578
theta[8]	4.891390524807239	5.343974094532988	12176.626299084342	6833.987448296728	1.000000111589806
mu	4.445110290864377	3.314799648945169	12787.935412625322	6972.372497670106	1.0010734128799128
