qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.8265474055083952	1.1219625709815637	5350.0713015294195	4071.335919394698	0.9999706548310167
theta[1]	6.1875283681878805	5.521860509235675	10543.037153219047	8008.610614361651	0.9999334804301205
theta[2]	4.962939894476079	4.756354847273338	12044.049898249163	7878.3019642384925	0.9999494317588057
theta[3]	3.8007271204258357	5.299582326118528	9763.079468709066	7966.564439885322	1.0001322955279726
theta[4]	4.755513517889691	4.826375873335886	10778.693846732276	7618.011565264329	1.000210699792616
theta[5]	3.627721293791666	4.588669918268511	10061.11996972783	7780.644725053138	1.0000377560074463
theta[6]	4.050409723101503	4.81104011145663	10617.715388736548	8215.858827996677	0.9999699301815755
theta[7]	6.318443709855259	5.122385801094345	10281.719307156696	7763.547153839609	0.9999090014627278
theta[8]	4.922911938041083	5.331886991505782	10502.892093133867	7807.632624472658	1.0005305286494846
mu	4.390373332430588	3.3349853458056926	9542.329717233517	7511.318917893977	1.0004488407418268
