qoi	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau	0.8075029727151353	1.160111582913343	5380.203333230999	3517.8694135275596	0.9999529614955666
theta[1]	6.1794768861617895	5.528066377946707	11455.295867787709	7652.702809602499	1.000069271179411
theta[2]	4.9223353614747145	4.619073281208275	12715.312632198376	7079.1772153486745	0.9999587671893304
theta[3]	3.935050211296615	5.185081043045391	12300.691104194762	7487.6381395521885	0.9999011370374676
theta[4]	4.738179729475212	4.8435276518123995	13660.388389884962	7661.477025671415	1.0000601230487771
theta[5]	3.620404634011355	4.620458831623036	13099.453890189034	8061.864711214372	0.9999176226043321
theta[6]	3.985865771812813	4.8373287004213505	12848.393278575397	7755.622321093349	0.999967751740753
theta[7]	6.311756089370064	5.0488511504009805	11233.566643653061	7772.2360927869595	1.0001336118047743
theta[8]	4.850390127575244	5.257292783067339	12868.123390921552	7980.288154245355	0.9999042632231933
mu	4.4098389151049044	3.3113793930846835	13567.23702381907	7154.61917880523	0.9999246082829334
