arm	group	id	centeredness
Post-hoc position	Mean GP	1	1.0
Post-hoc position	Mean GP	2	0.94
Post-hoc position	Mean GP	3	0.61
Post-hoc position	Mean GP	4	0.81
Post-hoc position	Mean GP	5	0.51
Post-hoc position	Mean GP	6	0.84
Post-hoc position	Mean GP	7	0.72
Post-hoc position	Mean GP	8	0.48
Post-hoc position	Mean GP	9	0.63
Post-hoc position	Mean GP	10	0.21
Post-hoc position	Mean GP	11	0.62
Post-hoc position	Mean GP	12	0.37
Post-hoc position	Mean GP	13	0.61
Post-hoc position	Mean GP	14	0.49
Post-hoc position	Mean GP	15	0.22
Post-hoc position	Mean GP	16	0.35
Post-hoc position	Mean GP	17	0.33
Post-hoc position	Mean GP	18	0.24
Post-hoc position	Mean GP	19	0.2
Post-hoc position	Mean GP	20	0.16
Post-hoc position	Log-SD GP	1	0.95
Post-hoc position	Log-SD GP	2	1.0
Post-hoc position	Log-SD GP	3	0.83
Post-hoc position	Log-SD GP	4	0.74
Post-hoc position	Log-SD GP	5	0.49
Post-hoc position	Log-SD GP	6	0.2
Post-hoc position	Log-SD GP	7	0.5
Post-hoc position	Log-SD GP	8	0.49
Post-hoc position	Log-SD GP	9	0.26
Post-hoc position	Log-SD GP	10	0.22
Post-hoc position	Log-SD GP	11	0.17
Post-hoc position	Log-SD GP	12	0.1
Post-hoc position	Log-SD GP	13	0.08
Post-hoc position	Log-SD GP	14	0.01
Post-hoc position	Log-SD GP	15	0.03
Post-hoc position	Log-SD GP	16	0.0
Post-hoc position	Log-SD GP	17	0.01
Post-hoc position	Log-SD GP	18	0.0
Post-hoc position	Log-SD GP	19	0.0
Post-hoc position	Log-SD GP	20	0.0
Post-hoc gradient	Mean GP	1	1.0
Post-hoc gradient	Mean GP	2	0.97
Post-hoc gradient	Mean GP	3	0.65
Post-hoc gradient	Mean GP	4	0.82
Post-hoc gradient	Mean GP	5	0.71
Post-hoc gradient	Mean GP	6	0.78
Post-hoc gradient	Mean GP	7	0.66
Post-hoc gradient	Mean GP	8	0.74
Post-hoc gradient	Mean GP	9	0.84
Post-hoc gradient	Mean GP	10	0.6
Post-hoc gradient	Mean GP	11	0.7
Post-hoc gradient	Mean GP	12	0.68
Post-hoc gradient	Mean GP	13	0.64
Post-hoc gradient	Mean GP	14	0.65
Post-hoc gradient	Mean GP	15	0.62
Post-hoc gradient	Mean GP	16	0.66
Post-hoc gradient	Mean GP	17	0.6
Post-hoc gradient	Mean GP	18	0.57
Post-hoc gradient	Mean GP	19	0.57
Post-hoc gradient	Mean GP	20	0.51
Post-hoc gradient	Log-SD GP	1	0.95
Post-hoc gradient	Log-SD GP	2	1.0
Post-hoc gradient	Log-SD GP	3	0.83
Post-hoc gradient	Log-SD GP	4	0.82
Post-hoc gradient	Log-SD GP	5	0.73
Post-hoc gradient	Log-SD GP	6	0.53
Post-hoc gradient	Log-SD GP	7	0.69
Post-hoc gradient	Log-SD GP	8	0.67
Post-hoc gradient	Log-SD GP	9	0.49
Post-hoc gradient	Log-SD GP	10	0.37
Post-hoc gradient	Log-SD GP	11	0.27
Post-hoc gradient	Log-SD GP	12	0.22
Post-hoc gradient	Log-SD GP	13	0.17
Post-hoc gradient	Log-SD GP	14	0.08
Post-hoc gradient	Log-SD GP	15	0.07
Post-hoc gradient	Log-SD GP	16	0.03
Post-hoc gradient	Log-SD GP	17	0.02
Post-hoc gradient	Log-SD GP	18	0.01
Post-hoc gradient	Log-SD GP	19	0.01
Post-hoc gradient	Log-SD GP	20	0.0
Online position	Mean GP	1	1.0
Online position	Mean GP	2	0.7
Online position	Mean GP	3	0.3
Online position	Mean GP	4	1.0
Online position	Mean GP	5	0.2
Online position	Mean GP	6	0.6
Online position	Mean GP	7	1.0
Online position	Mean GP	8	1.0
Online position	Mean GP	9	0.6
Online position	Mean GP	10	0.2
Online position	Mean GP	11	0.9
Online position	Mean GP	12	0.5
Online position	Mean GP	13	1.0
Online position	Mean GP	14	0.6
Online position	Mean GP	15	1.0
Online position	Mean GP	16	0.3
Online position	Mean GP	17	0.3
Online position	Mean GP	18	0.3
Online position	Mean GP	19	0.2
Online position	Mean GP	20	0.1
Online position	Log-SD GP	1	0.9
Online position	Log-SD GP	2	1.0
Online position	Log-SD GP	3	0.6
Online position	Log-SD GP	4	0.6
Online position	Log-SD GP	5	0.0
Online position	Log-SD GP	6	0.1
Online position	Log-SD GP	7	0.4
Online position	Log-SD GP	8	0.6
Online position	Log-SD GP	9	0.1
Online position	Log-SD GP	10	0.2
Online position	Log-SD GP	11	0.2
Online position	Log-SD GP	12	0.0
Online position	Log-SD GP	13	0.1
Online position	Log-SD GP	14	0.0
Online position	Log-SD GP	15	0.1
Online position	Log-SD GP	16	0.0
Online position	Log-SD GP	17	0.0
Online position	Log-SD GP	18	0.0
Online position	Log-SD GP	19	0.0
Online position	Log-SD GP	20	0.0
Online gradient	Mean GP	1	1.0
Online gradient	Mean GP	2	0.9
Online gradient	Mean GP	3	0.7
Online gradient	Mean GP	4	0.9
Online gradient	Mean GP	5	0.7
Online gradient	Mean GP	6	0.9
Online gradient	Mean GP	7	0.7
Online gradient	Mean GP	8	0.7
Online gradient	Mean GP	9	0.6
Online gradient	Mean GP	10	0.6
Online gradient	Mean GP	11	0.6
Online gradient	Mean GP	12	0.6
Online gradient	Mean GP	13	0.8
Online gradient	Mean GP	14	0.7
Online gradient	Mean GP	15	0.7
Online gradient	Mean GP	16	0.7
Online gradient	Mean GP	17	0.6
Online gradient	Mean GP	18	0.6
Online gradient	Mean GP	19	0.6
Online gradient	Mean GP	20	0.5
Online gradient	Log-SD GP	1	0.9
Online gradient	Log-SD GP	2	1.0
Online gradient	Log-SD GP	3	0.8
Online gradient	Log-SD GP	4	0.8
Online gradient	Log-SD GP	5	0.8
Online gradient	Log-SD GP	6	0.5
Online gradient	Log-SD GP	7	0.7
Online gradient	Log-SD GP	8	0.7
Online gradient	Log-SD GP	9	0.5
Online gradient	Log-SD GP	10	0.5
Online gradient	Log-SD GP	11	0.3
Online gradient	Log-SD GP	12	0.2
Online gradient	Log-SD GP	13	0.2
Online gradient	Log-SD GP	14	0.1
Online gradient	Log-SD GP	15	0.1
Online gradient	Log-SD GP	16	0.0
Online gradient	Log-SD GP	17	0.0
Online gradient	Log-SD GP	18	0.0
Online gradient	Log-SD GP	19	0.0
Online gradient	Log-SD GP	20	0.0
