group	cell	id	index	scale_index	length_index	selected	c
Mean GP	Basis 01	1	3	2	1	true	1.0
Mean GP	Basis 02	2	4	2	1	true	0.94
Mean GP	Basis 03	3	5	2	1	false	0.61
Mean GP	Basis 04	4	6	2	1	false	0.81
Mean GP	Basis 05	5	7	2	1	false	0.51
Mean GP	Basis 06	6	8	2	1	false	0.84
Mean GP	Basis 07	7	9	2	1	false	0.72
Mean GP	Basis 08	8	10	2	1	false	0.48
Mean GP	Basis 09	9	11	2	1	false	0.63
Mean GP	Basis 10	10	12	2	1	false	0.21
Mean GP	Basis 11	11	13	2	1	false	0.62
Mean GP	Basis 12	12	14	2	1	false	0.37
Mean GP	Basis 13	13	15	2	1	false	0.61
Mean GP	Basis 14	14	16	2	1	false	0.49
Mean GP	Basis 15	15	17	2	1	false	0.22
Mean GP	Basis 16	16	18	2	1	false	0.35
Mean GP	Basis 17	17	19	2	1	false	0.33
Mean GP	Basis 18	18	20	2	1	false	0.24
Mean GP	Basis 19	19	21	2	1	true	0.2
Mean GP	Basis 20	20	22	2	1	true	0.16
Log-SD GP	Basis 01	1	25	24	23	true	0.95
Log-SD GP	Basis 02	2	26	24	23	true	1.0
Log-SD GP	Basis 03	3	27	24	23	false	0.83
Log-SD GP	Basis 04	4	28	24	23	false	0.74
Log-SD GP	Basis 05	5	29	24	23	false	0.49
Log-SD GP	Basis 06	6	30	24	23	false	0.2
Log-SD GP	Basis 07	7	31	24	23	false	0.5
Log-SD GP	Basis 08	8	32	24	23	false	0.49
Log-SD GP	Basis 09	9	33	24	23	false	0.26
Log-SD GP	Basis 10	10	34	24	23	false	0.22
Log-SD GP	Basis 11	11	35	24	23	false	0.17
Log-SD GP	Basis 12	12	36	24	23	false	0.1
Log-SD GP	Basis 13	13	37	24	23	false	0.08
Log-SD GP	Basis 14	14	38	24	23	false	0.01
Log-SD GP	Basis 15	15	39	24	23	false	0.03
Log-SD GP	Basis 16	16	40	24	23	false	0.0
Log-SD GP	Basis 17	17	41	24	23	false	0.01
Log-SD GP	Basis 18	18	42	24	23	false	0.0
Log-SD GP	Basis 19	19	43	24	23	true	0.0
Log-SD GP	Basis 20	20	44	24	23	true	0.0
