qoi	mean	sd	bulk_ess	tail_ess	split_rhat
hsgp_x_rho_iso	-1.8065607232285075	0.27743636783419506	921.6605606652882	3156.791872058669	1.0043979906736324
hsgp_x_sigma	-0.11339803877591892	0.2608771586554376	3553.469051521598	3743.0076027350933	1.007035944417006
hsgp_log_sigma_x_rho_iso	-1.3760882092009878	0.1884451584162909	67.87976972130106	27.367335402889683	1.0202515892650341
hsgp_log_sigma_x_sigma	0.5990003950419732	0.2979594473721609	228.39349310924183	784.4629823846038	1.0073955534423875
mu(time=2.4)	-0.011846884789157335	0.03105834988548972	744.8016652174022	7067.014774789009	1.0025035769300872
mu(time=2.6)	-0.017971891336123424	0.02567081323661347	696.0305742449922	7585.860591664099	1.0023220032282403
mu(time=3.2)	-0.0318480145856709	0.017416134736128026	772.9109504816614	7466.5314742506935	1.0011960363003913
mu(time=3.6)	-0.03766352971935611	0.01687064142763515	1203.7752472640175	6942.071846366039	1.0005175099547092
mu(time=4.0)	-0.04120437067326781	0.017439310577027006	1896.2977765919788	6912.101962204082	1.0002751437863262
mu(time=6.2)	-0.04443978814464359	0.011563165817844858	5516.9241743685725	6400.464942307096	1.0005978658663028
mu(time=6.6)	-0.045726510634404534	0.010502905460301576	6013.644373125011	5101.063033055742	1.0000130832249652
mu(time=6.8)	-0.046622404251150974	0.0102027347076284	6101.691526012652	4661.119060452338	1.0001526376862233
mu(time=7.8)	-0.05266975038961018	0.010245344541820542	5540.549302410287	6124.154109932017	1.0004092310880925
mu(time=8.2)	-0.05501764932012496	0.010550756294066509	6003.770027328143	6074.113551226686	1.0001875827070856
mu(time=8.8)	-0.05719160424696919	0.011285136460239532	6519.940264165425	7369.847995649525	1.0003836280319909
mu(time=9.6)	-0.056070636841104075	0.013511228595229434	5256.056362293871	6324.992977503678	1.000826963437543
mu(time=10.0)	-0.05376211969713804	0.015375767538306202	4284.862790872793	6188.253529044791	1.001555735994207
mu(time=10.2)	-0.05232385394547789	0.016511020078176588	4021.874372693149	6725.15090746718	1.0018279089023283
mu(time=10.6)	-0.04934752673484139	0.01920595737506585	3837.257270701967	6492.92866225401	1.0020416320962688
mu(time=11.0)	-0.04714337304023778	0.022502951195254518	4339.4959626282525	6676.649884743901	1.001807174662356
mu(time=11.4)	-0.047131169692280234	0.026434171968872676	5496.798076533322	6640.933966650376	1.001423833266411
mu(time=13.2)	-0.12714090546759313	0.048922692132274063	4677.866384575717	6968.034576206104	1.0004048982589526
mu(time=13.6)	-0.17592206643767364	0.05337367774664485	4268.223735521957	7178.738614713269	1.0000656092362987
mu(time=13.8)	-0.2060949729767659	0.05529254463201707	4077.347547541105	7388.512501962907	1.0001607942043393
mu(time=14.6)	-0.3693348219227307	0.06061296763845212	3381.5639224349843	7769.185081562754	1.0006984618312318
mu(time=14.8)	-0.42126808888092454	0.06143881623893324	3289.527242018334	7012.586081875423	1.0008371405944476
mu(time=15.4)	-0.6037163787366111	0.0636800714512315	3515.8550613696616	6500.784334218414	1.0010945873764423
mu(time=15.6)	-0.6730364157923305	0.0646952254498679	3828.836303919838	6919.032093432345	1.00122338048922
mu(time=15.8)	-0.7462900880638429	0.0660440906071377	4307.59520688918	7126.650438735974	1.0023695109343826
mu(time=16.0)	-0.8232092425733043	0.06784134761016847	4904.557972382958	7275.885113271841	1.003808246619877
mu(time=16.2)	-0.9034757573535875	0.07018055589253724	5317.836469712024	7201.751081171213	1.005306124598282
mu(time=16.4)	-0.9867235460884071	0.07312271846965562	5401.321265988603	7396.691746667311	1.0089895707555163
mu(time=16.6)	-1.0725412600112985	0.07668929284348279	5319.092522075391	7570.0038934558	1.007779639978723
mu(time=16.8)	-1.1604756559811296	0.08086110599466324	5115.131296280479	7639.771683549496	1.0061234139487962
mu(time=17.6)	-1.5230879227359344	0.10211916083810461	4118.841175553217	7301.412577691668	1.0012391394741362
mu(time=17.8)	-1.6136503738082968	0.10804886711585301	3852.889378905565	6405.160370333593	1.0007016769844714
