row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	1000	948	0.975	-0.6230622117851099	-0.2096393672042863	-209.14211375919695	200.07325247357358
2	1	1000	948	0.975	-0.7140207462673661	-0.0884625214923221	-305.3910716965624	298.3025407002822
3	1	1000	949	0.975	-0.05288302103363339	0.11336070597178122	-286.49387075212087	272.920289199916
4	1	1000	948	0.975	-0.03791673044009446	0.12130733548220632	-332.4372709567241	342.22563989640025
1	2	1000	948	0.975	-0.633638497287466	-0.20364058820288714	-217.46726461930285	200.79305129578145
2	2	1000	951	0.975	-0.7316446933347239	-0.09887980055074125	-307.2104281936722	293.20863807106934
3	2	1000	949	0.975	-0.6287940922982198	1.186912212815192	-18.32256426879725	21.557298578997383
4	2	1000	949	0.975	-0.7590531793006132	1.4353662307756663	-16.218434674030767	18.729581519382403
1	3	1000	948	0.975	-0.628398518442995	-0.22025262767982343	-200.69189760836286	203.96825196749387
2	3	1000	949	0.975	-0.7575602984911174	-0.13251707575328855	-285.22335794611786	284.3406387422533
3	3	1000	948	0.975	-0.17431245208760915	0.4097673867469076	-66.52179945808956	68.68352817956406
4	3	1000	952	0.975	-0.19169306804011726	0.4695252541175499	-55.37832473778052	56.476482715052796
