row	column	points	visible	marginal_mass	xlow	xhigh	ylow	yhigh
1	1	10000	9512	0.975	0.14635160669342512	0.4059204823121608	-2.367209437255665	-1.4984578654786902
2	1	10000	9512	0.975	1.0309675382725123	4.531173967738242	-2.367209437255665	-1.4984578654786902
3	1	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-1.4639378991589687	-0.012404955181948224
4	1	10000	9515	0.975	1.0309675382725123	4.531173967738242	-1.4639378991589687	-0.012404955181948224
5	1	10000	9577	0.975	0.14635160669342512	0.4059204823121608	-0.033210927326251395	0.09696123062676562
6	1	10000	9503	0.975	1.0309675382725123	4.531173967738242	-0.033210927326251395	0.09696123062676562
7	1	10000	9587	0.975	0.14635160669342512	0.4059204823121608	-0.06830999479849467	0.030012707944704974
8	1	10000	9508	0.975	1.0309675382725123	4.531173967738242	-0.06830999479849467	0.030012707944704974
1	2	10000	9560	0.975	0.14635160669342512	0.4059204823121608	-2.572749542625074	-0.46619199104235837
2	2	10000	9651	0.975	1.0309675382725123	4.531173967738242	-2.572749542625074	-0.46619199104235837
3	2	10000	9519	0.975	0.14635160669342512	0.4059204823121608	-1.4800404660902104	-0.006510594638700707
4	2	10000	9540	0.975	1.0309675382725123	4.531173967738242	-1.4800404660902104	-0.006510594638700707
5	2	10000	9505	0.975	0.14635160669342512	0.4059204823121608	-2.0444194983310804	2.2721274487973657
6	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.0444194983310804	2.2721274487973657
7	2	10000	9504	0.975	0.14635160669342512	0.4059204823121608	-2.2023775006717043	2.1832417315866905
8	2	10000	9506	0.975	1.0309675382725123	4.531173967738242	-2.2023775006717043	2.1832417315866905
