qoi	mean	sd	bulk_ess	tail_ess	split_rhat
hsgp_x_rho_iso	-1.805702721116657	0.18619275186892123	3163.250714931016	3858.292303837748	0.9999017902947925
hsgp_x_sigma	-0.11700106632594891	0.2550074646247112	2705.5983168315984	2159.834239494888	0.9999361310973717
hsgp_log_sigma_x_rho_iso	-1.339436615085434	0.22241496229243832	4939.247496901992	5352.499333079365	1.0000000878955204
hsgp_log_sigma_x_sigma	0.6317442284051152	0.32448365526692946	3817.2789517619394	4135.795381080129	1.0000916266371565
mu(time=2.4)	-0.013301302104047827	0.030082269806187088	8464.478334045678	8346.771719746694	0.9999080606267903
mu(time=2.6)	-0.019067259007835773	0.02477846301843163	9326.726432073801	8910.397806518424	0.9999107819187663
mu(time=3.2)	-0.032206558891931275	0.016800840465822555	9948.335556368345	8798.833533317775	1.0000110937965605
mu(time=3.6)	-0.037758619535874144	0.01649829983371115	9086.336848787614	7598.567223871917	1.0000533530794384
mu(time=4.0)	-0.04117042522460721	0.017276019750637483	8807.027147570223	8147.242554112778	1.0000284802068404
mu(time=6.2)	-0.04470428748873205	0.012203967180525141	9971.027016446402	8766.430466947686	1.0006250721662042
mu(time=6.6)	-0.04605114506088361	0.0112338673327494	9362.889188570001	7605.488482721188	1.0000937064960271
mu(time=6.8)	-0.04696593170990665	0.010964823487621844	8924.424561206348	7236.712437779207	1.0000966394162063
mu(time=7.8)	-0.05297102413489306	0.01109066237376651	9157.66450069697	7316.039289560905	0.999936568295584
mu(time=8.2)	-0.0552350452800985	0.011421060869291087	9617.810071370934	8582.304539380451	0.9999556881273138
mu(time=8.8)	-0.05721754796886694	0.012183973000989652	9671.852368367996	8521.022125064466	1.000021258369041
mu(time=9.6)	-0.05574582428580693	0.014530107312168609	8942.547717846634	7950.933881836565	1.0002426245310188
mu(time=10.0)	-0.0532363022087358	0.016563817635940448	8600.361151539328	8014.488655363622	1.000843920688131
mu(time=10.2)	-0.05169452187247794	0.017814933934689633	8530.662930951312	8296.693733302283	1.0006732275142765
mu(time=10.6)	-0.04851026863682654	0.020781278242279468	8589.66899452094	8738.00978229531	1.0009063214555205
mu(time=11.0)	-0.04610391940084463	0.024348756062295047	8851.835221151316	8362.64319164447	1.0009156413293598
mu(time=11.4)	-0.04590352847054412	0.02847651969718017	9164.124451986385	8335.721562012683	1.0005273308487026
mu(time=13.2)	-0.12545207777315867	0.05005801096219262	8902.018548812535	8760.549582861533	1.000332169788977
mu(time=13.6)	-0.17426071603055138	0.05402897240047646	8781.453765706487	9119.058225634255	1.0002269762174147
mu(time=13.8)	-0.20447024931616992	0.05571000776703148	8687.001777306301	9121.029636434483	1.000046483630936
mu(time=14.6)	-0.3680266274262348	0.06029204775271976	8607.876761054706	8717.796681227823	0.9999572324041858
mu(time=14.8)	-0.42008479171783164	0.06102655397129919	8680.024152671887	8407.57349464927	0.9999744131299627
mu(time=15.4)	-0.6030255436858085	0.0633005455725224	9143.419700245537	8371.991866265487	1.0000124605062326
mu(time=15.6)	-0.6725499411075959	0.06442491325135806	9365.235703809143	8405.586302899603	1.000021515316508
mu(time=15.8)	-0.7460282481921615	0.06591869557215677	9588.315363492757	8506.61219979493	1.0000253667044419
mu(time=16.0)	-0.823192201855718	0.06788127833108847	9791.664444647851	8630.892151121416	1.0000228517065108
mu(time=16.2)	-0.9037234077768126	0.07038772224692538	9941.177194774802	8726.735953832032	1.00001948202778
mu(time=16.4)	-0.9872553312772365	0.07347980468643017	10033.425693528805	9061.115142386028	1.0000071862886637
mu(time=16.6)	-1.0733759865491657	0.0771617657082412	10039.500507199675	9197.316106935019	0.9999947291933474
mu(time=16.8)	-1.161631293560545	0.08140137250593969	9951.81257833494	9341.455312345643	0.9999831483550716
mu(time=17.6)	-1.5256827183574668	0.10236913092729565	9235.898023136679	8863.009585265292	0.9999346100165241
mu(time=17.8)	-1.6166358728959216	0.10809989145400038	9049.700394840538	8309.034487824665	0.9999634217600403
mu(time=18.6)	-1.9622213148900818	0.12985731917652535	8515.896009740647	8830.381706448969	1.0001144193247438
mu(time=19.2)	-2.1856351203681212	0.14275851587409805	8385.88746117797	8725.647201899574	1.000198162965617
mu(time=19.4)	-2.250340625639592	0.14614719790578556	8382.960044320698	8789.93196130831	1.0002896499893166
mu(time=19.6)	-2.309352643395045	0.14905204522975649	8415.337875263162	8695.829582401284	1.000339316183475
mu(time=20.2)	-2.448199606582392	0.15496862806959866	8426.127107616781	8924.683457210042	1.000133629510547
mu(time=20.4)	-2.4806530991986437	0.1561006435249245	8460.357032960555	8924.683457210038	1.0000952642585577
mu(time=21.2)	-2.5357498383059207	0.15760047455176726	8696.230490683916	8691.99169921526	0.9999957632551257
mu(time=21.4)	-2.5304308914735754	0.15745784548089217	8830.8671078919	8433.240671816806	0.9999961570526459
mu(time=21.8)	-2.497082459725503	0.15682202692153666	9111.572825316802	8854.167217520842	0.9999525579538571
mu(time=22.0)	-2.469322956720375	0.15637090101488868	9237.780076511894	8920.548125846391	0.9999260884706789
mu(time=23.2)	-2.1631958542054885	0.15153936602283533	9806.78563145476	9304.210733579406	0.9999044617965845
mu(time=23.4)	-2.0920844949773882	0.15019429774822435	9828.341048182427	9151.784161202995	0.9999081873248722
mu(time=24.0)	-1.8524977993823166	0.14491467813820336	10040.073758642873	9369.387546080881	0.9999255042568663
mu(time=24.2)	-1.7653808950867191	0.14277027838259665	10168.522107737126	9369.387546080883	0.9999343047583378
mu(time=24.6)	-1.582990033224929	0.1381198503649902	10577.992647309953	9053.250278499932	0.9999503202326323
mu(time=25.0)	-1.3927001801486183	0.13344532238010764	11144.2389429317	8795.924710494995	0.9999709801765719
mu(time=25.4)	-1.1979417032753195	0.12948734075434326	11778.332702471673	8566.177198073821	1.0000012081629623
mu(time=25.6)	-1.0998969825636018	0.12804043447782093	12083.039378144293	8210.892930651244	1.000029213025306
mu(time=26.0)	-0.9043452650938111	0.12670111595662148	12537.268949501746	7706.074903790415	1.0000056544384035
mu(time=26.2)	-0.8075282597213991	0.12695545054642773	12613.23914759982	7885.260542005842	1.0000011254458843
mu(time=26.4)	-0.7117772252463216	0.1278805821169614	12581.539593967605	7937.721408992154	0.9999970306216469
mu(time=27.0)	-0.43377073524999743	0.134571034725411	11823.005862551012	8134.086511914617	0.999968725655802
mu(time=27.2)	-0.34503756870101526	0.13793950640605182	11506.78329599872	7966.919175084577	0.9999576633216213
mu(time=27.6)	-0.1748199449987472	0.14591226297214616	10879.678718889334	7696.940364744492	0.9999369452060373
mu(time=28.2)	0.05957163216262133	0.159668692049414	9974.60878324725	7543.95020087056	0.9999268301748441
mu(time=28.4)	0.13146914420051162	0.16442966376536247	9807.224142991701	7846.308984215962	0.9999258955949965
mu(time=28.6)	0.2000162579211097	0.16917814807105483	9715.35076869947	7877.371038282063	0.999919758957069
mu(time=29.4)	0.4383936905584862	0.1872397873968048	10007.727321564586	8309.314119946222	1.0000938393151164
mu(time=30.2)	0.6151678641874072	0.20251132857250895	10868.917064718413	7594.7780257024815	1.000202443758767
mu(time=31.0)	0.7268475468811948	0.21361678894390365	11533.214981419924	7231.328945085141	1.0001579060323884
mu(time=31.2)	0.7444921262399156	0.21558290357455612	11642.757840908653	7352.179325672574	1.0001559923543393
mu(time=32.0)	0.7750678799661533	0.21972563448411184	11866.530871849873	7115.791300965983	0.9999403756970533
mu(time=32.8)	0.7462809339556781	0.21799495523441068	12137.228150180974	7181.660136486323	0.9999595108017035
mu(time=33.4)	0.6917423966186735	0.21385087919439824	12208.845242637357	7601.670699336965	0.9999663775843142
mu(time=33.8)	0.64295938678928	0.2105060122328455	12264.125121545309	7577.097398744294	0.9999710870440819
mu(time=34.4)	0.5564300887172376	0.20584389827737304	12263.789355682036	7088.931452763698	0.999969553760787
mu(time=34.8)	0.49321249305335224	0.20357579959687438	12088.771058754508	7209.626264655206	0.9999622069557523
mu(time=35.2)	0.4283466693964031	0.2022454443369222	11874.101141142599	6848.43154936127	0.9999542046286467
mu(time=35.4)	0.396029166543695	0.2019343350881587	11725.132527185595	6693.966511826897	0.9999473111361037
mu(time=35.6)	0.36416467040512807	0.20183216779510826	11566.860686016365	6601.442947084437	0.9999429650067234
mu(time=36.2)	0.2738825494093927	0.20237375678917477	11069.138753015413	6670.214105760538	0.9999269954980547
mu(time=38.0)	0.09432038451362325	0.19930417277664667	10531.111080748284	7275.507084056708	1.0000001423804268
mu(time=39.2)	0.06664863174705649	0.18428444597383142	11346.634538822358	7501.192666953705	1.0001228725727702
mu(time=39.4)	0.0678888629180867	0.18075903245104039	11477.440092838775	7435.383109933184	1.0001736920342863
mu(time=40.0)	0.07820234164508238	0.16900999038353842	11839.411633827322	7823.912762275684	1.0001776712030865
mu(time=40.4)	0.08852322894831184	0.16061753694759218	11984.647188509534	7623.437937794274	1.0001119555255453
mu(time=41.6)	0.11805683875034333	0.13705639151349003	11558.060403005906	8412.989534846309	1.000002722776649
mu(time=42.4)	0.12301800107170802	0.12651843693296783	10916.486597986523	8757.709550755151	0.9999572257527217
mu(time=42.8)	0.11842441134735868	0.12356678442289307	10716.162016287006	8155.993583322368	0.9999966743183843
mu(time=43.0)	0.11420585338641995	0.12268620386079332	10655.756427354107	7787.164876702114	0.999963591233037
mu(time=44.0)	0.07467922571928835	0.12329390896440959	10838.25856774298	7976.253713869563	0.9999050914026477
mu(time=44.4)	0.05149794527460774	0.12516367508404438	11051.225007237821	7692.0913147589445	0.999931019936046
mu(time=45.0)	0.011465658500496296	0.12866079793117122	11381.805808122053	7275.412934331228	0.9999637579433077
mu(time=46.6)	-0.10039421695393043	0.1363569854482565	12106.635204578133	8697.993689960627	1.0000709731504325
mu(time=47.8)	-0.1603051583802929	0.13889224572931017	12490.900248716121	8157.851374828917	1.0000437146724235
mu(time=48.8)	-0.18224793298558717	0.14190342141297302	12445.883223650573	8379.49896429026	0.999996731629218
mu(time=50.6)	-0.1597966375294455	0.15193888062304772	11806.764237773448	8683.928562914807	0.9999180569892219
mu(time=52.0)	-0.10579383667385282	0.15066431832326194	11341.12100425324	8223.260889886225	0.999976276169826
mu(time=53.2)	-0.04863385637876905	0.13970446031309197	10702.753082043715	8077.470146695827	0.9999158331730718
mu(time=55.0)	0.039809576345659604	0.13454350981736346	10120.764060996516	7379.241670509938	1.0000780578385158
mu(time=55.4)	0.058613482776424725	0.13931329532776024	9672.825321782473	6961.891640630757	1.0000864275220656
mu(time=57.6)	0.14719234978566706	0.22891834831871385	5985.276084522279	5247.997562856631	0.999959701734913
sigma(time=2.4)	0.04297489489603585	0.02421372444781221	8077.763618293332	7149.060838010656	1.0000695365986454
sigma(time=2.6)	0.04000037147751429	0.021351295329595267	7997.315431634404	7146.766193274515	1.0000762119291122
sigma(time=3.2)	0.032882176080957864	0.015119409548606189	7699.627247469889	7907.167568712997	1.0000780900231452
sigma(time=3.6)	0.029344746908895932	0.012376723772478776	7447.558638148637	8341.588826542553	1.0001085129837641
sigma(time=4.0)	0.026560551644341915	0.010409760961932626	7105.880810993031	8249.925241696	1.0001179513961094
sigma(time=6.2)	0.0201757928706062	0.006803645962434315	6015.960504020902	6841.548144315334	1.0000585089223981
sigma(time=6.6)	0.020226444351735335	0.006841684106883324	5934.392787136816	6661.190548613232	1.0000401296068913
sigma(time=6.8)	0.020378275002789843	0.006910358715227083	5897.343809110077	6687.634484638273	1.0000363194000803
sigma(time=7.8)	0.022505056711099546	0.007719429604514367	5787.230377820732	6292.659266692271	1.0001029191041233
sigma(time=8.2)	0.02408813547932357	0.008263786587508846	5769.997901316318	6390.283203726243	1.0000912617776039
sigma(time=8.8)	0.027452535582104757	0.00933694799489187	5772.906936115079	5802.431156947724	1.0001624200819694
sigma(time=9.6)	0.034340171721482834	0.011298119155540763	5827.774614604788	5915.391975126442	1.0001866271488926
sigma(time=10.0)	0.0391400313772071	0.012531341844337398	5881.401172379611	6320.053732599933	1.0002170954023433
sigma(time=10.2)	0.04196098330804081	0.013216449887237315	5910.4817354727475	6300.734891519527	1.0001544236774094
sigma(time=10.6)	0.048588967120230905	0.014731288399148983	5974.8429731986425	6398.138549970052	1.0002501697769408
sigma(time=11.0)	0.0567533405753246	0.016448205094087683	6045.535238243882	6686.980711347669	1.0002894621806417
sigma(time=11.4)	0.06675483737587337	0.018375871536080047	6135.408697264858	6986.263725339118	1.000270777137446
sigma(time=13.2)	0.14382094670675832	0.02960620581046893	7374.11024778656	7445.909041769476	1.000546286106657
sigma(time=13.6)	0.17001617549880416	0.03258039258796138	7810.4847273823925	7654.938865893184	1.0005790687015053
sigma(time=13.8)	0.18450462202324025	0.03411674317835292	7983.812068245685	8133.079614685652	1.0005796842042103
sigma(time=14.6)	0.25140305370192556	0.0405853381045337	8590.501045772833	9190.672872549554	1.0004609631094894
sigma(time=14.8)	0.2701387487632608	0.04229880650342805	8692.205062139074	9264.44212529806	1.0004059598143389
sigma(time=15.4)	0.32981601020018625	0.04777304912978186	8819.350099451147	8970.275669335302	1.0002281970762867
sigma(time=15.6)	0.35044914941445027	0.0497316131983591	8817.133894987139	8953.367550093	1.0001647255794064
sigma(time=15.8)	0.37120557261911036	0.0517636227969208	8775.513112576893	9124.615403143187	1.0001051205656468
sigma(time=16.0)	0.39191855196246245	0.05386850874243809	8731.278098644292	9089.282223346007	1.000046686847416
sigma(time=16.2)	0.4124136152117253	0.05604272236431824	8791.729277836333	8923.449500983743	0.9999992216377325
sigma(time=16.4)	0.43251257927302306	0.058280890457154025	8897.87104444627	9032.354019952507	0.9999586729400178
sigma(time=16.6)	0.4520379726872267	0.06057782224660869	8941.41293321723	8855.17720327379	0.9999478034725112
sigma(time=16.8)	0.4708176520151128	0.06293108261697085	9022.095199305513	8661.723051987163	0.9999795472849677
sigma(time=17.6)	0.5354705739866666	0.07308159726727279	9680.198822102673	9305.895252591254	1.000088739860303
sigma(time=17.8)	0.5484262921904739	0.07591150601007453	9880.651890913261	9228.68391088817	1.0001860317385762
sigma(time=18.6)	0.5856235034749903	0.08915862298777699	10184.525072970688	9416.095513015243	1.0000144067414918
sigma(time=19.2)	0.5984917059180072	0.1009538517393488	9669.478973211142	9023.708931774494	0.9999928224469548
sigma(time=19.4)	0.6002177341443334	0.10500645190960024	9414.266020933701	9269.960836740065	0.9999875767594304
sigma(time=19.6)	0.6008098001731409	0.10899830963209914	9150.968368709051	9198.66382919314	0.9999814620378213
sigma(time=20.2)	0.596821243432388	0.11984319645317294	8415.904199492768	8582.09014254207	0.9999506753614115
sigma(time=20.4)	0.5939322339230978	0.12285434749780404	8178.908176137009	8551.851695797026	0.9999414920024324
sigma(time=21.2)	0.5774429083653017	0.13066798818522798	7502.125749196918	8269.932174314235	0.999915819537204
sigma(time=21.4)	0.5725890737104217	0.13146155360996775	7386.850648605005	8203.96837723378	0.9999119674524463
sigma(time=21.8)	0.5626383750167386	0.1316501116634268	7212.112523421696	7865.325806472294	0.9999063526114199
sigma(time=22.0)	0.557700769509794	0.13107375959508946	7151.7745670062695	7969.835796938405	0.9999031023507703
sigma(time=23.2)	0.5327137730699056	0.11986636272557412	7036.32501898366	8169.769361225806	0.999932920377431
sigma(time=23.4)	0.529801009149465	0.11702667267666504	7071.692078022701	8380.937859612177	0.9999112239398469
sigma(time=24.0)	0.5239441778294489	0.10769139014358398	7294.767687565873	8719.348431579238	0.9999058374098222
sigma(time=24.2)	0.5230289449277966	0.10448367381822915	7414.046056177202	8600.50514242323	0.9999043748454773
sigma(time=24.6)	0.5228407213168165	0.0982931307688322	7668.589261898231	8859.421119152032	0.999906110974824
sigma(time=25.0)	0.5248741054946928	0.09287392216214824	7929.55034776726	8928.595428432865	0.9999061204320792
sigma(time=25.4)	0.5291011081399127	0.08881181772907053	8209.359227606958	9023.7281677447	0.9999090753753116
sigma(time=25.6)	0.5320085810945229	0.08745369432092329	8460.518198107009	8923.143035132023	0.9999444764050037
sigma(time=26.0)	0.5393183148136386	0.08629459470134809	9130.386764380248	7963.81668811118	0.9999824193032936
sigma(time=26.2)	0.5436729898749035	0.08651657528119727	9266.893123656913	8144.733742447239	0.9999197924362843
sigma(time=26.4)	0.5484580814567274	0.08725037386407876	9299.290221355996	8445.633478535447	0.9999225345740959
sigma(time=27.0)	0.5650987890422721	0.09204849620757002	9331.075161889345	8853.764342010183	0.9999517857122888
sigma(time=27.2)	0.571307176488744	0.09431997175353973	9347.014066757676	8659.445978987244	0.9999328858867932
sigma(time=27.6)	0.5845448442252921	0.09956363385390517	9414.76288890406	9074.750555752478	0.9999386347964294
sigma(time=28.2)	0.6060879530510899	0.10880355556469667	9565.687935629492	9717.676696697192	0.9999759997824257
sigma(time=28.4)	0.613636441094077	0.11222724298238967	9622.559683406977	9797.791549071506	1.0000224966734672
