qoi	mean	sd	bulk_ess	tail_ess	split_rhat
hsgp_x_rho_iso	-1.8018136483703295	0.1933785395321725	4516.948548053981	4489.270979878141	1.0000626561628618
hsgp_x_sigma	-0.11642339593024086	0.2559131510267729	6477.057411427592	5905.449026663064	0.9999586382556058
hsgp_log_sigma_x_rho_iso	-1.340552359144909	0.23428579759224105	5529.894226648296	6020.788073606924	1.0009672924301967
hsgp_log_sigma_x_sigma	0.6242982168979683	0.31463523639017466	8933.539450988068	6969.852896922264	0.9999022316471925
mu(time=2.4)	-0.013144959185255567	0.029798998693330626	8566.671816136692	8398.639990002477	0.9999665361312491
mu(time=2.6)	-0.018901097512742427	0.02462087540954552	9336.174146486175	7908.867786504449	0.9999528694335709
mu(time=3.2)	-0.03199838738668539	0.016736684422872936	9758.7916223356	8446.363279183253	1.0000497912642456
mu(time=3.6)	-0.03752173017549833	0.016408594866665526	9003.719926762009	8289.966328874421	1.0000628886014038
mu(time=4.0)	-0.04091139947478782	0.017202244713939985	8926.11452337602	7923.538250470703	1.00004920819742
mu(time=6.2)	-0.04454112045085962	0.01224034637291302	9658.916839965874	7826.9120468953415	1.0001434813653909
mu(time=6.6)	-0.04593876903979948	0.01123563998684097	9620.515505096528	7729.063542749624	1.0002091672023417
mu(time=6.8)	-0.04688057902546336	0.010951181292320183	9696.145191069472	7631.8555104031175	1.0001671221952184
mu(time=7.8)	-0.05302233643805935	0.01103015261445276	10320.804200985538	8763.864164843431	0.9999170614647037
mu(time=8.2)	-0.0553362017112692	0.011333163050416822	10413.888660699922	8509.039430664696	1.0000419938591083
mu(time=8.8)	-0.05738381383350093	0.012021428982829981	10018.327006502432	8549.808949284048	1.0000913569627408
mu(time=9.6)	-0.05598039291836146	0.014244711459210966	9158.481726346246	8046.168560791761	0.9999293475652347
mu(time=10.0)	-0.053498979587866334	0.016242833048505434	8976.863158732784	8325.762624928868	0.9999241931394205
mu(time=10.2)	-0.05197038205021327	0.017488550286311327	8955.959762173918	8547.768697769006	0.9999448588992778
mu(time=10.6)	-0.04881184235322663	0.020473416472794857	9044.66769715638	8504.870819025833	0.9999087040295802
mu(time=11.0)	-0.046431795131608396	0.024101485087791117	9337.682440924907	8626.937613780547	0.9999253425091229
mu(time=11.4)	-0.04625987349504371	0.028332425216825885	9464.593148247322	8958.298445213171	0.9999467509886408
mu(time=13.2)	-0.12598221679237295	0.05073506364692086	8901.591094804939	8929.65634735275	1.000019943672143
mu(time=13.6)	-0.17483688236756048	0.054893088690217355	8860.537108938803	8763.86416484342	1.0000097033892863
mu(time=13.8)	-0.20506928048672107	0.056655445374006484	8870.999617363539	8761.793485413033	1.0001031126806745
mu(time=14.6)	-0.36870902472468564	0.06142274544677773	9259.436326199368	8923.905701087971	1.000274028653864
mu(time=14.8)	-0.4207843847520173	0.06215690539766545	9465.428494502765	8896.208145472347	1.000139740699062
mu(time=15.4)	-0.6037629183035651	0.06429878156797612	10360.87207634855	8580.375430630194	1.000078009622857
mu(time=15.6)	-0.6732943752717917	0.06534025044198873	10607.057225195826	8903.1589016235	1.0000649249020126
mu(time=15.8)	-0.7467765767754551	0.06673883789537968	10852.610091082073	8497.413250276215	1.0000190322763691
mu(time=16.0)	-0.8239410717067507	0.06860106334491445	11066.429045254838	9199.431874278513	1.000056997688797
mu(time=16.2)	-0.9044693168623668	0.07101021072424749	11210.724404713195	9433.178793725572	0.9999410739008446
mu(time=16.4)	-0.9879946706175148	0.07401623155302202	11279.688155110154	9633.828598822229	0.9999233165791698
mu(time=16.6)	-1.0741050841442874	0.07763028352072596	11258.084981600134	9507.835231652321	0.9999168271760701
mu(time=16.8)	-1.1623464594867472	0.08182489026985905	11144.027449057836	9507.275443342405	0.999905408893214
mu(time=17.6)	-1.5263064755317677	0.10285187022152628	10158.206240616077	8707.540830631684	0.9999146338966655
mu(time=17.8)	-1.6172285387577887	0.10864317559376946	9927.339723004583	8586.566373805483	0.9999351699764953
mu(time=18.6)	-1.9626635642538761	0.13066987240660635	9401.966156193479	7919.883659397835	0.9999038938089585
mu(time=19.2)	-2.185946008245935	0.14363447827639236	9388.874788903415	7620.285165872597	0.9999043098088056
mu(time=19.4)	-2.2506060740415714	0.14698769340055268	9446.397484156289	7943.605537933303	0.9999054884461772
