index	centeredness
2	1.0
3	0.5
4	1.0
5	0.6
6	0.3
7	1.0
8	0.3
9	1.0
10	0.5
11	0.6
12	0.5
13	0.9
14	1.0
15	0.5
16	1.0
17	0.1
18	0.1
19	1.0
20	0.8
21	0.0
22	1.0
23	0.6
24	0.7
25	0.6
26	0.6
27	0.4
28	0.7
29	0.8
30	0.3
31	0.2
32	0.7
33	1.0
34	1.0
35	1.0
36	0.0
37	0.9
38	0.4
39	1.0
40	0.1
41	0.6
42	0.8
43	1.0
44	0.8
45	0.5
46	1.0
47	1.0
48	0.4
49	0.3
50	0.5
51	0.4
52	0.1
53	1.0
54	0.6
55	1.0
56	1.0
57	0.4
58	0.2
59	1.0
60	0.6
61	0.0
62	0.8
63	0.5
64	1.0
65	0.5
66	0.5
67	0.3
68	0.4
69	1.0
70	1.0
71	0.3
72	0.4
73	0.5
74	0.9
75	0.7
76	0.6
77	0.6
78	0.4
79	0.4
80	0.4
81	1.0
82	0.4
83	0.9
84	0.3
85	1.0
86	1.0
87	1.0
88	0.6
89	0.8
90	0.1
91	1.0
92	0.1
93	0.4
94	1.0
95	0.3
96	0.3
97	1.0
98	0.4
99	0.5
100	0.0
101	0.8
102	0.5
103	0.9
104	1.0
105	1.0
106	1.0
107	1.0
108	0.6
109	0.7
110	0.6
111	1.0
112	1.0
113	0.5
114	0.0
115	0.6
116	1.0
117	0.0
118	0.4
119	0.6
120	0.3
121	0.6
122	1.0
123	0.6
124	0.5
125	0.8
126	0.5
127	0.9
128	0.0
129	0.0
130	0.4
131	1.0
132	1.0
133	1.0
134	0.5
135	0.0
136	0.9
137	0.7
138	0.4
139	0.6
140	0.1
141	1.0
142	0.8
143	0.0
144	0.7
145	0.2
146	0.4
147	0.4
148	1.0
149	1.0
150	0.7
151	0.5
152	0.7
153	0.7
154	1.0
155	0.6
156	0.9
157	1.0
158	0.2
159	0.9
160	1.0
161	0.0
162	0.9
163	0.6
164	0.7
165	0.3
166	0.8
167	0.3
168	0.3
169	0.5
170	1.0
171	0.4
172	0.5
173	0.0
174	1.0
175	0.1
176	1.0
177	0.1
178	0.8
179	1.0
180	0.6
181	1.0
182	0.4
183	1.0
184	0.3
185	1.0
186	1.0
187	0.3
188	0.8
189	0.0
190	0.5
191	0.1
192	0.5
193	0.3
194	0.5
195	0.7
196	0.7
197	1.0
198	1.0
199	0.6
200	0.9
201	1.0
202	0.2
203	1.0
204	0.1
205	1.0
206	1.0
207	1.0
208	0.8
209	1.0
210	0.5
211	1.0
212	0.8
213	1.0
214	0.6
215	0.7
216	0.0
217	0.8
218	0.4
219	1.0
220	0.7
221	0.4
222	1.0
223	1.0
224	0.4
225	0.9
226	0.9
227	0.7
228	0.8
229	0.4
230	0.8
231	0.8
232	0.7
233	0.5
234	0.4
235	0.2
236	1.0
237	0.3
238	0.0
239	1.0
240	0.5
241	0.6
242	0.3
243	0.6
244	0.8
245	0.4
246	0.8
247	0.8
248	0.1
249	0.6
250	0.8
251	1.0
252	0.3
253	0.3
254	0.0
255	0.9
256	0.7
257	0.5
258	0.8
