index	centeredness
2	1.0
3	0.2
4	1.0
5	1.0
6	1.0
7	0.1
8	0.0
9	1.0
10	0.0
11	0.5
12	0.0
13	0.6
14	0.0
15	1.0
16	1.0
17	0.0
18	0.2
19	1.0
20	0.0
21	1.0
22	1.0
23	0.0
24	1.0
25	1.0
26	0.1
27	0.0
28	0.6
29	0.4
30	1.0
31	1.0
32	1.0
33	0.0
34	0.3
35	0.3
36	1.0
37	0.0
38	0.9
39	0.2
40	1.0
41	0.0
42	0.0
43	0.0
44	1.0
45	1.0
46	1.0
47	0.8
48	0.6
49	0.0
50	0.7
51	1.0
52	1.0
53	0.0
54	0.0
55	0.1
56	1.0
57	0.0
58	0.0
59	0.0
60	1.0
61	0.0
62	1.0
63	1.0
64	0.7
65	0.0
66	0.6
67	0.0
68	0.5
69	0.4
70	1.0
71	1.0
72	0.9
73	0.9
74	1.0
75	1.0
76	0.3
77	0.8
78	1.0
79	1.0
80	1.0
81	0.5
82	0.1
83	0.7
84	0.0
85	0.1
86	0.0
87	0.7
88	0.0
89	0.0
90	1.0
91	0.0
92	0.6
93	0.0
94	0.0
95	0.0
96	1.0
97	1.0
98	0.9
99	1.0
100	1.0
101	0.1
102	0.8
103	1.0
104	1.0
105	0.5
106	0.2
107	1.0
108	0.0
109	1.0
110	0.0
111	0.0
112	0.8
113	1.0
114	0.0
115	0.0
116	1.0
117	1.0
118	1.0
119	1.0
120	0.4
121	0.0
122	1.0
123	0.0
124	0.0
125	0.0
126	0.9
127	1.0
128	0.0
129	1.0
130	0.0
131	0.7
132	0.0
133	0.8
134	0.0
135	0.6
136	1.0
137	1.0
138	0.0
139	0.0
140	0.0
141	1.0
142	0.9
143	0.0
144	0.1
145	1.0
146	1.0
147	0.6
148	1.0
149	0.0
150	0.0
151	1.0
152	1.0
153	0.3
154	0.0
155	1.0
156	0.2
157	1.0
158	0.1
159	0.0
160	0.2
161	1.0
162	0.1
163	1.0
164	1.0
165	0.8
166	1.0
167	0.0
168	0.6
169	0.2
170	0.0
171	0.6
172	1.0
173	0.6
174	1.0
175	0.3
176	1.0
177	0.9
178	0.0
179	1.0
180	0.8
181	0.2
182	1.0
183	1.0
184	1.0
185	1.0
186	0.9
187	0.0
188	1.0
189	0.2
190	1.0
191	1.0
192	1.0
193	1.0
194	0.0
195	0.0
196	0.0
197	0.5
198	0.3
199	0.0
200	0.0
201	0.7
202	0.0
203	1.0
204	0.0
205	1.0
206	0.0
207	0.5
208	0.4
209	1.0
210	1.0
211	0.6
212	1.0
213	0.0
214	0.0
215	1.0
216	0.0
217	0.0
218	1.0
219	1.0
220	0.9
221	1.0
222	0.7
223	0.0
224	0.0
225	1.0
226	0.0
227	0.0
228	0.0
229	0.0
230	1.0
231	0.0
232	0.6
233	1.0
234	0.1
235	0.4
236	1.0
237	0.0
238	0.0
239	1.0
240	0.4
241	1.0
242	1.0
243	0.0
244	0.6
245	0.0
246	1.0
247	0.0
248	1.0
249	0.9
250	0.7
251	1.0
252	1.0
253	0.0
254	1.0
255	1.0
256	0.7
257	1.0
258	1.0
259	1.0
260	1.0
261	1.0
262	1.0
263	0.0
264	0.0
265	0.6
266	0.0
267	1.0
268	1.0
269	1.0
270	1.0
271	1.0
272	0.0
273	0.9
274	0.6
275	1.0
276	0.5
277	0.1
278	0.0
279	0.8
280	1.0
281	1.0
282	1.0
283	1.0
284	0.2
285	0.0
286	1.0
287	0.8
288	1.0
289	1.0
290	0.6
291	1.0
292	1.0
293	1.0
294	0.0
295	0.2
296	0.4
297	1.0
298	1.0
299	0.0
300	0.6
301	0.5
302	0.0
303	0.5
304	0.0
305	1.0
306	0.3
307	1.0
308	0.4
309	0.0
310	1.0
311	0.6
312	0.0
313	0.0
314	1.0
315	1.0
316	1.0
317	0.0
318	1.0
319	1.0
320	0.0
321	0.0
322	1.0
323	0.0
324	0.5
325	0.5
326	1.0
327	1.0
328	1.0
329	1.0
330	1.0
331	1.0
332	1.0
333	1.0
334	1.0
335	0.7
336	1.0
337	0.9
338	0.7
339	1.0
340	0.0
341	0.0
342	0.0
343	0.5
344	0.3
345	1.0
346	1.0
347	0.0
348	0.9
349	0.9
350	1.0
351	0.9
352	1.0
353	0.5
354	0.0
355	0.0
356	0.8
357	0.9
358	0.5
359	0.0
360	1.0
361	1.0
362	1.0
363	0.9
364	1.0
365	0.6
366	0.9
367	1.0
368	0.2
369	0.4
370	0.0
371	0.0
372	0.0
373	0.5
374	1.0
375	0.9
376	0.0
377	1.0
378	1.0
379	0.4
380	0.3
381	0.5
382	0.0
383	0.5
384	1.0
385	1.0
386	1.0
387	0.9
389	0.4
390	0.0
391	1.0
392	0.5
393	0.4
394	0.6
395	0.6
396	1.0
397	0.6
398	0.4
399	0.3
400	0.3
401	0.0
402	0.2
403	0.4
404	0.8
405	1.0
406	0.0
407	1.0
408	0.0
409	1.0
410	0.9
411	1.0
412	1.0
413	0.0
414	0.0
415	1.0
416	0.4
417	0.0
418	0.0
419	0.0
420	1.0
421	0.0
422	0.0
423	0.0
424	1.0
425	0.7
426	1.0
427	0.0
428	0.5
429	0.0
430	1.0
431	0.5
432	0.0
433	0.4
434	1.0
435	1.0
436	0.0
437	0.3
438	1.0
439	1.0
440	0.6
441	0.0
442	0.8
443	0.5
444	0.4
445	1.0
446	0.0
447	1.0
448	1.0
449	1.0
450	0.0
451	0.2
452	1.0
453	0.5
454	0.0
455	0.0
456	0.5
457	0.3
458	0.3
459	0.0
460	0.0
461	0.5
462	0.3
463	0.0
464	1.0
465	0.7
466	0.0
467	0.0
468	0.0
469	1.0
470	0.5
471	0.0
472	0.0
473	0.3
474	0.0
475	0.9
476	1.0
477	0.6
478	1.0
479	0.0
480	0.3
481	0.4
482	0.3
483	1.0
484	1.0
485	0.0
486	0.6
487	1.0
488	0.4
489	0.0
490	0.9
491	0.4
492	0.0
493	1.0
494	0.5
495	0.0
496	0.0
497	0.0
498	1.0
499	0.8
500	1.0
501	0.0
502	1.0
503	0.0
504	0.0
505	0.0
506	0.6
507	0.0
508	0.4
509	1.0
510	0.0
511	1.0
512	0.1
513	0.9
514	0.0
515	0.0
516	0.5
517	0.5
518	0.1
519	0.6
520	1.0
521	0.2
522	0.2
523	0.3
524	0.2
525	0.0
526	0.0
527	0.0
528	0.2
529	1.0
530	0.7
531	0.0
532	0.4
533	0.0
534	0.0
535	0.3
536	1.0
537	0.6
538	0.7
539	0.0
540	0.0
541	0.0
542	0.0
543	0.0
544	0.3
545	1.0
546	0.0
547	0.8
