index	centeredness
2	0.85
3	0.61
4	0.84
5	0.55
6	0.92
7	0.94
8	0.67
9	0.87
10	0.54
11	0.75
12	0.3
13	0.34
14	0.43
15	0.88
16	0.93
17	0.56
18	0.79
19	0.52
20	0.77
21	0.47
22	0.93
23	0.48
24	0.72
25	0.53
26	0.69
27	0.72
28	0.86
29	0.84
30	0.46
31	0.55
32	0.33
33	0.92
34	0.67
35	0.75
36	0.64
37	0.83
38	0.83
39	0.84
40	0.91
41	0.95
42	0.52
43	0.94
44	0.91
45	0.57
46	0.93
47	0.97
48	0.49
49	0.41
50	0.9
51	0.95
52	0.54
53	0.72
54	0.75
55	0.75
56	0.85
57	0.4
58	0.65
59	0.97
60	0.73
61	0.47
62	0.76
63	0.5
64	0.88
65	0.47
66	0.67
67	0.39
68	0.78
69	0.94
70	0.82
71	0.88
72	0.51
73	0.82
74	0.78
75	0.9
76	0.85
77	0.6
78	0.38
79	0.54
80	0.49
81	0.86
82	0.73
83	0.86
84	0.19
85	0.95
86	0.46
87	0.88
88	0.69
89	0.72
90	0.63
91	0.56
92	0.88
93	0.37
94	0.67
95	0.4
96	0.4
97	0.84
98	0.48
99	0.53
100	0.69
101	0.83
102	0.52
103	0.82
104	0.92
105	0.71
106	0.91
107	0.91
108	0.64
109	0.78
110	0.38
111	0.89
112	0.81
113	0.43
114	0.44
115	0.72
116	0.59
117	0.95
118	0.57
119	0.69
120	0.4
121	0.6
122	0.86
123	0.59
124	0.67
125	0.7
126	0.73
127	0.96
128	0.9
129	0.51
130	0.79
131	0.91
132	0.53
133	0.8
134	0.49
135	0.79
136	0.95
137	0.9
138	0.78
139	0.44
140	0.89
141	0.81
142	0.93
143	0.87
144	0.83
145	0.21
146	0.34
147	0.57
148	0.72
149	0.62
150	0.51
151	0.7
152	0.68
153	0.86
154	0.4
155	0.5
156	0.76
157	0.88
158	0.59
159	0.54
160	1.0
161	0.82
162	0.85
163	0.59
164	0.56
165	0.39
166	0.89
167	0.7
168	0.51
169	0.73
170	0.71
171	0.9
172	0.54
173	0.04
174	0.86
175	0.91
176	0.89
177	0.11
178	0.61
179	0.94
180	0.73
181	0.99
182	0.57
183	0.96
184	0.45
185	0.91
186	0.91
187	0.52
188	0.75
189	0.91
190	0.76
191	0.1
192	0.75
193	0.56
194	0.39
195	0.73
196	0.53
197	0.9
198	0.83
199	0.57
200	0.46
201	0.76
202	0.24
203	1.0
204	0.2
205	1.0
206	0.69
207	0.81
208	0.34
209	0.99
210	0.63
211	0.74
212	0.6
213	0.77
214	0.75
215	0.61
216	0.11
217	0.93
218	0.96
219	0.99
220	0.76
221	0.4
222	0.66
223	0.73
224	0.28
225	0.91
226	0.34
227	0.95
228	0.9
229	0.53
230	0.75
231	0.74
232	0.94
233	0.78
234	0.7
235	0.16
236	0.86
237	0.79
238	0.36
239	0.79
240	0.38
241	0.82
242	0.37
243	0.7
244	0.96
245	0.44
246	0.81
247	0.75
248	0.5
249	0.77
250	0.84
251	0.91
252	0.87
253	0.41
254	0.39
255	0.66
256	0.47
257	0.62
258	0.59
259	0.89
260	0.24
261	0.41
262	0.82
263	0.82
264	0.65
265	0.94
266	0.84
267	0.81
268	0.96
269	0.76
270	0.61
271	0.47
272	0.81
273	0.94
274	0.68
275	0.4
276	0.91
277	0.61
278	0.69
279	0.58
280	0.62
281	0.58
282	0.19
283	0.93
284	0.85
285	0.49
286	0.76
287	0.42
288	0.93
289	0.5
290	0.71
291	0.25
292	0.66
293	0.84
294	0.66
295	0.39
296	0.72
297	0.67
298	0.15
299	0.56
300	0.75
301	0.91
302	0.65
303	0.75
304	0.24
305	0.8
306	0.43
307	0.79
308	0.54
309	0.58
310	0.58
311	0.71
312	0.53
313	0.56
314	0.38
315	0.63
316	0.53
317	0.54
318	0.83
319	0.69
320	0.9
321	0.54
322	0.84
323	0.92
324	0.97
325	0.97
326	0.71
327	0.97
328	0.48
329	0.57
330	0.86
331	0.81
332	0.8
333	0.34
334	0.88
335	0.53
336	0.58
337	0.88
338	0.91
339	0.6
340	0.82
341	0.57
342	0.3
343	0.64
344	0.61
345	0.91
346	0.91
347	0.57
348	0.44
349	0.66
350	0.81
351	0.42
352	0.52
353	0.61
354	0.78
355	0.85
356	0.52
357	0.53
358	0.93
359	0.81
360	0.54
361	0.61
362	0.89
363	1.0
364	0.89
365	0.74
366	0.53
367	0.94
368	0.19
369	0.99
370	0.56
371	0.75
372	0.84
373	0.66
374	0.84
375	0.83
376	0.18
377	0.84
378	0.7
379	0.6
380	0.83
381	0.26
382	0.85
383	0.76
384	0.84
385	0.4
386	0.91
387	0.76
389	0.57
390	0.16
391	0.66
392	0.12
393	0.48
394	0.51
