index	centeredness
2	0.72
3	0.44
4	0.92
5	0.3
6	0.75
7	1.0
8	0.5
9	0.64
10	0.58
11	0.76
12	0.41
13	0.2
14	0.37
15	0.84
16	0.92
17	0.63
18	0.77
19	0.66
20	0.94
21	0.5
22	0.97
23	0.74
24	0.73
25	0.5
26	0.74
27	0.84
28	0.83
29	0.85
30	0.53
31	0.56
32	0.37
33	0.83
34	0.73
35	0.66
36	0.78
37	0.85
38	0.77
39	0.83
40	0.75
41	0.93
42	0.28
43	1.0
44	0.72
45	0.73
46	1.0
47	0.91
48	0.61
49	0.33
50	0.9
51	0.83
52	0.69
53	0.72
54	0.85
55	0.72
56	0.77
57	0.42
58	0.5
59	1.0
60	0.62
61	0.42
62	0.74
63	0.48
64	0.86
65	0.38
66	0.87
67	0.64
68	0.7
69	1.0
70	0.96
71	1.0
72	0.6
73	0.68
74	0.77
75	0.87
76	0.97
77	0.74
78	0.15
79	0.94
80	0.52
81	0.82
82	0.76
83	0.85
84	0.0
85	0.85
86	0.39
87	0.84
88	0.8
89	0.57
90	0.44
91	0.56
92	0.82
93	0.3
94	0.59
95	0.42
96	0.36
97	0.8
98	0.27
99	0.5
100	0.67
101	0.76
102	0.26
103	0.89
104	0.84
105	0.68
106	0.78
107	0.9
108	0.36
109	0.71
110	0.42
111	0.61
112	0.78
113	0.65
114	0.3
115	0.29
116	0.54
117	0.99
118	0.41
119	0.73
120	0.3
121	0.41
122	0.72
123	0.47
124	0.71
125	0.54
126	0.76
127	0.97
128	1.0
129	0.07
130	0.84
131	1.0
132	0.31
133	0.88
134	0.43
135	0.64
136	0.95
137	0.89
138	0.53
139	0.38
140	0.6
141	0.52
142	0.93
143	0.72
144	0.81
145	0.36
146	0.43
147	0.25
148	0.64
149	0.84
150	0.47
151	0.73
152	0.6
153	0.84
154	0.47
155	0.89
156	1.0
157	0.83
158	0.72
159	0.65
160	1.0
161	0.63
162	0.7
163	0.32
164	0.56
165	0.25
166	0.87
167	0.17
168	0.61
169	0.74
170	0.61
171	0.89
172	0.39
173	0.0
174	0.78
175	0.94
176	0.74
177	0.08
178	0.7
179	0.82
180	0.86
181	0.63
182	0.52
183	0.97
184	0.38
185	0.9
186	0.89
187	0.29
188	0.73
189	0.88
190	0.76
191	0.0
192	0.66
193	0.35
194	0.2
195	0.63
196	0.63
197	0.89
198	0.87
199	0.54
200	0.39
201	0.66
202	0.58
203	0.99
204	0.25
205	0.83
206	0.75
207	1.0
208	0.26
209	1.0
210	0.51
211	0.64
212	0.46
213	0.83
214	0.67
215	0.23
216	0.0
217	0.97
218	0.81
219	0.89
220	0.66
221	0.19
222	0.49
223	0.53
224	0.0
225	0.95
226	0.34
227	1.0
228	1.0
229	0.33
230	0.47
231	1.0
232	0.94
233	0.74
234	0.78
235	0.16
236	0.84
237	0.88
238	0.23
