column	bad	old_point_error	new_point_error	direct_gradient_finite	target_gradient_finite	gradient_error	direct_bad	target_bad
1	true	Inf	6.687507467497216e-17	false	false	NaN	23,24,43	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
87	false	1.2317439321045389e-16	7.221030609268715e-17	true	true	5.841476614363247e-15		
174	false	2.7119630749613426e-16	6.758897448076796e-17	true	true	4.736830942122218e-15		
260	false	1.0963949789257034e-16	7.624641368360606e-17	true	true	1.09774442525646e-14		
346	false	1.0375118959049963e-16	1.1046636864224053e-16	true	true	6.823791644059423e-14		
432	false	1.2764189090017016e-16	5.901686041759886e-17	true	true	1.9851422981335382e-14		
519	false	1.0529964442346867e-16	6.909330889823313e-17	true	true	2.27606086854109e-13		
605	false	1.281893951710119e-16	7.087966455863923e-17	true	true	2.956760318041179e-13		
691	false	1.1253925239195417e-16	4.271705930956908e-17	true	true	1.293164433125277e-14		
777	false	1.3685007728801718e-16	5.90254818603129e-17	true	true	1.08457721167227e-12		
864	false	1.1073108099026184e-16	7.295298578912328e-17	true	true	1.4809955128823156e-13		
950	false	8.626726580079199e-17	4.609576701580516e-17	true	true	1.9734370065970848e-13		
