configuration	draw	school	gradient	finite_difference	relative_error
NCP	1	1	-1.1968959617719546	-1.1968959618329484	5.096004879636139e-11
NCP	1	2	2.064237471828286	2.0642374719334797	5.0960043608773385e-11
NCP	1	3	1.4229357369422484	1.4229357370147613	5.096005582204699e-11
NCP	1	4	-0.14453309460553884	-0.14453309455930707	4.623176841356269e-11
NCP	1	5	-1.5347090548056248	-1.5347090547475242	3.785775240718323e-11
NCP	1	6	-1.4037048166843107	-1.4037048166311696	3.7857708035662684e-11
NCP	1	7	0.07328722720918715	0.07328722713140223	7.778491739607318e-11
NCP	1	8	0.40151203384456846	0.4015120338429767	1.5917822615563182e-12
NCP	5000	1	-1.1136710826626526	-1.1136710827194054	5.0960131357913576e-11
NCP	5000	2	0.10162338916707764	0.10162338921482215	4.7744516673553505e-11
NCP	5000	3	-0.27095924621936196	-0.27095924628461887	6.525691098602238e-11
NCP	5000	4	-0.10107734603835364	-0.1010773459597658	7.85878445652699e-11
NCP	5000	5	0.4649286636948317	0.4649286636571048	3.7726932688997294e-11
NCP	5000	6	1.4679528373639328	1.4679528373083592	3.785785506912988e-11
NCP	5000	7	-2.182362240575117	-2.1823622404924974	3.7857917137698674e-11
NCP	5000	8	-0.021249411093247766	-0.02124941111958378	2.633601323132062e-11
NCP	10000	1	0.21651362088488235	0.21651362085428613	3.0596220002010455e-11
NCP	10000	2	-0.030905339384776492	-0.030905339354347913	3.042857979473901e-11
NCP	10000	3	0.0994717287916321	0.09947172880941933	1.7787230022214828e-11
NCP	10000	4	-1.9474834726024877	-1.9474834726152461	6.551255060120132e-12
NCP	10000	5	0.8564563826160473	0.8564563826141124	1.934896687316723e-12
NCP	10000	6	-0.5957751396949598	-0.5957751397112077	1.624789192078424e-11
NCP	10000	7	-0.4061915922213932	-0.40619159218380213	3.7591096901934407e-11
NCP	10000	8	-1.425329715099728	-1.4253297151090654	6.551059468829002e-12
Post-hoc	1	1	-0.5316433067560556	-0.5316433067559245	1.31117339208231e-13
Post-hoc	1	2	0.5359559733107586	0.5359559733131292	2.3705482021796342e-12
Post-hoc	1	3	-0.2520049146954665	-0.2520049146914616	4.004907516730327e-12
Post-hoc	1	4	-0.6141087693817557	-0.6141087693922742	1.0518474979903658e-11
Post-hoc	1	5	-0.994023780963401	-0.99402378095359	9.811040868612508e-12
Post-hoc	1	6	0.23923595703422315	0.23923595704467002	1.0446865594815335e-11
Post-hoc	1	7	0.0024861639444612345	0.002486163941384234	3.077000459983381e-12
Post-hoc	1	8	-0.43096272503192296	-0.4309627250398406	7.917666522416766e-12
Post-hoc	5000	1	0.3377462985721851	0.3377462985731938	1.0087486401744172e-12
Post-hoc	5000	2	-0.6282059839083594	-0.6282059839435306	3.5171199286310184e-11
Post-hoc	5000	3	-1.2627497221923234	-1.262749722256673	5.095992942970366e-11
Post-hoc	5000	4	0.6132356592995593	0.6132356592747357	2.4823587629896338e-11
Post-hoc	5000	5	0.07895260606527967	0.07895260605295107	1.2328596477040321e-11
Post-hoc	5000	6	0.999184005994791	0.9991840059786482	1.614275380035224e-11
Post-hoc	5000	7	0.6514292062564492	0.6514292062220761	3.437305995390716e-11
Post-hoc	5000	8	-0.46721974839487723	-0.4672197484012485	6.371292382567617e-12
Post-hoc	10000	1	-1.0169697053365852	-1.0169697052980848	3.7857877030082014e-11
Post-hoc	10000	2	-0.4733265817319809	-0.47332658170695646	2.502442697505103e-11
Post-hoc	10000	3	0.5878632609234152	0.587863260959054	3.563871420197984e-11
Post-hoc	10000	4	-0.7849214161128524	-0.7849214160859929	2.685951461245395e-11
Post-hoc	10000	5	0.5072619440183311	0.5072619440049664	1.3364753748135172e-11
Post-hoc	10000	6	-0.02839024567713747	-0.028390245709886127	3.274865795210857e-11
Post-hoc	10000	7	0.8281349927733271	0.8281349927585778	1.4749312882145205e-11
Post-hoc	10000	8	-0.5687584037062438	-0.5687584036628834	4.33603153382478e-11
Online	1	1	0.6317907039001527	0.6317907038866366	1.351607714639158e-11
Online	1	2	0.3146844854295425	0.3146844854917674	6.222489190577107e-11
Online	1	3	-0.04572621124861488	-0.04572621126186504	1.3250157915312144e-11
Online	1	4	-1.3582663461574305	-1.3582663462266478	5.096003354223029e-11
Online	1	5	-0.8511988416155657	-0.8511988415893511	2.6214586057449196e-11
Online	1	6	0.7443580571811804	0.7443580571475649	3.3615554784205415e-11
Online	1	7	-0.3230976636550419	-0.3230976636015015	5.354039434024571e-11
Online	1	8	-0.6099799115715373	-0.6099799115588667	1.2670642313139524e-11
Online	5000	1	-1.2072501457181155	-1.2072501456724118	3.785765794970184e-11
Online	5000	2	0.7571204388711394	0.7571204388767682	5.628719712547081e-12
Online	5000	3	2.229093345128799	2.2290933450444106	3.7857766869826596e-11
Online	5000	4	1.6032225101611501	1.603222510171653	6.551137968056093e-12
Online	5000	5	-0.7587497509508354	-0.7587497509842221	3.338673781883017e-11
Online	5000	6	0.17620818329633314	0.1762081832890061	7.327055628891799e-12
Online	5000	7	-0.2540461703681988	-0.2540461704114705	4.327166402973148e-11
Online	5000	8	0.31439417782972545	0.3143941778027681	2.6957325260923426e-11
Online	10000	1	-0.8423716205899477	-0.8423716205907538	8.060219158778636e-13
Online	10000	2	0.19882569526355742	0.1988256952412115	2.234593066141599e-11
Online	10000	3	0.14900618226017254	0.1490061822373434	2.2829127477308475e-11
Online	10000	4	0.1836177023238298	0.18361770233177307	7.943284918709992e-12
Online	10000	5	0.23798567614740232	0.23798567614363716	3.765154854562525e-12
Online	10000	6	-1.3513053624542781	-1.3513053624631308	6.551218251422877e-12
Online	10000	7	0.06316568801388851	0.06316568801345568	4.328343239379251e-13
Online	10000	8	1.9220978169460574	1.9220978168732912	3.785771818605845e-11
