package	version	tree_hash	source	git_sha
ADTypes	1.24.0	629de23e1c16911b439dabd2303c08af9575b226	/home/n/.julia/packages/ADTypes/0z2Sm	
AbstractFFTs	1.5.0	d92ad398961a3ed262d8bf04a1a2b8340f915fef	/home/n/.julia/packages/AbstractFFTs/4iQz5	
AbstractMCMC	5.16.0	328c7d50f307c66308a915abb20d9889e5aab48b	/home/n/.julia/packages/AbstractMCMC/NK6XN	
AbstractPPL	0.15.5	31fb177c9952267ac2dc54a44868cb768390e6ef	/home/n/.julia/packages/AbstractPPL/Kuf2H	
AbstractTrees	0.4.5	2d9c9a55f9c93e8887ad391fbae72f8ef55e1177	/home/n/.julia/packages/AbstractTrees/Ftf8W	
Accessors	0.1.45	7063ad1083578215c7c4bf410368150abe8d5524	/home/n/.julia/packages/Accessors/e7kZq	
Adapt	4.7.0	daa72978cd7a624246e894a4f4f067706d4e17e2	/home/n/.julia/packages/Adapt/YzfDi	
AdvancedHMC	0.8.7	230bc5a3a9cd4e2ddb9c7cb1e00f330c88f04e03	/home/n/.julia/packages/AdvancedHMC/db2kL	
AdvancedMH	0.8.10	62ddbccf0ce5c26f8ef3cebe4bedef6b1599d616	/home/n/.julia/packages/AdvancedMH/IkIeT	
AdvancedPS	0.7.2	d92dd3fb4cc2748860ae8d5dd1d324cf0715a53b	/home/n/.julia/packages/AdvancedPS/ZHu61	
AdvancedVI	0.7.0	fc42c29943eae508fd28ec620d1faa4d2c1ce044	/home/n/.julia/packages/AdvancedVI/BGKMH	
AliasTables	1.1.3	9876e1e164b144ca45e9e3198d0b689cadfed9ff	/home/n/.julia/packages/AliasTables/N6kwW	
ArgCheck	2.5.0	f9e9a66c9b7be1ad7372bbd9b062d9230c30c5ce	/home/n/.julia/packages/ArgCheck/DaoPJ	
ArgTools	1.1.1	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/ArgTools	
ArrayInterface	7.30.2	1aec1ff0dcaa83a484e7f72097562fa3102c6722	/home/n/.julia/packages/ArrayInterface/TT5ip	
Artifacts	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Artifacts	
BangBang	0.4.9	cceb62468025be98d42a5dc581b163c20896b040	/home/n/.julia/packages/BangBang/ZEWNl	
Base64	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Base64	
BayesianRegressionModels	0.2.1	nothing	/home/n/.local/state/kb-agents-worktrees/BayesianRegressionModels-docs-eight-schools	e0be210778a95b16cfcb3ec68e956637142eade1
Bijectors	0.16.3	a58fb73182f07a5a561bfadbe40efb9c6c892853	/home/n/.julia/packages/Bijectors/6t7LY	
BridgeStan	2.9.0	3037ad381e5595495008cf529c7adb7146b689ac	/home/n/.julia/packages/BridgeStan/lLxtM	
CEnum	0.5.0	389ad5c84de1ae7cf0e28e381131c98ea87d54fc	/home/n/.julia/packages/CEnum/B6ahP	
CRC32c	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/CRC32c	
CategoricalArrays	1.1.1	20ff1463035a170b25eba2ef9823bb9ad51635e4	/home/n/.julia/packages/CategoricalArrays/pvykx	
ChainRulesCore	1.26.1	12177ad6b3cad7fd50c8b3825ce24a99ad61c18f	/home/n/.julia/packages/ChainRulesCore/IZ7FD	
Chairmarks	1.3.1	9a49491e67e7a4d6f885c43d00bb101e6e5a434b	/home/n/.julia/packages/Chairmarks/yJzRJ	
ChangesOfVariables	0.1.11	83ee8183bd8c4a390ae178385e6c7b3aa4e468b2	/home/n/.julia/packages/ChangesOfVariables/BJUGr	
ChunkSplitters	3.2.0	1c52c8e2673edc030191177ff1aee42d25149acb	/home/n/.julia/packages/ChunkSplitters/5ciiA	
CommonSolve	0.2.14	6c389fa857f6ca5a95474b52a52023fd77f24cb7	/home/n/.julia/packages/CommonSolve/zocpq	
CommonSubexpressions	0.3.1	cda2cfaebb4be89c9084adaca7dd7333369715c5	/home/n/.julia/packages/CommonSubexpressions/nws5L	
Compat	4.18.1	9d8a54ce4b17aa5bdce0ea5c34bc5e7c340d16ad	/home/n/.julia/packages/Compat/FiBO2	
CompilerSupportLibraries_jll	1.1.1+0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/CompilerSupportLibraries_jll	
CompositionsBase	0.1.2	802bb88cd69dfd1509f6670416bd4434015693ad	/home/n/.julia/packages/CompositionsBase/IN0VV	
ConsoleProgressMonitor	0.1.2	3ab7b2136722890b9af903859afcf457fa3059e8	/home/n/.julia/packages/ConsoleProgressMonitor/X1ECa	
ConstructionBase	1.6.0	b4b092499347b18a015186eae3042f72267106cb	/home/n/.julia/packages/ConstructionBase/3a7dg	
DataAPI	1.16.0	abe83f3a2f1b857aac70ef8b269080af17764bbe	/home/n/.julia/packages/DataAPI/atdEM	
DataStructures	0.19.6	b0bc6d2cad1fed8b7fd59a1551a991cb3d2809e6	/home/n/.julia/packages/DataStructures/IwRP2	
DataValueInterfaces	1.0.0	bfc1187b79289637fa0ef6d4436ebdfe6905cbd6	/home/n/.julia/packages/DataValueInterfaces/0j6Kp	
Dates	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Dates	
DelimitedFiles	1.9.1	9e2f36d3c96a820c678f2f1f1782582fcf685bae	/home/n/.julia/packages/DelimitedFiles/aGcsu	
DensityInterface	0.4.0	80c3e8639e3353e5d2912fb3a1916b8455e2494b	/home/n/.julia/packages/DensityInterface/MCyV6	
DiffResults	1.1.0	782dd5f4561f5d267313f23853baaaa4c52ea621	/home/n/.julia/packages/DiffResults/YLo25	
DiffRules	1.16.0	79a2aca180a85c690c58a020d47b426954b590f8	/home/n/.julia/packages/DiffRules/7zWhL	
DifferentiationInterface	0.7.21	0693d8b0a4608ff289d228ab4c598df5894845cd	/home/n/.julia/packages/DifferentiationInterface/seMaz	
DimensionalData	0.30.2	3e5b58039d35b98f425446c099577d67633a7237	/home/n/.julia/packages/DimensionalData/zaeVT	
Distributed	nothing	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Distributed	
Distributions	0.25.131	a958ab3a40c755563f5e1405c0846cb0446bf19d	/home/n/.julia/packages/Distributions/RTt4y	
DocStringExtensions	0.9.5	7442a5dfe1ebb773c29cc2962a8980f47221d76c	/home/n/.julia/packages/DocStringExtensions/zNis6	
Downloads	1.6.0	nothing	/home/n/.julia/juliaup/julia-1.10.11+0.x64.linux.gnu/share/julia/stdlib/v1.10/Downloads	
DynamicHMC	3.6.1	ec5d0306713c81e2216488fca1126678ce3c44ba	/home/n/.julia/packages/DynamicHMC/1t59O	
DynamicPPL	0.42.13	8f9dc691ddef45d534e9ca1ddea33101a02283c7	/home/n/.julia/packages/DynamicPPL/KUCnw	
ElasticArrays	1.2.12	75e5697f521c9ab89816d3abeea806dfc5afb967	/home/n/.julia/packages/ElasticArrays/tYOnZ	
EllipticalSliceSampling	2.0.0	e611b7fdfbfb5b18d5e98776c30daede41b44542	/home/n/.julia/packages/EllipticalSliceSampling/cdEl3	
EnumX	1.0.7	c49898e8438c828577f04b92fc9368c388ac783c	/home/n/.julia/packages/EnumX/CGSQY	
