draw	source_value	brm_value	transformed_brm_value	density_absolute_error	max_gradient_absolute_error
1	-47.271442591700605	-42.317636465422034	-47.271442591700605	0.0	4.440892098500626e-16
668	-55.363253222972176	-36.4676162197537	-55.363253222972176	0.0	5.551115123125783e-17
1334	-41.17869121155517	-44.54260224140099	-41.17869121155516	7.105427357601002e-15	3.552713678800501e-15
2001	-48.733141191353134	-38.41555981692134	-48.733141191353134	0.0	1.1102230246251565e-16
2667	-54.973234080056365	-39.47230397391151	-54.973234080056365	0.0	2.6645352591003757e-15
3334	-27.362679992602825	-43.33963716586715	-27.362679992602835	1.0658141036401503e-14	7.638334409421077e-14
4001	-29.061758276128174	-43.17338746653504	-29.061758276128167	7.105427357601002e-15	2.6256774532384952e-14
4667	-52.373092755613584	-41.5022296121848	-52.373092755613584	0.0	8.881784197001252e-16
5334	-58.11453836879967	-40.181353965414765	-58.11453836879967	0.0	4.440892098500626e-15
6000	-52.73244032219639	-39.030844028678224	-52.73244032219639	0.0	2.220446049250313e-15
6667	-57.58571894874412	-40.00825410117587	-57.58571894874412	0.0	8.881784197001252e-16
7334	-52.10868479511615	-41.242262504151	-52.10868479511615	0.0	2.220446049250313e-16
8000	-54.57967306248541	-36.8621598135787	-54.57967306248541	0.0	2.2551405187698492e-17
8667	-61.18155336664608	-34.9447570410479	-61.18155336664607	7.105427357601002e-15	1.7763568394002505e-15
9333	-38.17797277770694	-40.2748626087067	-38.177972777706934	7.105427357601002e-15	1.3322676295501878e-15
10000	-53.488321677707276	-37.60655694385417	-53.488321677707276	0.0	1.5543122344752192e-15
