repetition	fit	seconds	compile_seconds	gc_seconds	total_gradients	sampling_gradients
1	noncentered	0.282673468	0.0	0.00996633	70220	68688
1	centered	0.787245099	0.0	0.054574178	174269	170284
1	selected_partial	0.400529978	0.0	0.043105326	70980	69476
1	online	0.811034516	0.0	0.062053357	70854	69328
2	online	0.832984605	0.0	0.075769076	70854	69328
2	selected_partial	0.354219153	0.0	0.035530042	70980	69476
2	centered	0.746993327	0.0	0.042550692	174269	170284
2	noncentered	0.324974265	0.0	0.037235865	70220	68688
3	noncentered	0.324762533	0.0	0.015491417	70220	68688
3	centered	0.749465125	0.0	0.045514015	174269	170284
3	selected_partial	0.344433122	0.0	0.030701876	70980	69476
3	online	0.848759645	0.0	0.062057292	70854	69328
