parameter	generating	mean	sd	q025	q975
b0	0.5	0.8865	0.1854	0.5392	1.2876
bm	0.4	0.187	0.1527	-0.0924	0.4936
a12	-0.25	-0.2579	0.0454	-0.3448	-0.1748
a21	-0.3	-0.3264	0.043	-0.4129	-0.2446
a22	-0.6	-0.6521	0.0497	-0.7535	-0.5605
cintm	0.3	0.3269	0.027	0.2744	0.3824
qd0	-0.2	-0.1711	0.097	-0.3674	0.0122
qd1	0.3	0.3294	0.0556	0.2295	0.448
cz	0.7	0.4743	0.1153	0.2679	0.7134
sdm	0.6	0.659	0.0369	0.5977	0.7312
l31	1.2	1.1599	0.1204	0.9433	1.4154
thr	-1.0	-0.988	0.0427	-1.0778	-0.9057
r1	0.3	0.2994	0.0576	0.178	0.3949
r2	0.3	0.2474	0.033	0.1786	0.3006
