generator	seed	parameter	mean	sd
xo8	1	b0	0.7162	0.1763
xo8	1	bm	0.3185	0.1382
xo8	1	a12	-0.1926	0.0334
xo8	1	a21	-0.2655	0.0343
xo8	1	a22	-0.5841	0.0411
xo8	1	cintm	0.3051	0.0246
xo8	1	qd0	-0.1468	0.0891
xo8	1	qd1	0.2691	0.0585
xo8	1	cz	0.8568	0.1353
xo8	1	sdm	0.6072	0.0306
xo8	1	l31	1.2377	0.1296
xo8	1	thr	-1.0318	0.0424
xo8	1	r1	0.3221	0.0596
xo8	1	r2	0.289	0.0248
xo8	2	b0	0.5732	0.1726
xo8	2	bm	0.4805	0.1352
xo8	2	a12	-0.2794	0.0366
xo8	2	a21	-0.2963	0.0348
xo8	2	a22	-0.6202	0.0451
xo8	2	cintm	0.3112	0.0258
xo8	2	qd0	-0.1505	0.0865
xo8	2	qd1	0.2908	0.0552
xo8	2	cz	0.5484	0.1084
xo8	2	sdm	0.6276	0.0313
xo8	2	l31	1.1419	0.1158
xo8	2	thr	-1.0411	0.0448
xo8	2	r1	0.21	0.0916
xo8	2	r2	0.2631	0.0272
xo8	3	b0	0.9552	0.173
xo8	3	bm	0.069	0.139
xo8	3	a12	-0.2491	0.0411
xo8	3	a21	-0.2708	0.0362
xo8	3	a22	-0.5865	0.0453
xo8	3	cintm	0.2914	0.0259
xo8	3	qd0	-0.1162	0.082
xo8	3	qd1	0.2576	0.0539
xo8	3	cz	0.7375	0.117
xo8	3	sdm	0.5862	0.0329
xo8	3	l31	1.2198	0.1165
xo8	3	thr	-0.9905	0.0458
xo8	3	r1	0.272	0.0697
xo8	3	r2	0.3047	0.0248
xo8	4	b0	0.7033	0.1785
xo8	4	bm	0.3942	0.1727
xo8	4	a12	-0.2731	0.0435
xo8	4	a21	-0.3099	0.0416
xo8	4	a22	-0.6106	0.0513
xo8	4	cintm	0.3116	0.0292
xo8	4	qd0	-0.1561	0.0822
xo8	4	qd1	0.2891	0.0593
xo8	4	cz	0.5459	0.1095
xo8	4	sdm	0.5824	0.0364
xo8	4	l31	1.1484	0.1141
xo8	4	thr	-0.9798	0.0449
xo8	4	r1	0.2994	0.0506
xo8	4	r2	0.3151	0.0254
xo8	5	b0	0.7074	0.1594
xo8	5	bm	0.2957	0.1494
xo8	5	a12	-0.2156	0.038
xo8	5	a21	-0.2397	0.0308
xo8	5	a22	-0.564	0.0448
xo8	5	cintm	0.2806	0.0259
xo8	5	qd0	-0.109	0.0723
xo8	5	qd1	0.2598	0.0531
xo8	5	cz	0.6303	0.0944
xo8	5	sdm	0.5823	0.0331
xo8	5	l31	1.1097	0.0992
xo8	5	thr	-0.9833	0.0459
xo8	5	r1	0.199	0.0788
xo8	5	r2	0.3069	0.0236
xo8	6	b0	0.6066	0.1649
xo8	6	bm	0.3082	0.1537
xo8	6	a12	-0.1875	0.0396
xo8	6	a21	-0.3406	0.04
xo8	6	a22	-0.6689	0.053
xo8	6	cintm	0.3201	0.0288
xo8	6	qd0	-0.1447	0.0805
xo8	6	qd1	0.1886	0.0562
xo8	6	cz	0.4013	0.0994
xo8	6	sdm	0.638	0.0417
xo8	6	l31	1.0801	0.1164
xo8	6	thr	-0.9971	0.0422
xo8	6	r1	0.311	0.0547
xo8	6	r2	0.2769	0.0362
xo8	7	b0	0.844	0.2035
xo8	7	bm	0.2103	0.1644
xo8	7	a12	-0.261	0.0384
xo8	7	a21	-0.3139	0.0375
xo8	7	a22	-0.5203	0.0378
xo8	7	cintm	0.284	0.0229
xo8	7	qd0	-0.2151	0.0965
xo8	7	qd1	0.3215	0.0692
xo8	7	cz	0.7324	0.1456
xo8	7	sdm	0.5442	0.028
xo8	7	l31	1.4195	0.149
xo8	7	thr	-0.9318	0.0492
xo8	7	r1	0.3832	0.0431
xo8	7	r2	0.342	0.0186
xo8	8	b0	0.398	0.1641
xo8	8	bm	0.5085	0.1589
xo8	8	a12	-0.2223	0.0362
xo8	8	a21	-0.3646	0.0378
xo8	8	a22	-0.5909	0.0409
xo8	8	cintm	0.3114	0.0251
xo8	8	qd0	-0.3033	0.0758
xo8	8	qd1	0.3845	0.0617
xo8	8	cz	0.8614	0.1378
xo8	8	sdm	0.5619	0.0309
xo8	8	l31	1.3879	0.1141
xo8	8	thr	-0.9707	0.0475
xo8	8	r1	0.385	0.0324
xo8	8	r2	0.3148	0.0216
xo64	1	b0	0.4263	0.1805
xo64	1	bm	0.2105	0.151
xo64	1	a12	-0.1718	0.0297
xo64	1	a21	-0.2892	0.0376
xo64	1	a22	-0.5767	0.044
xo64	1	cintm	0.305	0.0257
xo64	1	qd0	-0.3759	0.0837
xo64	1	qd1	0.3238	0.0608
xo64	1	cz	0.7233	0.1129
xo64	1	sdm	0.5945	0.0308
xo64	1	l31	1.3488	0.1255
xo64	1	thr	-1.0229	0.0453
xo64	1	r1	0.3581	0.0335
xo64	1	r2	0.2859	0.0237
xo64	2	b0	0.5626	0.1556
xo64	2	bm	0.3603	0.1387
xo64	2	a12	-0.2495	0.0371
xo64	2	a21	-0.3346	0.0416
xo64	2	a22	-0.6224	0.0517
xo64	2	cintm	0.3031	0.0292
xo64	2	qd0	-0.2001	0.0782
xo64	2	qd1	0.2223	0.0508
xo64	2	cz	0.6228	0.1041
xo64	2	sdm	0.6231	0.0382
xo64	2	l31	1.1391	0.1154
xo64	2	thr	-0.9584	0.0451
xo64	2	r1	0.2948	0.0526
xo64	2	r2	0.2585	0.0343
xo64	3	b0	0.5223	0.1682
xo64	3	bm	0.3152	0.1512
xo64	3	a12	-0.2252	0.0378
xo64	3	a21	-0.3172	0.0396
xo64	3	a22	-0.6042	0.0534
xo64	3	cintm	0.3158	0.0298
xo64	3	qd0	-0.2902	0.0794
xo64	3	qd1	0.2891	0.0583
xo64	3	cz	0.6191	0.1097
xo64	3	sdm	0.5795	0.0369
xo64	3	l31	1.5275	0.1347
xo64	3	thr	-1.0059	0.0447
xo64	3	r1	0.3347	0.0364
xo64	3	r2	0.3088	0.0264
xo64	4	b0	0.8637	0.1722
xo64	4	bm	0.1081	0.1548
xo64	4	a12	-0.2278	0.0369
xo64	4	a21	-0.2979	0.0406
xo64	4	a22	-0.641	0.0517
xo64	4	cintm	0.3448	0.0303
xo64	4	qd0	-0.0994	0.0838
xo64	4	qd1	0.1966	0.056
xo64	4	cz	0.6556	0.1089
xo64	4	sdm	0.602	0.036
xo64	4	l31	1.3038	0.1339
xo64	4	thr	-0.9997	0.0436
xo64	4	r1	0.2646	0.0676
xo64	4	r2	0.2831	0.0279
xo64	5	b0	0.4916	0.1598
xo64	5	bm	0.3406	0.1352
xo64	5	a12	-0.2107	0.0343
xo64	5	a21	-0.2957	0.0357
xo64	5	a22	-0.5746	0.0439
xo64	5	cintm	0.31	0.027
xo64	5	qd0	-0.2006	0.0763
xo64	5	qd1	0.2187	0.0504
xo64	5	cz	0.7002	0.117
xo64	5	sdm	0.5782	0.0319
xo64	5	l31	1.0604	0.1053
xo64	5	thr	-1.0158	0.0468
xo64	5	r1	0.2933	0.0489
xo64	5	r2	0.2938	0.0244
xo64	6	b0	0.6224	0.1685
xo64	6	bm	0.2096	0.1239
xo64	6	a12	-0.2201	0.0381
xo64	6	a21	-0.4069	0.0423
xo64	6	a22	-0.7002	0.0526
xo64	6	cintm	0.3431	0.0283
xo64	6	qd0	-0.1569	0.0792
xo64	6	qd1	0.1679	0.0492
xo64	6	cz	0.5669	0.0935
xo64	6	sdm	0.6316	0.0382
xo64	6	l31	1.1529	0.113
xo64	6	thr	-1.0309	0.0407
xo64	6	r1	0.2689	0.0557
xo64	6	r2	0.2715	0.0315
lcg8	0	b0	0.8181	0.1817
lcg8	0	bm	0.2086	0.1619
lcg8	0	a12	-0.248	0.0407
lcg8	0	a21	-0.3393	0.0415
lcg8	0	a22	-0.6541	0.0462
lcg8	0	cintm	0.3271	0.0265
lcg8	0	qd0	-0.1987	0.0867
lcg8	0	qd1	0.339	0.0591
lcg8	0	cz	0.4571	0.1046
lcg8	0	sdm	0.6506	0.0334
lcg8	0	l31	1.1771	0.1241
lcg8	0	thr	-0.9839	0.043
lcg8	0	r1	0.3127	0.0514
lcg8	0	r2	0.2441	0.031
lcg8	1	b0	0.6934	0.172
lcg8	1	bm	0.5087	0.1769
lcg8	1	a12	-0.2549	0.0402
lcg8	1	a21	-0.2622	0.0397
lcg8	1	a22	-0.649	0.0569
lcg8	1	cintm	0.3379	0.0319
lcg8	1	qd0	-0.1339	0.0839
lcg8	1	qd1	0.3022	0.0602
lcg8	1	cz	0.6219	0.1171
lcg8	1	sdm	0.6368	0.0427
lcg8	1	l31	1.185	0.1207
