cell	state	x	q025	q50	q975	generating
stress auto-effect DRIFT[1,1]	mood	-2.0	-1.5731	-0.989	-0.5501	-0.5544
stress auto-effect DRIFT[1,1]	mood	-1.875	-1.5681	-1.0051	-0.5724	-0.5759
stress auto-effect DRIFT[1,1]	mood	-1.75	-1.5634	-1.0201	-0.5973	-0.5981
stress auto-effect DRIFT[1,1]	mood	-1.625	-1.5587	-1.0336	-0.6264	-0.621
stress auto-effect DRIFT[1,1]	mood	-1.5	-1.5541	-1.0485	-0.6581	-0.6444
stress auto-effect DRIFT[1,1]	mood	-1.375	-1.5492	-1.0614	-0.6877	-0.6685
stress auto-effect DRIFT[1,1]	mood	-1.25	-1.5447	-1.0775	-0.7174	-0.6931
stress auto-effect DRIFT[1,1]	mood	-1.125	-1.5387	-1.0903	-0.748	-0.7185
stress auto-effect DRIFT[1,1]	mood	-1.0	-1.5354	-1.1023	-0.7733	-0.7444
stress auto-effect DRIFT[1,1]	mood	-0.875	-1.5369	-1.1124	-0.7975	-0.771
stress auto-effect DRIFT[1,1]	mood	-0.75	-1.5352	-1.1297	-0.8284	-0.7981
stress auto-effect DRIFT[1,1]	mood	-0.625	-1.5302	-1.1429	-0.8544	-0.8259
stress auto-effect DRIFT[1,1]	mood	-0.5	-1.5194	-1.1611	-0.8797	-0.8544
stress auto-effect DRIFT[1,1]	mood	-0.375	-1.5151	-1.1788	-0.9112	-0.8834
stress auto-effect DRIFT[1,1]	mood	-0.25	-1.5216	-1.1959	-0.939	-0.913
stress auto-effect DRIFT[1,1]	mood	-0.125	-1.5127	-1.2143	-0.969	-0.9432
stress auto-effect DRIFT[1,1]	mood	0.0	-1.5312	-1.2345	-0.9987	-0.9741
stress auto-effect DRIFT[1,1]	mood	0.125	-1.5293	-1.2488	-1.0172	-1.0055
stress auto-effect DRIFT[1,1]	mood	0.25	-1.5283	-1.2682	-1.05	-1.0375
stress auto-effect DRIFT[1,1]	mood	0.375	-1.5324	-1.2835	-1.0752	-1.0701
stress auto-effect DRIFT[1,1]	mood	0.5	-1.5457	-1.3003	-1.0955	-1.1032
