arm	draws	min_bulk_ess	limiting_qoi	sampling_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	max_split_rhat	divergences	model	sampler	relative_sampling_efficiency	relative_total_efficiency
ordinary_ncp_native	2000	170.2980565072976	population_mean_intercept_at_mean_load	682496	1063829	0.2495224243179412	0.16008029157627549	1.005682873281681	0	brms NCP	Native Stan	1.0	1.0
ordinary_ncp_whmc	2000	83.74104966131779	mean_intercept_group_sd	234960	274051	0.35640555695147164	0.3055673931542588	1.026398620335412	0	brms NCP	WHMC	1.4283508102555948	1.9088383094845953
ordinary_cp_whmc	2000	47.32995819529875	population_mean_intercept_at_mean_load	74768	80373	0.6330242643283056	0.5888788298968404	1.003220919637192	0	brms CP	WHMC	2.5369433871871445	3.6786466597373093
s2z_cp_native	2000	2045.9587120584363	population_mean_intercept_at_mean_load	60584	319693	33.770611251459734	6.39976074564797	1.0030361901180018	0	brms S2Z CP	Native Stan	135.34098726304958	39.97844258422402
s2z_cp_whmc	2000	1993.7946624096169	population_mean_intercept_at_mean_load	58456	188667	34.107613630929535	10.567797560832668	1.0030510892556586	0	brms S2Z CP	WHMC	136.6915768158362	66.01560664822563
s2z_ncp_native	2000	149.97339845151416	mean_intercept_group_sd	512896	771035	0.29240508495194767	0.19450919666618788	1.0089099815784526	0	brms S2Z NCP	Native Stan	1.1718589451478134	1.2150727285095406
s2z_ncp_whmc	2000	88.33167026434374	mean_intercept_group_sd	110944	123267	0.7961824908453251	0.7165881400889431	1.0105782230132845	0	brms S2Z NCP	WHMC	3.190825405859436	4.476429503175294
s2z_auto_native	2000	1502.5446578902295	subject_717_total_intercept	32248	150012	46.59342154211826	10.016163092887432	1.0025723009499352	0	brms S2Z auto	Native Stan	186.7303977567522	62.56962049644258
s2z_auto_whmc	2000	2016.9798693685661	population_mean_load_slope	46672	64875	43.2160582226724	31.09024846810892	1.0042264220858699	0	brms S2Z auto	WHMC	173.19508793969774	194.2165906993926
total_ncp	2000	88.75703274242916	mean_intercept_group_sd	78304	84335	1.1334929600330654	1.0524341346111241	1.0129832413805258	0	BRM total NCP	WHMC	4.542649676202127	6.5744141533479
total_cp	2000	1373.9844330360295	subject_718_total_load_slope	41552	44130	33.06662574692023	31.134929368593465	1.0092543476168923	0	BRM total CP	WHMC	132.51965564740897	194.49570626099347
total_posthoc_position	2000	1737.8503600318058	subject_701_total_load_slope	30072	118655	57.789650173975986	14.64624634471203	1.0044634508399357	0	BRM total post-hoc position	WHMC	231.60102877303115	91.49312635861452
total_posthoc_gradient	2000	1604.6352601517065	subject_706_total_load_slope	29872	118674	53.71703468638546	13.521371658086071	1.0038684580097912	0	BRM total post-hoc gradient	WHMC	215.2793875469055	84.46618584301723
total_online_position	2000	1758.8327303048293	subject_713_total_intercept	30000	34526	58.62775767682764	50.942267575300626	1.0068891673762947	0	BRM total online position	WHMC	234.95987519792698	318.229477680752
total_online_gradient	2000	1902.6351159141109	subject_718_total_intercept	48104	52951	39.55253442362612	35.93199591913488	1.0036341851987025	0	BRM total online gradient	WHMC	158.51294540657526	224.46233427813257
