arm	max_mean_difference_mcse	largest_difference	quantities_above_3mcse	invariant_min_ess	invariant_relative_sampling	invariant_relative_total
ordinary_ncp_native	2.147506352918278	subject_707_total_intercept	0	322.0528388715402	1.0	1.0
ordinary_ncp_whmc	3.0821509011274757	subject_720_total_load_slope	1	83.74104966131779	0.755296453369184	1.0093730439729671
ordinary_cp_whmc	2.4668200959293576	subject_713_total_load_slope	0	889.4117547246819	25.209258977480577	36.55420802857702
s2z_cp_native	2.319442664917857	subject_715_total_load_slope	0	2053.5232422106214	71.83145400142821	21.21832947735156
s2z_cp_whmc	1.9655927496245524	subject_720_total_intercept	0	2069.6974509754828	75.03273015586167	36.23728188010747
s2z_ncp_native	2.4571377328811916	subject_716_total_load_slope	0	149.97339845151416	0.6196663304029023	0.6425173114612153
s2z_ncp_whmc	2.3191161950240544	subject_714_total_intercept	0	88.33167026434374	1.6872739491320488	2.3670874852519335
s2z_auto_native	3.484343601587403	subject_715_total_load_slope	1	1502.5446578902295	98.74101386665245	33.086138300409715
s2z_auto_whmc	2.166802050355252	subject_712_total_load_slope	0	2021.7381125913062	91.79974293506694	102.94190968127792
total_ncp	2.4730826346017234	subject_713_total_load_slope	0	88.75703274242916	2.4021039962305712	3.476479067572528
total_cp	0.0	population_mean_intercept_at_mean_load	0	1373.9844330360295	70.0749600122975	102.84722498121853
total_posthoc_position	2.2727934450421454	subject_720_total_load_slope	0	1737.8503600318058	122.46811803720861	48.38057524114424
total_posthoc_gradient	2.111428360031811	subject_714_total_load_slope	0	1604.6352601517065	113.83741076085612	44.66480512965662
total_online_position	2.0447534975190362	subject_720_total_load_slope	0	1758.8327303048293	124.24423968317991	168.27630447928212
total_online_gradient	1.8533185614151455	subject_720_total_intercept	0	1902.6351159141109	83.8199303833947	118.693253630671
