panel	column	draw	log_group_sd	coordinate
1: 718 slope, c=0.60	1. CP	1	4.3820021243135026	207.44593145899424
1: 718 slope, c=0.60	1. CP	2	4.206677276954502	201.28425964674457
1: 718 slope, c=0.60	1. CP	3	4.3870758084797625	190.12326194268908
1: 718 slope, c=0.60	1. CP	4	3.789497257726	180.62323817651094
1: 718 slope, c=0.60	1. CP	5	4.37753439807334	213.26741830333046
1: 718 slope, c=0.60	1. CP	6	4.187249913963133	122.12535749038585
1: 718 slope, c=0.60	1. CP	7	4.008085098463678	190.60497104188872
1: 718 slope, c=0.60	1. CP	8	4.153189028065168	183.2457829466998
1: 718 slope, c=0.60	1. CP	9	4.183378904567876	236.61862996736653
1: 718 slope, c=0.60	1. CP	10	3.9585571682618013	204.53384486062248
1: 718 slope, c=0.60	1. CP	11	4.018921434080257	231.42399404839296
1: 718 slope, c=0.60	1. CP	12	4.02860474497023	116.97465736733481
1: 718 slope, c=0.60	1. CP	13	4.190416624912526	139.81325416321965
1: 718 slope, c=0.60	1. CP	14	4.075798708509644	164.34906049263247
1: 718 slope, c=0.60	1. CP	15	3.915059687348221	183.14125518815385
1: 718 slope, c=0.60	1. CP	16	4.200794441323724	182.40653172945312
1: 718 slope, c=0.60	1. CP	17	3.804803000970134	138.22809838774316
1: 718 slope, c=0.60	1. CP	18	4.400147905172595	170.60984657898905
1: 718 slope, c=0.60	1. CP	19	3.7277077616416285	151.5453119208056
1: 718 slope, c=0.60	1. CP	20	4.093616329521015	210.1107733313108
1: 718 slope, c=0.60	1. CP	21	4.146409227376138	160.51849121454194
1: 718 slope, c=0.60	1. CP	22	3.984410722530613	123.75917412602888
1: 718 slope, c=0.60	1. CP	23	4.137085939568793	171.76737936386502
1: 718 slope, c=0.60	1. CP	24	3.869026245153726	162.77433369583727
1: 718 slope, c=0.60	1. CP	25	4.452072643357601	184.40755210386828
1: 718 slope, c=0.60	1. CP	26	3.943652319610397	167.75338313840967
1: 718 slope, c=0.60	1. CP	27	4.004649347550142	215.59131875325832
1: 718 slope, c=0.60	1. CP	28	4.3626601005827235	140.85031757031004
1: 718 slope, c=0.60	1. CP	29	4.028711821593873	122.0083188357247
1: 718 slope, c=0.60	1. CP	30	3.8306790953903236	216.82871634191147
1: 718 slope, c=0.60	1. CP	31	3.8383129830222504	172.6400525015034
1: 718 slope, c=0.60	1. CP	32	4.409928237167772	217.2904245305863
1: 718 slope, c=0.60	1. CP	33	4.27177917846786	222.5285869815703
1: 718 slope, c=0.60	1. CP	34	3.882159726619147	147.3531951641169
1: 718 slope, c=0.60	1. CP	35	4.1494749635907295	173.1960946882643
1: 718 slope, c=0.60	1. CP	36	4.173006489351638	147.78935722737265
1: 718 slope, c=0.60	1. CP	37	4.2712924158508825	173.73708903717193
1: 718 slope, c=0.60	1. CP	38	4.204921120314147	134.54238456715683
1: 718 slope, c=0.60	1. CP	39	4.238780996293205	228.16673809626693
1: 718 slope, c=0.60	1. CP	40	3.93894197684996	173.05426714527624
1: 718 slope, c=0.60	1. CP	41	4.360409510380092	163.83908944403476
1: 718 slope, c=0.60	1. CP	42	3.98935694138222	208.1170272048665
1: 718 slope, c=0.60	1. CP	43	3.9504658218833377	204.83741971910487
1: 718 slope, c=0.60	1. CP	44	3.987356602843598	125.17889017450136
1: 718 slope, c=0.60	1. CP	45	4.066918952137987	150.29768711934432
1: 718 slope, c=0.60	1. CP	46	4.32943908699926	212.05105331913302
1: 718 slope, c=0.60	1. CP	47	4.251655353367452	179.67860110133762
1: 718 slope, c=0.60	1. CP	48	4.211061820566123	200.10607199879962
1: 718 slope, c=0.60	1. CP	49	4.337336907118097	189.27193767622123
1: 718 slope, c=0.60	1. CP	50	4.382570268494239	189.90773650659835
1: 718 slope, c=0.60	1. CP	51	4.094634536629599	174.8561160188056
1: 718 slope, c=0.60	1. CP	52	4.182873964172204	179.40176057862868
1: 718 slope, c=0.60	1. CP	53	4.303126384862982	229.74003376781107
1: 718 slope, c=0.60	1. CP	54	4.15660091516978	157.82384920928064
1: 718 slope, c=0.60	1. CP	55	4.219981908219184	242.34132524023087
1: 718 slope, c=0.60	1. CP	56	4.046885974713034	147.29608815829994
1: 718 slope, c=0.60	1. CP	57	4.142226786184894	215.62779089190965
1: 718 slope, c=0.60	1. CP	58	4.206365259516698	203.54050041100118
1: 718 slope, c=0.60	1. CP	59	4.1856075125113295	149.1132100736533
1: 718 slope, c=0.60	1. CP	60	3.9671434475644274	201.79890413053545
