"subj","trial","load","p_size"
701,1,2,1021.40856592878
701,2,1,951.434879571811
701,3,5,1063.95694716243
701,4,4,913.487076648841
701,5,0,602.686849574267
701,6,3,826.219892952721
701,7,0,463.802123552124
701,8,4,757.552092609083
701,9,2,732.942940038685
701,10,3,590.649107142857
701,11,5,878.738201246661
701,12,1,851.180078508341
701,13,4,772.236185383244
701,14,3,829.34858490566
701,15,0,455.479036574487
701,16,1,587.802694898941
701,17,2,713.050311665183
701,18,5,708.441658630665
701,19,1,707.664230019493
701,20,5,787.369875222816
701,21,2,566.930762081784
701,22,3,722.141711229947
701,23,0,540.061157796452
701,24,4,666.924688057041
701,25,2,698.234741784038
701,26,1,652.669794459339
701,27,3,575.608288770053
701,28,0,626.432709447415
701,29,5,572.862622658341
701,30,4,726.16212406015
701,31,5,751.825757575758
701,32,1,727.185548617306
701,33,2,624.94375
701,34,3,682.806647940075
701,35,4,687.13535173642
701,36,0,635.536128456735
701,37,3,613.606299212598
701,38,4,654.627450980392
701,39,1,556.506910167818
701,40,2,645.214603739982
701,41,0,600.524079320113
702,1,1,1609.60355029586
702,2,4,1654.04241071429
702,3,5,1681.06010685663
702,4,0,1407.70187165775
702,5,2,1604.51919642857
702,6,3,1582.78616071429
702,7,5,1650.24577777778
702,8,0,1497.30428954424
702,9,2,1616.74504249292
702,10,3,1702.26203208556
702,11,4,1609.51231060606
702,12,1,1659.01919642857
702,14,1,1625.16100872939
702,15,0,1493.16562220233
702,16,4,1600.29010695187
702,17,3,1648.68092691622
702,18,2,1725.6197519084
702,19,0,1619.92782026769
702,20,2,1616.19481680071
702,21,3,1700.63506876228
702,22,4,1667.88103756708
702,23,1,1641.67736185383
702,24,5,1630.63514719001
702,25,3,1657.23327386262
702,26,1,1721.32877358491
702,27,5,1691.90142729706
702,28,2,1614.02408563782
702,29,0,1101.00711111111
702,30,4,1716.82008928571
702,31,1,1699.28947368421
702,32,0,1372.44870651204
702,33,3,1611.64719000892
702,34,4,1699.43482142857
702,35,2,1700.11106155219
702,36,5,1711.54055258467
702,37,0,1373.56082375479
702,38,5,1549.20625
702,39,4,1644.72739480752
702,40,2,1560.62199465717
702,41,1,1584.44112060779
702,42,3,1571.70931326435
702,43,4,1546.36997319035
702,44,1,1559.234375
702,45,0,1540.74339622642
702,46,3,1517.40929401251
702,47,5,1548.873885918
702,48,2,1507.57442067736
702,49,4,1533.52228163993
702,50,2,1530.35606060606
702,51,0,1317.19856887299
702,52,1,1586.24830917874
702,53,5,1543.95539696699
702,54,3,1636.41079393399
702,55,2,1628.00951474786
702,56,0,1463.02988403211
702,57,3,1552.11462979483
702,58,5,1611.98262032086
702,59,4,1582.69212062257
702,60,1,1550.184375
702,61,0,1479.47840690979
702,62,4,1588.51027703307
702,63,3,1552.98125
702,64,2,1580.10383244207
702,65,1,1592.5623885918
702,66,5,1645.02276785714
702,67,1,1644.08385370205
702,68,4,1625.74308652988
702,69,3,1699.49197145406
702,70,2,1702.63990147783
702,71,5,1635.24241071429
702,72,0,1537.25915996425
702,73,3,1550.57263814617
702,74,0,1605.78902765388
702,75,4,1606.91480820696
702,76,2,1631.49463806971
702,77,1,1662.48573975045
702,78,5,1611.65133928571
702,79,3,1643.12789661319
702,80,1,1669.42940125112
702,81,0,1507.83303571429
702,82,5,1698.4991087344
702,83,2,1650.0625
702,84,4,1686.60838537021
702,85,1,1718.59598214286
702,86,2,1703.62921348315
702,87,4,1671.62689901698
702,88,5,1694.93214285714
702,89,0,1557.02633928571
702,90,3,1603.0017905103
702,91,5,1661.01648841355
702,92,0,1502.10695187166
702,93,3,1634.05476402493
702,94,2,1741.58637577916
702,95,4,1635.60580357143
702,96,1,1786.81071428571
702,97,3,1576.76103646833
702,98,2,1656.4875333927
702,99,0,1480.4362176628
702,100,5,1636.909455843
702,101,4,1613.74976569822
702,102,1,1638.12533452275
702,103,0,1506.772970562
702,104,4,1663.77183600713
702,105,5,1648.46743978591
702,106,3,1657.45535714286
702,107,2,1702.15801253357
702,108,1,1551.68510258698
702,109,5,1642.80169340463
