arm	draws	min_bulk_ess	limiting_qoi	sampling_gradients	total_gradients	ess_per_1000_sampling_gradients	ess_per_1000_total_gradients	max_split_rhat	divergences	model	sampler	relative_sampling_efficiency	relative_total_efficiency
ordinary_ncp_native	2000	216.5379539760937	population_log_sigma_intercept	1487872	2122482	0.14553533770115554	0.10202110264119728	1.0054347570659885	0	brms NCP	Native Stan	1.0	1.0
ordinary_ncp_whmc	2000	128.38868523201177	mean_intercept_group_sd	463664	511283	0.27690026664138634	0.2511108040596143	1.0066701371419904	0	brms NCP	WHMC	1.9026325222124234	2.4613614003247686
ordinary_cp_whmc	2000	21.236387126706653	population_mean_intercept_at_mean_load	145200	182890	0.14625610968806235	0.1161156275723476	1.0109665381513473	0	brms CP	WHMC	1.0049525565288264	1.1381530346787174
s2z_cp_native	2000	1483.7686586480113	subject_712_total_load_slope	63888	245020	23.224528215752745	6.055704263521391	1.0089674491855103	0	brms S2Z CP	Native Stan	159.57999330336074	59.35736927701102
s2z_cp_whmc	2000	1578.5561975667965	subject_714_residual_sd	71248	104514	22.15579661978998	15.103777461075039	1.0070497915440355	0	brms S2Z CP	WHMC	152.23654247661162	148.0456206613862
s2z_ncp_native	2000	175.30108012923904	mean_intercept_group_sd	1015808	1442653	0.172573045427127	0.12151299039286581	1.0074657564918308	0	brms S2Z NCP	Native Stan	1.1857810491462295	1.191057411134052
s2z_ncp_whmc	2000	83.24151000976032	mean_intercept_group_sd	166256	187780	0.500682742335677	0.4432927362326143	1.0052640714302823	0	brms S2Z NCP	WHMC	3.4402829597563893	4.345108264430849
s2z_auto_native	2000	1840.204041248729	population_log_sigma_intercept	58112	171127	31.66650676708303	10.753440668326617	1.006432847772392	0	brms S2Z auto	Native Stan	217.5863763899563	105.40408199807337
s2z_auto_whmc	2000	1865.3978539315187	subject_718_total_intercept	61216	97516	30.472390452357534	19.129146539352707	1.0071272310530135	0	brms S2Z auto	WHMC	209.38138416203768	187.50186034186362
total_ncp	2000	45.542444802295506	log_sigma_group_sd	338576	363592	0.13451173385678697	0.12525700456086905	1.0342903485675543	0	BRM total NCP	WHMC	0.9242547959932275	1.2277558399009976
total_cp	2000	1102.863365889398	subject_716_total_intercept	33072	291873	33.34734415485601	3.7785727555799884	1.0066750352056373	0	BRM total CP	WHMC	229.1357183870487	37.037168367695706
total_posthoc_position	2000	1054.734019292195	subject_718_total_load_slope	39920	413396	26.421192868040954	2.5513890296282375	1.0067585671264248	0	BRM total post-hoc position	WHMC	181.54486247384557	25.008443974589603
total_posthoc_gradient	2000	1773.6713752820056	population_log_sigma_intercept	29840	410621	59.43938925207794	4.31948530465321	1.0053906852758965	0	BRM total post-hoc gradient	WHMC	408.4189461540377	42.339135657498296
total_online_position	2000	1742.3286450106834	subject_704_total_intercept	29912	38606	58.24848371926596	45.131032611787894	1.0027535061775685	0	BRM total online position	WHMC	400.23601579758093	442.36958279613293
total_online_gradient	2000	1505.9322757400203	subject_703_total_load_slope	30584	39224	49.23921906029362	38.393133687028865	1.0033004009564623	0	BRM total online gradient	WHMC	338.33170581156156	376.3254139886671
