panel	column	draw	log_group_sd	coordinate
1: 720 slope, ρ=0.06	1. CP	1	4.313411863783561	88.98419788300004
1: 720 slope, ρ=0.06	1. CP	2	4.0220063837303535	68.34789410241915
1: 720 slope, ρ=0.06	1. CP	3	4.3005617158302725	41.0138576128689
1: 720 slope, ρ=0.06	1. CP	4	4.457280320590936	-59.2680432913448
1: 720 slope, ρ=0.06	1. CP	5	3.806507602736729	55.952421821555575
1: 720 slope, ρ=0.06	1. CP	6	4.129679527444157	8.619565406915143
1: 720 slope, ρ=0.06	1. CP	7	3.840511796175661	89.75670630836157
1: 720 slope, ρ=0.06	1. CP	8	4.216087495172392	65.34614267784362
1: 720 slope, ρ=0.06	1. CP	9	4.401279181725521	85.007581074044
1: 720 slope, ρ=0.06	1. CP	10	4.36318089146728	59.30072526769415
1: 720 slope, ρ=0.06	1. CP	11	4.215215418394465	38.62930494164331
1: 720 slope, ρ=0.06	1. CP	12	4.300404261230735	119.52544381271493
1: 720 slope, ρ=0.06	1. CP	13	3.8855128757092583	25.121869811728388
1: 720 slope, ρ=0.06	1. CP	14	4.235552108753545	116.60266232099985
1: 720 slope, ρ=0.06	1. CP	15	3.712732459163715	36.034215672149706
1: 720 slope, ρ=0.06	1. CP	16	3.612422725979619	29.87135994011603
1: 720 slope, ρ=0.06	1. CP	17	3.8803673488373898	-14.807841543434677
1: 720 slope, ρ=0.06	1. CP	18	3.405686855014576	28.193858383311515
1: 720 slope, ρ=0.06	1. CP	19	4.220712776062459	15.928605413909104
1: 720 slope, ρ=0.06	1. CP	20	3.6658156981534495	68.92419188889076
1: 720 slope, ρ=0.06	1. CP	21	3.9047734050599305	-15.47188722119337
1: 720 slope, ρ=0.06	1. CP	22	4.175724207178117	34.125180301666674
1: 720 slope, ρ=0.06	1. CP	23	4.103429041959768	93.84561750437314
1: 720 slope, ρ=0.06	1. CP	24	4.0111656597544325	115.99257592107634
1: 720 slope, ρ=0.06	1. CP	25	3.913765728489775	144.3215637826372
1: 720 slope, ρ=0.06	1. CP	26	4.035726865256484	105.17031531417027
1: 720 slope, ρ=0.06	1. CP	27	4.083216985852916	110.39390842110805
1: 720 slope, ρ=0.06	1. CP	28	4.064221441825451	101.67959257091896
1: 720 slope, ρ=0.06	1. CP	29	4.175751817454807	-40.17123802863488
1: 720 slope, ρ=0.06	1. CP	30	3.8127993132099585	20.009300065922844
1: 720 slope, ρ=0.06	1. CP	31	3.8575314332584303	87.97779132441308
1: 720 slope, ρ=0.06	1. CP	32	4.0126288430143555	13.249125797708729
1: 720 slope, ρ=0.06	1. CP	33	4.105542752411852	38.68272193740544
1: 720 slope, ρ=0.06	1. CP	34	4.230816849652539	8.350105541140017
1: 720 slope, ρ=0.06	1. CP	35	4.061535881077307	-55.36914195261857
1: 720 slope, ρ=0.06	1. CP	36	3.98804708720709	82.71232499485637
1: 720 slope, ρ=0.06	1. CP	37	3.9730481294357327	-38.909342291148256
1: 720 slope, ρ=0.06	1. CP	38	3.901056201396985	18.427936542578195
1: 720 slope, ρ=0.06	1. CP	39	4.332443186793285	-9.643837609114442
1: 720 slope, ρ=0.06	1. CP	40	3.8240333767703887	102.05652916328833
1: 720 slope, ρ=0.06	1. CP	41	3.9929820573047237	-48.743643649941
1: 720 slope, ρ=0.06	1. CP	42	4.169719599699523	13.979459482849244
1: 720 slope, ρ=0.06	1. CP	43	4.322756165586785	54.196783138072675
1: 720 slope, ρ=0.06	1. CP	44	4.295900578246443	-26.501639162811014
1: 720 slope, ρ=0.06	1. CP	45	4.191739961782709	-80.24561706294034
1: 720 slope, ρ=0.06	1. CP	46	4.073219657810349	-32.65968553690107
1: 720 slope, ρ=0.06	1. CP	47	4.037203011404055	12.567076737785115
1: 720 slope, ρ=0.06	1. CP	48	3.8861852543052526	40.57188318940115
1: 720 slope, ρ=0.06	1. CP	49	3.9324966142797235	12.272103942495669
1: 720 slope, ρ=0.06	1. CP	50	4.490641210966819	-13.324719055710368
1: 720 slope, ρ=0.06	1. CP	51	4.452837943697259	88.28086382291782
1: 720 slope, ρ=0.06	1. CP	52	4.12397155892024	1.8679791509292016
1: 720 slope, ρ=0.06	1. CP	53	4.5474976982106385	65.87772732262928
1: 720 slope, ρ=0.06	1. CP	54	4.034846284792915	23.526113197110583
1: 720 slope, ρ=0.06	1. CP	55	4.318288237044144	17.57307944412603
1: 720 slope, ρ=0.06	1. CP	56	4.273804524685293	65.81724625638263
1: 720 slope, ρ=0.06	1. CP	57	4.3283745194182	-6.073948103651702
1: 720 slope, ρ=0.06	1. CP	58	4.088455371175137	42.19526256854731
1: 720 slope, ρ=0.06	1. CP	59	3.8238392560728545	66.94120298756198
1: 720 slope, ρ=0.06	1. CP	60	3.9524323390189218	32.05500955579907
1: 720 slope, ρ=0.06	1. CP	61	4.13295424132776	-13.654662046850905
1: 720 slope, ρ=0.06	1. CP	62	4.197068580832004	3.1030821582299737
1: 720 slope, ρ=0.06	1. CP	63	3.9484297546949296	23.587934118761154
1: 720 slope, ρ=0.06	1. CP	64	3.9627660695781586	74.1057158505109
1: 720 slope, ρ=0.06	1. CP	65	4.249877410131798	40.06250650972263
1: 720 slope, ρ=0.06	1. CP	66	3.988415622209107	27.539157707444325
1: 720 slope, ρ=0.06	1. CP	67	3.851400841892219	77.49058701838547
1: 720 slope, ρ=0.06	1. CP	68	4.040411607468641	18.498765015402263
1: 720 slope, ρ=0.06	1. CP	69	4.128943065428064	-11.71417605953976
1: 720 slope, ρ=0.06	1. CP	70	4.053819643954257	66.8760942070443
1: 720 slope, ρ=0.06	1. CP	71	4.419524214489827	19.70274123105981
1: 720 slope, ρ=0.06	1. CP	72	3.6571053129727984	-6.645809690468674
1: 720 slope, ρ=0.06	1. CP	73	4.212622685613782	-6.975155672587363
1: 720 slope, ρ=0.06	1. CP	74	4.02984952379971	55.32336591664743
1: 720 slope, ρ=0.06	1. CP	75	4.037321128444279	78.98771030202158
1: 720 slope, ρ=0.06	1. CP	76	4.00684513695332	77.58437581608901
1: 720 slope, ρ=0.06	1. CP	77	3.969753284367102	-17.511829850774262
1: 720 slope, ρ=0.06	1. CP	78	3.604761190827394	27.322796457415294
1: 720 slope, ρ=0.06	1. CP	79	3.6868779663100364	4.099297092099853
1: 720 slope, ρ=0.06	1. CP	80	4.070877143319388	80.23046886327595
1: 720 slope, ρ=0.06	1. CP	81	4.316819056808952	-63.987469795587685
1: 720 slope, ρ=0.06	1. CP	82	3.9044619970071617	99.38019192132066
1: 720 slope, ρ=0.06	1. CP	83	4.127296006813081	58.772628420936584
1: 720 slope, ρ=0.06	1. CP	84	3.877070135848718	17.579563568544472
1: 720 slope, ρ=0.06	1. CP	85	4.165926995576399	32.59167673439662
1: 720 slope, ρ=0.06	1. CP	86	4.164144547245318	68.7737278835447
1: 720 slope, ρ=0.06	1. CP	87	4.702745881126834	-31.354666982470896
1: 720 slope, ρ=0.06	1. CP	88	4.624832906821553	-26.935256297025326
1: 720 slope, ρ=0.06	1. CP	89	4.317639422975095	96.68930554372247
1: 720 slope, ρ=0.06	1. CP	90	3.855975704828708	45.32290792177911
1: 720 slope, ρ=0.06	1. CP	91	4.23246136303734	43.898931549294545
1: 720 slope, ρ=0.06	1. CP	92	4.155992709459747	41.286089658863546
1: 720 slope, ρ=0.06	1. CP	93	3.8498146132436397	-8.297443512300134
1: 720 slope, ρ=0.06	1. CP	94	4.0017197803613875	47.140854538223124
1: 720 slope, ρ=0.06	1. CP	95	3.956514375139334	74.82309499428645
1: 720 slope, ρ=0.06	1. CP	96	4.041762833595844	24.258648204297586
1: 720 slope, ρ=0.06	1. CP	97	4.2957704240953465	45.46550208160629
1: 720 slope, ρ=0.06	1. CP	98	4.097183125892815	3.046561640990923
1: 720 slope, ρ=0.06	1. CP	99	3.864336571002828	45.99843728408403
1: 720 slope, ρ=0.06	1. CP	100	4.200009258044983	10.759609932002363
1: 720 slope, ρ=0.06	1. CP	101	3.8340720682251073	109.09949129420991
1: 720 slope, ρ=0.06	1. CP	102	3.906253186330358	-40.39096438659818
1: 720 slope, ρ=0.06	1. CP	103	4.40472219128407	-12.16821523176342
1: 720 slope, ρ=0.06	1. CP	104	4.132265686600005	2.2966636316226854
1: 720 slope, ρ=0.06	1. CP	105	4.122724082781098	27.00180603932995
1: 720 slope, ρ=0.06	1. CP	106	4.3707594527784766	131.13359642838233
1: 720 slope, ρ=0.06	1. CP	107	4.350259399967399	15.853154561535916
1: 720 slope, ρ=0.06	1. CP	108	4.1374662937158	78.22983418244777
1: 720 slope, ρ=0.06	1. CP	109	4.149324546633458	-9.977845097901579
1: 720 slope, ρ=0.06	1. CP	110	3.517794360687743	37.36743751624255
