arm	max_mean_difference_mcse	largest_difference	quantities_above_3mcse	invariant63_min_ess	invariant_relative_sampling	invariant_relative_total
ordinary_ncp_native	2.5258356921304057	subject_704_total_load_slope	0	364.1563213415458	1.0	1.0
ordinary_ncp_whmc	2.9452596115996292	subject_712_total_load_slope	0	128.38868523201177	1.1313607079796957	1.463597170738587
ordinary_cp_whmc	2.6280943214979917	subject_704_total_load_slope	0	646.0303047775693	18.178748958487127	20.58823390153863
s2z_cp_native	2.9791395714206743	subject_704_total_load_slope	0	1483.7686586480113	94.8909114583758	35.29562043382007
s2z_cp_whmc	2.505381065292786	subject_712_total_load_slope	0	1578.5561975667965	90.52428173383807	88.03223757049771
s2z_ncp_native	2.7308948480990534	subject_705_total_load_slope	0	175.30108012923904	0.7050999452647875	0.7082374237659741
s2z_ncp_whmc	3.2681064145600285	subject_705_total_load_slope	1	83.24151000976032	2.0456924390604514	2.5837279164021716
s2z_auto_native	2.448336382949049	subject_704_total_load_slope	0	1881.7142171835658	132.30174166513234	64.09015057986521
s2z_auto_whmc	2.7544286007436476	subject_704_total_load_slope	0	1865.3978539315187	124.50426882637085	111.4940667666128
total_ncp	2.1965710114479506	subject_707_residual_sd	0	45.542444802295506	0.5495888187239666	0.7300593782773135
total_cp	2.3815349559739296	log_sigma_group_sd	0	1102.863365889398	136.25077126105424	22.023378943041696
total_posthoc_position	1.9196053802225497	subject_705_total_intercept	0	1054.734019292195	107.95186234893703	14.870749106959368
total_posthoc_gradient	2.6624365888144634	subject_712_total_load_slope	0	1899.9834561136613	260.1529280674425	26.96899890875435
total_online_position	0.0	population_mean_intercept_at_mean_load	0	1742.3286450106834	237.99199104679695	263.0458370379093
total_online_gradient	2.253559381128785	subject_718_residual_sd	0	1505.9322757400203	201.18188549297312	223.77405086395115
