subj,trial,load,p_size
701,1,2,1021.4085659287776
701,2,1,951.43487957181094
701,3,5,1063.9569471624266
701,4,4,913.48707664884137
701,5,0,602.68684957426683
701,6,3,826.21989295272078
701,7,0,463.80212355212353
701,8,4,757.55209260908282
701,9,2,732.9429400386847
701,10,3,590.64910714285713
701,11,5,878.73820124666076
701,12,1,851.18007850834147
701,13,4,772.23618538324422
701,14,3,829.34858490566035
701,15,0,455.47903657448705
701,16,1,587.80269489894124
701,17,2,713.05031166518256
701,18,5,708.44165863066542
701,19,1,707.66423001949317
701,20,5,787.3698752228164
701,21,2,566.93076208178434
701,22,3,722.14171122994651
701,23,0,540.06115779645188
701,24,4,666.92468805704095
701,25,2,698.23474178403751
701,26,1,652.66979445933873
701,27,3,575.60828877005349
701,28,0,626.43270944741528
701,29,5,572.8626226583408
701,30,4,726.1621240601504
701,31,5,751.82575757575762
701,32,1,727.18554861730593
701,33,2,624.94375000000002
701,34,3,682.80664794007487
701,35,4,687.13535173642026
701,36,0,635.53612845673501
701,37,3,613.6062992125984
701,38,4,654.62745098039215
701,39,1,556.50691016781832
701,40,2,645.21460373998218
701,41,0,600.52407932011329
702,1,1,1609.603550295858
702,2,4,1654.0424107142858
702,3,5,1681.0601068566341
702,4,0,1407.7018716577541
702,5,2,1604.5191964285714
702,6,3,1582.7861607142856
702,7,5,1650.2457777777777
702,8,0,1497.3042895442359
702,9,2,1616.7450424929179
702,10,3,1702.2620320855615
702,11,4,1609.5123106060605
702,12,1,1659.0191964285714
702,14,1,1625.1610087293889
702,15,0,1493.1656222023278
702,16,4,1600.2901069518716
702,17,3,1648.6809269162211
702,18,2,1725.6197519083969
702,19,0,1619.9278202676865
702,20,2,1616.194816800715
702,21,3,1700.6350687622789
702,22,4,1667.8810375670841
702,23,1,1641.6773618538325
702,24,5,1630.6351471900089
702,25,3,1657.2332738626226
702,26,1,1721.3287735849055
702,27,5,1691.9014272970562
702,28,2,1614.0240856378234
702,29,0,1101.007111111111
702,30,4,1716.8200892857142
702,31,1,1699.2894736842106
702,32,0,1372.4487065120429
702,33,3,1611.6471900089207
702,34,4,1699.4348214285715
702,35,2,1700.1110615521854
702,36,5,1711.5405525846702
702,37,0,1373.5608237547892
702,38,5,1549.20625
702,39,4,1644.7273948075201
702,40,2,1560.6219946571682
702,41,1,1584.4411206077873
702,42,3,1571.7093132643463
702,43,4,1546.3699731903484
702,44,1,1559.234375
702,45,0,1540.7433962264151
702,46,3,1517.4092940125113
702,47,5,1548.8738859180035
702,48,2,1507.5744206773618
702,49,4,1533.5222816399287
702,50,2,1530.3560606060605
702,51,0,1317.1985688729874
702,52,1,1586.248309178744
702,53,5,1543.9553969669937
702,54,3,1636.4107939339874
702,55,2,1628.0095147478592
702,56,0,1463.0298840321143
702,57,3,1552.114629794826
702,58,5,1611.9826203208556
702,59,4,1582.6921206225682
702,60,1,1550.184375
702,61,0,1479.4784069097889
702,62,4,1588.5102770330652
702,63,3,1552.98125
702,64,2,1580.1038324420676
702,65,1,1592.5623885918003
702,66,5,1645.0227678571428
702,67,1,1644.0838537020518
702,68,4,1625.7430865298841
702,69,3,1699.4919714540588
702,70,2,1702.6399014778326
702,71,5,1635.2424107142858
702,72,0,1537.2591599642537
702,73,3,1550.5726381461675
702,74,0,1605.7890276538806
702,75,4,1606.914808206958
702,76,2,1631.4946380697052
702,77,1,1662.4857397504456
702,78,5,1611.6513392857144
702,79,3,1643.1278966131908
702,80,1,1669.429401251117
702,81,0,1507.8330357142856
702,82,5,1698.4991087344029
702,83,2,1650.0625
702,84,4,1686.6083853702053
702,85,1,1718.5959821428571
702,86,2,1703.629213483146
702,87,4,1671.6268990169795
702,88,5,1694.9321428571429
702,89,0,1557.0263392857144
702,90,3,1603.0017905102955
702,91,5,1661.0164884135472
702,92,0,1502.1069518716577
702,93,3,1634.0547640249333
702,94,2,1741.5863757791631
702,95,4,1635.6058035714286
702,96,1,1786.8107142857143
702,97,3,1576.7610364683301
702,98,2,1656.4875333926982
702,99,0,1480.436217662801
702,100,5,1636.9094558429974
702,101,4,1613.7497656982193
702,102,1,1638.1253345227476
702,103,0,1506.7729705619981
702,104,4,1663.7718360071301
702,105,5,1648.4674397859055
702,106,3,1657.4553571428571
702,107,2,1702.158012533572
702,108,1,1551.685102586976
702,109,5,1642.8016934046345
702,110,3,1666.6857419980602
702,111,4,1658.6717216770739
702,112,1,1777.4062200956937
702,113,0,1529.1449598572704
702,114,2,1662.3767857142857
702,115,0,1608.8507130124776
702,116,4,1593.722816399287
702,117,5,1666.3637176050045
702,118,3,1704.3337789661318
702,119,1,1750.1209821428572
702,120,2,1685.6982142857144
703,1,1,1709.4579045837231
703,2,2,1558.6752899197145
703,3,3,1031.2709821428571
703,4,5,1096.5611607142857
703,5,4,897.28775692582667
703,6,0,787.68538324420672
703,7,3,821.73905272564787
703,8,1,1216.3581623550401
703,9,4,1418.8153434433541
703,10,0,1218.5730837789661
703,11,2,1540.5513392857142
703,12,5,1753.9584078711985
703,13,0,1562.1733511586453
703,14,5,1825.289544235925
703,15,4,1790.4401251117069
703,16,3,1606.3522321428572
703,17,1,1413.6611607142856
703,18,2,1480.1645851917931
703,19,3,1481.1305704099823
703,20,0,1195.8790178571428
703,21,1,1381.3170080142474
703,22,5,1516.8050089445437
703,23,2,1529.692341941229
703,24,4,1813.894901610018
703,25,0,1892.7225691347012
703,26,1,1745.7866071428571
703,27,4,1714.4199288256227
703,28,2,1806.5629464285714
703,29,5,1872.8453654188947
703,30,3,1695.2801070472792
703,31,1,1645.1513392857144
703,32,0,1855.7372881355932
703,33,4,1843.4745308310992
703,34,5,1811.9000000000001
703,35,2,1780.6901785714285
703,36,3,1785.3143365983972
703,37,1,1696.0978647686832
703,38,2,1782.193577163247
703,39,0,1712.5830357142856
703,40,4,1842.7806076854333
703,41,5,1800.5
703,42,3,1942.9714795008913
703,43,0,1735.9588918677391
703,44,5,1721.3647321428571
703,45,1,1689.0120428189116
703,46,3,1819.7237076648842
703,47,2,1718.1094727435211
703,48,4,1840.9563668744433
703,49,1,1715.8591800356505
703,50,2,1577.630473637176
703,51,5,1911.3776785714285
703,52,0,2053.5388392857144
703,53,4,2090.1207664884137
703,54,3,2073.4295900178254
703,55,4,1792.4491071428572
703,56,0,1954.3357142857142
703,57,1,1825.4040178571429
703,58,3,1902.1297948260483
703,59,5,2094.1180926916222
703,60,2,1916.3838248436105
703,61,1,1983.1272321428571
703,62,4,1894.6857142857143
703,63,0,2038.2334821428572
703,64,5,1835.7424242424242
703,65,2,1938.9616755793227
703,66,3,1823.680965147453
703,67,0,1986.2702943800177
703,68,3,2026.1255585344056
703,69,1,2098.4220142602494
703,70,4,2174.0478672985782
703,71,5,2247.8455357142857
703,72,2,2150.6043437204912
703,73,5,2185.9545454545455
703,74,4,2217.8425512934878
703,75,3,2147.5222816399287
703,76,2,1996.4317573595004
703,77,0,1975.8694096601073
703,78,1,2101.5847457627119
703,79,5,2064.7050711743773
703,80,1,1952.7711864406779
703,81,3,2038.5315836298932
703,82,4,2099.7093749999999
703,83,2,2152.3816964285716
703,84,0,1930.9066964285714
703,85,4,2143.0711091234348
703,86,3,2126.0106666666666
703,87,2,2076.1455921638467
703,88,1,2087.723015165031
703,89,0,2408.2575471698115
703,90,5,2103.5333926981302
703,91,0,2108.4310670443815
703,92,2,2080.287310098302
703,93,3,2234.3060768543342
703,94,4,2136.254003558719
703,95,5,2173.9323671497586
703,96,1,2085.3040604343719
703,97,4,2087.2032085561495
703,98,0,2032.1289027653881
703,99,2,2147.4636015325668
703,100,5,2202.7593917710196
703,101,3,2201.5192135835568
703,102,1,2247.3868092691623
703,103,0,2050.4201605709186
703,104,5,2223.7127564674397
703,105,4,2202.829616413916
703,106,3,2169.8392857142858
703,107,2,2136.4888790035588
703,108,1,2212.9758928571428
703,109,3,2290.9223214285716
703,110,1,2278.5344664778095
703,111,0,2116.8881461675578
703,112,4,2236.4419642857142
703,113,2,2171.9011627906975
703,114,5,2182.2177203918077
703,115,1,2113.7181088314005
703,116,0,2157.2263814616754
703,117,3,2237.7198391420911
703,118,4,2208.2933035714286
703,119,5,2181.7548932384343
703,120,2,2169.9848619768477
704,1,4,5079.0730186999108
704,2,3,4925.4104908565932
704,3,1,4645.4247551202134
704,4,5,5029.1677074041036
704,5,2,4977.9790365744875
704,6,0,4388.8581593927893
704,7,1,4678.3638790035584
704,8,5,4953.8254674977734
704,9,2,4779.4444962686566
704,10,3,4915.393588601959
704,11,0,4594.9547996272131
704,12,4,4871.7375000000002
704,13,2,4943.0694568121107
704,14,3,4882.8078291814945
704,15,4,4882.5885231316724
704,16,1,4539.1871482176357
704,17,5,5200.1527159394482
704,18,0,4464.5292682926829
704,19,1,4647.3325912733753
704,20,5,5114.8248347497638
704,21,2,5035.2960819234195
704,22,3,5204.9479537366551
704,23,0,4380.8263765541742
704,24,4,5210.5721925133694
704,25,3,5023.3967052537846
704,26,1,5102.3071428571429
704,27,0,4992.9902135231314
704,28,2,4495.0688030160227
704,29,4,5129.4942119323241
704,30,5,5082.4104278074865
704,31,0,4666.1671483622349
704,32,5,5128.1233303650934
704,33,4,5085.2922597864772
704,34,1,4638.1267672007543
704,35,3,4997.9114768683276
704,36,2,5047.2088156723066
704,37,3,5000.1510695187162
704,38,5,5090.1034790365748
704,39,1,4949.619661921708
704,40,0,5078.5053475935829
704,41,4,5133.1616541353387
704,42,2,5170.6096256684496
704,43,4,5106.625469924812
704,44,2,5082.1810883140051
704,45,0,4935.1428571428569
704,46,5,5251.030303030303
704,47,3,5182.7582222222218
704,48,1,4740.7542297417631
704,49,2,4950.8764495985724
704,50,1,4496.6444444444442
704,51,4,5066.2248441674092
704,52,3,5023.9693060498221
704,53,5,5168.2604630454143
704,54,0,4815.3205357142861
704,55,5,5276.4336007130123
704,56,2,5084.9495758718194
704,57,4,5056.7740641711234
704,58,1,4793.9206773618534
704,59,3,4960.2234611953609
704,60,0,4423.3770053475937
704,61,1,4934.6614768683276
704,62,3,5023.5133570792523
704,63,4,5191.713777777778
704,64,2,4926.447907390917
704,65,5,5287.5383244206778
704,66,0,4707.5066785396257
704,67,1,5326.3805704099823
704,68,0,4596.3383793410503
704,69,3,5042.5765124555164
704,70,5,5204.0151380231518
704,71,2,4797.8768726591761
704,72,4,4977.5320569902051
704,73,1,5050.4910873440285
