point	density_error	gradient_error
1	1.4551915228366852e-11	7.471009311903732e-8
2	2.1827872842550278e-11	6.640913636986424e-8
3	2.546585164964199e-11	4.476901484737364e-7
4	2.9103830456733704e-11	5.849628821848984e-8
5	7.275957614183426e-12	4.462785192984015e-8
6	3.637978807091713e-12	2.4128725646107827e-7
7	3.637978807091713e-12	1.758117484247231e-7
8	1.4551915228366852e-11	4.653877716111358e-8
9	2.9103830456733704e-11	3.014065785802286e-7
10	1.0913936421275139e-11	1.0859486477673136e-6
11	1.8189894035458565e-11	5.405257119170529e-7
12	1.0913936421275139e-11	1.854508253198097e-7
