parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.827167018932152	0.1554713972308646	397.003017647673	554.1476219479312	1.0062135384862094
log_tau_load	4.095522135125658	0.21361869715763263	458.410834910328	763.5979460350358	1.0007864035811618
log_sigma_intercept	6.051521937908909	0.014581314094094905	1886.8221012717418	1329.3567767709844	1.0014337690962773
log_sigma_subj_slope	0.07827047388793008	0.0028700635589597318	3029.888950877561	1401.9742928775042	0.9998756882070801
total_intercept[701]	613.9562754869414	52.06066849759835	2446.688187899267	1560.507330949551	1.000399714945335
total_intercept[702]	1554.9654119867027	35.39992179408353	2820.9158882722163	1611.2820056408295	1.0004934108614019
total_intercept[703]	1835.7978940312028	36.51370096595799	2491.564707592878	1712.3489971521954	1.0001892330090134
total_intercept[704]	4815.717928526688	42.030812884027085	3021.004345182742	1675.530926690426	0.9998706021804187
total_intercept[705]	4121.62171118416	47.60404732273328	2593.3448636647413	1770.415326574027	1.0010114225160107
total_intercept[706]	5511.578690361365	48.232282290893224	2220.014837979986	1686.1016427997365	0.9997614588639526
total_intercept[707]	5383.134768870712	50.1717570264916	2705.093402393807	1923.672143269338	0.9997521612833163
total_intercept[708]	5020.345715918363	54.26878637319895	2657.106665977521	1666.9987351329662	1.0019427986919494
total_intercept[709]	4326.6610477438835	58.97289661382873	2883.4119234317914	1611.3190782431445	0.9997717417497749
total_intercept[710]	5654.091936773322	62.833485791039294	2478.5844870642095	1410.9036736800397	1.0016764043316742
total_intercept[711]	3735.2796754231535	67.8534870793064	2432.4136197898974	1682.2606222882227	1.0020647154149231
total_intercept[712]	6562.535306995498	73.15425259153204	2665.0196081639365	1781.3113776455575	1.0001095612610007
total_intercept[713]	9357.831300501864	76.900241252285	2338.0723236055933	1686.9000284226663	0.9998865906754496
total_intercept[714]	5619.105313996071	80.65640909596564	2143.8948124519757	1780.68574973636	0.9998211499988999
total_intercept[715]	6386.778579686137	90.41412078383487	2172.3428175126714	1510.4819127812932	0.9997066143407666
total_intercept[716]	6235.223847415019	124.77783888820608	1913.9601822010827	1532.8051608509215	0.9997009985034151
total_intercept[717]	6958.46074340708	104.4420219022967	1779.9773797745352	1505.6324354824192	1.0029579081191151
total_intercept[718]	6781.295812723967	111.70569666358212	1997.012795671168	1714.293809696442	1.0013156751139405
total_intercept[719]	10154.489696473605	117.04284528914992	2017.8630187598988	1894.1316912024363	0.9997688973747406
total_intercept[720]	8775.391260805476	123.28928696884873	2083.286138156273	1665.7521372261497	1.00098216686062
total_load[701]	35.854997950401824	17.272879108137978	2775.137905486622	1453.2778826752028	0.9996939693943491
total_load[702]	22.49920713242657	11.800774258268145	3493.305858269672	1850.6776731869031	1.0013978057688202
total_load[703]	20.465898270249404	12.06857122589256	3202.9423951082663	1753.9530882153292	1.0002732974233595
total_load[704]	69.94707020003364	13.866917080485438	3622.0789979654596	1349.3702897081898	1.0032380062242585
total_load[705]	37.13512426128849	15.47064671817528	2741.502854636867	1677.8886362685	1.0001294198407853
total_load[706]	52.58363750146498	16.2069235302081	3026.4151260271174	1624.1490648796469	1.00019609325007
total_load[707]	57.578382271268985	16.58735636620461	3191.1172894905458	1616.901988190595	1.0027991906278977
total_load[708]	33.61582857103794	17.358861469468366	2599.7491514345984	1374.7807392902407	1.0038542559844852
total_load[709]	14.946184428666024	18.971883113027374	3517.657926851768	1765.8443126023528	1.000014247657625
total_load[710]	-15.604318983776679	20.751010416332136	3531.509396877047	1359.4957087557048	1.0065170074976006
total_load[711]	72.75615024597232	22.079562989074372	2476.4713926245686	1683.803944769832	0.9998025943321085
total_load[712]	174.6292768079939	23.865149638581872	2815.2145388572108	1575.4059173328628	0.9996851010311893
total_load[713]	45.233526935142436	24.487260862412803	2383.5078974658504	1781.3113776455584	0.9997908733659806
total_load[714]	55.57781976118333	25.94373679811303	2304.9440644662345	1505.452544268051	0.9997610757657772
total_load[715]	16.393296188531163	28.819461310478793	2165.9852573635744	1449.4076076067595	0.9995243020336996
total_load[716]	25.066941307520427	37.2591203817958	1760.6538555570455	1604.3719981154668	1.0007057871446883
total_load[717]	150.9736198895334	33.489721022189606	1848.489983112937	1443.4442664806154	1.0009458353325658
total_load[718]	170.70170333907728	35.11691155448062	1681.6163480448233	1670.8124718367037	1.00206576094186
total_load[719]	28.28870240184436	36.29098808786254	1796.881776458435	1428.7955162590015	0.9999805702987705
total_load[720]	102.3569516073422	37.451095012796756	2304.7598812233527	1501.1523782363051	1.000230366631725
