coordinate	candidate	native_loss	expected_loss	error
1	0.0	-0.014384018730157547	-0.01438401873015749	5.724587470723463e-17
1	0.1	-0.017679169294690013	-0.01767916929470898	1.896746648633041e-14
1	0.2	-0.022001028814236153	-0.022001028814242367	6.213779490948923e-15
1	0.3	-0.02778423504388001	-0.027784235043876643	3.3688329903469594e-15
1	0.4	-0.035745452856768625	-0.035745452856763095	5.530298441414061e-15
1	0.5	-0.047155416353704765	-0.047155416353705334	5.689893001203927e-16
1	0.6	-0.06449591703728592	-0.06449591703728129	4.6351811278100286e-15
1	0.7	-0.09331268470249486	-0.09331268470249353	1.3322676295501878e-15
1	0.8	-0.14870496577081965	-0.14870496577081666	2.9976021664879227e-15
1	0.9	-0.2850344360923808	-0.28503443609237966	1.1657341758564144e-15
1	1.0	-0.5804217641220828	-0.5804217641220828	0.0
2	0.0	-0.0706582385106703	-0.07065823851067043	1.3877787807814457e-16
2	0.1	-0.07409274712121883	-0.07409274712120327	1.5557000132560006e-14
2	0.2	-0.0782177159095976	-0.07821771590962681	2.921274333544943e-14
2	0.3	-0.08334260869287645	-0.08334260869284035	3.60961260881254e-14
2	0.4	-0.08997856241788915	-0.08997856241789322	4.066191827689636e-15
2	0.5	-0.09903372673580418	-0.09903372673580475	5.689893001203927e-16
2	0.6	-0.11228795919075485	-0.11228795919074869	6.161737786669619e-15
2	0.7	-0.13374904839692836	-0.1337490483969182	1.0158540675320182e-14
2	0.8	-0.17455623375093335	-0.17455623375092894	4.413136522884997e-15
2	0.9	-0.27805139087698727	-0.2780513908769863	9.43689570931383e-16
2	1.0	-0.5302317849321184	-0.5302317849321193	8.881784197001252e-16
3	0.0	-0.00326605747712309	-0.0032660574771230873	2.6020852139652106e-18
3	0.1	-0.00780260556834727	-0.007802605568319012	2.82577780619242e-14
3	0.2	-0.01340785401576184	-0.013407854015749779	1.206153232846674e-14
3	0.3	-0.020528574547647133	-0.020528574547648337	1.2038980923279041e-15
3	0.4	-0.029904085648931676	-0.02990408564894323	1.1553258350005535e-14
3	0.5	-0.04284982259401943	-0.04284982259401641	3.0184188481996443e-15
3	0.6	-0.061944911880892024	-0.06194491188089102	1.0061396160665481e-15
3	0.7	-0.09298394664197206	-0.09298394664197172	3.3306690738754696e-16
3	0.8	-0.15189702335005134	-0.15189702335005137	2.7755575615628914e-17
3	0.9	-0.29740599664840717	-0.2974059966484085	1.3322676295501878e-15
3	1.0	-0.617387928790949	-0.6173879287909487	2.220446049250313e-16
4	0.0	-0.1968149735319323	-0.19681497353193195	3.608224830031759e-16
4	0.1	-0.21536609020642347	-0.21536609020656303	1.3955503419538218e-13
4	0.2	-0.23739550790372724	-0.2373955079038681	1.4085954624931674e-13
4	0.3	-0.26392714058467215	-0.26392714058471733	4.518607710224387e-14
4	0.4	-0.29632808311612024	-0.29632808311612374	3.497202527569243e-15
4	0.5	-0.33634342010521595	-0.3363434201051975	1.84297022087776e-14
