draw	transform_error	checkpoint_error
1	9.385206938441707e-16	0.0
88	1.4379585885743693e-16	0.0
175	1.1673752712298629e-15	0.0
262	1.1673752712298629e-15	0.0
349	7.327892873370396e-16	0.0
436	7.327892873370396e-16	0.0
522	7.327892873370396e-16	0.0
609	7.327892873370396e-16	0.0
696	7.327892873370396e-16	0.0
783	0.0	0.0
870	1.4658054029090253e-16	0.0
957	1.4658054029090253e-16	0.0
1044	1.4658054029090253e-16	0.0
1131	1.4658054029090253e-16	0.0
1218	7.308604154221298e-16	0.0
1305	7.308604154221298e-16	0.0
1392	5.86515319569539e-16	0.0
1479	1.46154456983278e-16	0.0
1565	7.338274881110957e-16	0.0
1652	7.338274881110957e-16	0.0
1739	2.925274071059933e-16	0.0
1826	2.925274071059933e-16	0.0
1913	2.925274071059933e-16	0.0
2000	2.925274071059933e-16	0.0
