pair_number	index	candidate	loss	groups	effective_n
1	5	0.0	-0.014384018730157547	500	500.0
1	5	0.1	-0.017679169294690013	500	500.0
1	5	0.2	-0.022001028814236153	500	500.0
1	5	0.3	-0.02778423504388001	500	500.0
1	5	0.4	-0.035745452856768625	500	500.0
1	5	0.5	-0.047155416353704765	500	500.0
1	5	0.6	-0.06449591703728592	500	500.0
1	5	0.7	-0.09331268470249486	500	500.0
1	5	0.8	-0.14870496577081965	500	500.0
1	5	0.9	-0.2850344360923808	500	500.0
1	5	1.0	-0.5804217641220828	500	500.0
2	6	0.0	-0.0706582385106703	500	500.0
2	6	0.1	-0.07409274712121883	500	500.0
2	6	0.2	-0.0782177159095976	500	500.0
2	6	0.3	-0.08334260869287645	500	500.0
2	6	0.4	-0.08997856241788915	500	500.0
2	6	0.5	-0.09903372673580418	500	500.0
2	6	0.6	-0.11228795919075485	500	500.0
2	6	0.7	-0.13374904839692836	500	500.0
2	6	0.8	-0.17455623375093335	500	500.0
2	6	0.9	-0.27805139087698727	500	500.0
2	6	1.0	-0.5302317849321184	500	500.0
3	7	0.0	-0.00326605747712309	500	500.0
3	7	0.1	-0.00780260556834727	500	500.0
3	7	0.2	-0.01340785401576184	500	500.0
3	7	0.3	-0.020528574547647133	500	500.0
3	7	0.4	-0.029904085648931676	500	500.0
3	7	0.5	-0.04284982259401943	500	500.0
3	7	0.6	-0.061944911880892024	500	500.0
3	7	0.7	-0.09298394664197206	500	500.0
3	7	0.8	-0.15189702335005134	500	500.0
3	7	0.9	-0.29740599664840717	500	500.0
3	7	1.0	-0.617387928790949	500	500.0
4	8	0.0	-0.1968149735319323	500	500.0
4	8	0.1	-0.21536609020642347	500	500.0
4	8	0.2	-0.23739550790372724	500	500.0
4	8	0.3	-0.26392714058467215	500	500.0
4	8	0.4	-0.29632808311612024	500	500.0
4	8	0.5	-0.33634342010521595	500	500.0
4	8	0.6	-0.3858924304055098	500	500.0
4	8	0.7	-0.4460065465667016	500	500.0
4	8	0.8	-0.5133781328099638	500	500.0
4	8	0.9	-0.5731164384799176	500	500.0
4	8	1.0	-0.5960044167743462	500	500.0
5	9	0.0	-0.052510718329335446	500	500.0
5	9	0.1	-0.06455732544999188	500	500.0
5	9	0.2	-0.07917483767948673	500	500.0
5	9	0.3	-0.09733460857985878	500	500.0
5	9	0.4	-0.12054460132900094	500	500.0
5	9	0.5	-0.15123630073884853	500	500.0
5	9	0.6	-0.19345904906924766	500	500.0
5	9	0.7	-0.2539418728634747	500	500.0
5	9	0.8	-0.3421077483798976	500	500.0
5	9	0.9	-0.4573590477152305	500	500.0
5	9	1.0	-0.5352869838204357	500	500.0
6	10	0.0	-0.5399567331462439	500	500.0
6	10	0.1	-0.5514609470593008	500	500.0
6	10	0.2	-0.5621857361661078	500	500.0
6	10	0.3	-0.5719468900461557	500	500.0
6	10	0.4	-0.5805518407792166	500	500.0
6	10	0.5	-0.5878060720326812	500	500.0
6	10	0.6	-0.5935211877750767	500	500.0
6	10	0.7	-0.59752426917017	500	500.0
6	10	0.8	-0.5996678585462403	500	500.0
6	10	0.9	-0.599839652898253	500	500.0
6	10	1.0	-0.5979708377950924	500	500.0
7	11	0.0	-0.4259495906591807	500	500.0
7	11	0.1	-0.4460228914705435	500	500.0
7	11	0.2	-0.466037612127775	500	500.0
7	11	0.3	-0.48560054651828577	500	500.0
7	11	0.4	-0.5042089556113035	500	500.0
7	11	0.5	-0.5212518973569383	500	500.0
7	11	0.6	-0.5360298741714611	500	500.0
7	11	0.7	-0.5477990099132782	500	500.0
7	11	0.8	-0.5558415268354608	500	500.0
7	11	0.9	-0.5595558288415381	500	500.0
7	11	1.0	-0.5585491497791822	500	500.0
8	12	0.0	-0.25835814677884594	500	500.0
8	12	0.1	-0.2873840979387393	500	500.0
8	12	0.2	-0.32001823395313483	500	500.0
8	12	0.3	-0.35667465449227576	500	500.0
8	12	0.4	-0.3975981371898113	500	500.0
8	12	0.5	-0.4426076955009475	500	500.0
8	12	0.6	-0.4906570592877184	500	500.0
8	12	0.7	-0.5392154292614018	500	500.0
8	12	0.8	-0.5837117494482214	500	500.0
8	12	0.9	-0.6177338351855688	500	500.0
8	12	1.0	-0.6348354175038777	500	500.0
9	13	0.0	-0.07598430281174685	500	500.0
9	13	0.1	-0.09048505449694133	500	500.0
9	13	0.2	-0.10830351497555947	500	500.0
9	13	0.3	-0.13057833644224176	500	500.0
9	13	0.4	-0.15896849679221078	500	500.0
9	13	0.5	-0.19589732043512734	500	500.0
9	13	0.6	-0.24477529619378907	500	500.0
9	13	0.7	-0.3096354797339644	500	500.0
9	13	0.8	-0.3918470882578733	500	500.0
9	13	0.9	-0.4784592058096341	500	500.0
9	13	1.0	-0.5292387288016457	500	500.0
10	14	0.0	-0.5654739996752062	500	500.0
10	14	0.1	-0.5710908872311538	500	500.0
10	14	0.2	-0.5762104056424543	500	500.0
10	14	0.3	-0.5808160471594377	500	500.0
10	14	0.4	-0.5848924090996411	500	500.0
10	14	0.5	-0.5884252626928894	500	500.0
10	14	0.6	-0.5914016185269436	500	500.0
10	14	0.7	-0.5938097883480123	500	500.0
10	14	0.8	-0.5956394429865667	500	500.0
10	14	0.9	-0.5968816662139227	500	500.0
10	14	1.0	-0.5975290043629654	500	500.0
11	15	0.0	-0.1056288416547609	500	500.0
11	15	0.1	-0.12031242199904443	500	500.0
11	15	0.2	-0.13823789437438935	500	500.0
11	15	0.3	-0.1605536006648822	500	500.0
11	15	0.4	-0.18898010289155912	500	500.0
11	15	0.5	-0.22615337088928264	500	500.0
11	15	0.6	-0.2761280366842666	500	500.0
11	15	0.7	-0.3447651925306268	500	500.0
11	15	0.8	-0.4378955774139969	500	500.0
11	15	0.9	-0.5479226241158568	500	500.0
11	15	1.0	-0.6197116137973928	500	500.0
12	16	0.0	-0.22634470352158415	500	500.0
12	16	0.1	-0.25279619568874084	500	500.0
12	16	0.2	-0.28329514903180686	500	500.0
12	16	0.3	-0.3184624223241942	500	500.0
12	16	0.4	-0.3587944811272023	500	500.0
12	16	0.5	-0.40435252260727533	500	500.0
12	16	0.6	-0.45416934644447565	500	500.0
12	16	0.7	-0.5053369432322136	500	500.0
12	16	0.8	-0.5521440578338058	500	500.0
12	16	0.9	-0.5864700691702206	500	500.0
12	16	1.0	-0.6008199814237788	500	500.0
13	17	0.0	-0.07791812644787362	500	500.0
13	17	0.1	-0.08588862913802638	500	500.0
13	17	0.2	-0.09588571298323766	500	500.0
13	17	0.3	-0.1087234649165359	500	500.0
13	17	0.4	-0.12570688279620798	500	500.0
13	17	0.5	-0.1490518202955504	500	500.0
13	17	0.6	-0.18278968288098488	500	500.0
13	17	0.7	-0.23484223215669867	500	500.0
13	17	0.8	-0.32158422803121733	500	500.0
13	17	0.9	-0.469016665474503	500	500.0
13	17	1.0	-0.6060481543712324	500	500.0
14	18	0.0	-0.5931982904242389	500	500.0
14	18	0.1	-0.5986179386691041	500	500.0
14	18	0.2	-0.6034892650516523	500	500.0
14	18	0.3	-0.6078033654712082	500	500.0
14	18	0.4	-0.611552756159108	500	500.0
14	18	0.5	-0.6147313738630273	500	500.0
14	18	0.6	-0.6173345715165125	500	500.0
14	18	0.7	-0.619359109629126	500	500.0
14	18	0.8	-0.620803143640612	500	500.0
14	18	0.9	-0.6216662074897855	500	500.0
14	18	1.0	-0.6219491936519754	500	500.0
15	19	0.0	-0.37131397460148347	500	500.0
15	19	0.1	-0.3972116756637455	500	500.0
15	19	0.2	-0.42491853910261207	500	500.0
15	19	0.3	-0.4542146650797112	500	500.0
15	19	0.4	-0.4846094149927221	500	500.0
15	19	0.5	-0.5152184196823673	500	500.0
15	19	0.6	-0.5446429793420836	500	500.0
15	19	0.7	-0.5709156836739505	500	500.0
15	19	0.8	-0.5916158399562871	500	500.0
15	19	0.9	-0.6042523001789953	500	500.0
15	19	1.0	-0.6068940889315679	500	500.0
16	20	0.0	-0.5051903824495557	500	500.0
16	20	0.1	-0.5283620879568387	500	500.0
16	20	0.2	-0.5511686287036618	500	500.0
16	20	0.3	-0.5731659853025782	500	500.0
16	20	0.4	-0.5938210785869182	500	500.0
16	20	0.5	-0.612524008556398	500	500.0
16	20	0.6	-0.6286159730274977	500	500.0
16	20	0.7	-0.6414346749819962	500	500.0
16	20	0.8	-0.6503749309545265	500	500.0
16	20	0.9	-0.6549566953324897	500	500.0
16	20	1.0	-0.6548877203088161	500	500.0
17	21	0.0	-0.2736059137574089	500	500.0
17	21	0.1	-0.29700459755188025	500	500.0
17	21	0.2	-0.3238657306561026	500	500.0
17	21	0.3	-0.35468493749110847	500	500.0
17	21	0.4	-0.38982455694048	500	500.0
17	21	0.5	-0.4292326937776917	500	500.0
17	21	0.6	-0.4719113531538613	500	500.0
17	21	0.7	-0.5150917774870298	500	500.0
17	21	0.8	-0.5534230231184097	500	500.0
17	21	0.9	-0.5792581685687522	500	500.0
17	21	1.0	-0.5854435995608075	500	500.0
18	22	0.0	-0.26072259201727854	500	500.0
18	22	0.1	-0.2894464352177248	500	500.0
18	22	0.2	-0.32143755404797086	500	500.0
18	22	0.3	-0.35688539473627695	500	500.0
18	22	0.4	-0.39571458706298235	500	500.0
18	22	0.5	-0.43733620533351264	500	500.0
18	22	0.6	-0.4802971649491058	500	500.0
18	22	0.7	-0.5219151299645706	500	500.0
18	22	0.8	-0.5581732031478143	500	500.0
18	22	0.9	-0.5843156250142003	500	500.0
18	22	1.0	-0.596352565620047	500	500.0
19	23	0.0	-0.14436702025453185	500	500.0
19	23	0.1	-0.15643675223569992	500	500.0
19	23	0.2	-0.1710230693070688	500	500.0
19	23	0.3	-0.18909911234077453	500	500.0
19	23	0.4	-0.21219260032215478	500	500.0
19	23	0.5	-0.24281534157380616	500	500.0
19	23	0.6	-0.28530280570619304	500	500.0
19	23	0.7	-0.3473977998530867	500	500.0
19	23	0.8	-0.44204407170309395	500	500.0
19	23	0.9	-0.5764647384065976	500	500.0
19	23	1.0	-0.6596181971334101	500	500.0
20	24	0.0	-0.17281188288704868	500	500.0
20	24	0.1	-0.18797103175747432	500	500.0
20	24	0.2	-0.20656741826737812	500	500.0
20	24	0.3	-0.22980844132360573	500	500.0
20	24	0.4	-0.2594705515480549	500	500.0
20	24	0.5	-0.2981932394666779	500	500.0
20	24	0.6	-0.34980692031647176	500	500.0
20	24	0.7	-0.41912815062448555	500	500.0
20	24	0.8	-0.5083704298488557	500	500.0
20	24	0.9	-0.6012879823471784	500	500.0
20	24	1.0	-0.6395161262545528	500	500.0
21	25	0.0	-0.48696102353223725	500	500.0
21	25	0.1	-0.5049270607404489	500	500.0
21	25	0.2	-0.5216973480500275	500	500.0
21	25	0.3	-0.5370357589471904	500	500.0
21	25	0.4	-0.5507138491212319	500	500.0
21	25	0.5	-0.5625194511500179	500	500.0
21	25	0.6	-0.5722654568761905	500	500.0
21	25	0.7	-0.5797981022713576	500	500.0
21	25	0.8	-0.5850040294508985	500	500.0
21	25	0.9	-0.5878154618666692	500	500.0
21	25	1.0	-0.5882129934271788	500	500.0
22	26	0.0	-0.5019165080672009	500	500.0
22	26	0.1	-0.5201580835090942	500	500.0
22	26	0.2	-0.5372472085962179	500	500.0
22	26	0.3	-0.5529390642311678	500	500.0
22	26	0.4	-0.5669942678211708	500	500.0
22	26	0.5	-0.5791872401263107	500	500.0
22	26	0.6	-0.5893149167892164	500	500.0
22	26	0.7	-0.5972051932886792	500	500.0
22	26	0.8	-0.6027244294489288	500	500.0
22	26	0.9	-0.6057833612448387	500	500.0
22	26	1.0	-0.6063408820078198	500	500.0
23	27	0.0	-0.4386340038075527	500	500.0
23	27	0.1	-0.4520997897896883	500	500.0
23	27	0.2	-0.464788725937243	500	500.0
23	27	0.3	-0.4765592988026761	500	500.0
23	27	0.4	-0.48727117487697086	500	500.0
23	27	0.5	-0.49678848543233506	500	500.0
23	27	0.6	-0.5049833566849864	500	500.0
23	27	0.7	-0.5117395374437222	500	500.0
23	27	0.8	-0.5169559463472446	500	500.0
23	27	0.9	-0.5205499429210766	500	500.0
23	27	1.0	-0.5224601253033289	500	500.0
24	28	0.0	-0.380253016743475	500	500.0
24	28	0.1	-0.4037647284943297	500	500.0
24	28	0.2	-0.4281123267863738	500	500.0
24	28	0.3	-0.45282965908358624	500	500.0
24	28	0.4	-0.47721908355610176	500	500.0
24	28	0.5	-0.500321836355519	500	500.0
24	28	0.6	-0.5209331102265796	500	500.0
24	28	0.7	-0.5376922777391695	500	500.0
24	28	0.8	-0.5492646835196174	500	500.0
24	28	0.9	-0.554592258331751	500	500.0
24	28	1.0	-0.553138593324466	500	500.0
25	29	0.0	-0.49848166676651523	500	500.0
25	29	0.1	-0.5183402010308854	500	500.0
25	29	0.2	-0.5373493504791348	500	500.0
25	29	0.3	-0.5552393403385931	500	500.0
25	29	0.4	-0.5717288572104714	500	500.0
25	29	0.5	-0.586533945204704	500	500.0
25	29	0.6	-0.599378959505713	500	500.0
25	29	0.7	-0.610009012484005	500	500.0
25	29	0.8	-0.618202999872799	500	500.0
25	29	0.9	-0.6237860163144663	500	500.0
25	29	1.0	-0.6266398434546137	500	500.0
26	30	0.0	-0.37683585238160827	500	500.0
26	30	0.1	-0.4004717142722515	500	500.0
26	30	0.2	-0.4243005960741007	500	500.0
26	30	0.3	-0.44795507410612945	500	500.0
26	30	0.4	-0.4709588703568966	500	500.0
26	30	0.5	-0.4927206113408809	500	500.0
26	30	0.6	-0.5125414032248501	500	500.0
26	30	0.7	-0.5296431296076894	500	500.0
26	30	0.8	-0.5432224350848546	500	500.0
26	30	0.9	-0.5525297242818936	500	500.0
26	30	1.0	-0.5569634594575683	500	500.0
27	31	0.0	-0.40331313077101055	500	500.0
27	31	0.1	-0.42816808251532645	500	500.0
27	31	0.2	-0.453235443096604	500	500.0
27	31	0.3	-0.47812877034412804	500	500.0
27	31	0.4	-0.5023630690312706	500	500.0
27	31	0.5	-0.5253572345575351	500	500.0
27	31	0.6	-0.5464505354675417	500	500.0
27	31	0.7	-0.5649369836778411	500	500.0
27	31	0.8	-0.5801184388516806	500	500.0
27	31	0.9	-0.5913721340782246	500	500.0
27	31	1.0	-0.5982222163194888	500	500.0
28	32	0.0	-0.4231019744911766	500	500.0
28	32	0.1	-0.43876069187948297	500	500.0
28	32	0.2	-0.4537349345087108	500	500.0
28	32	0.3	-0.4678321835852037	500	500.0
28	32	0.4	-0.48085239640406136	500	500.0
28	32	0.5	-0.4925931043648655	500	500.0
28	32	0.6	-0.5028556251471906	500	500.0
28	32	0.7	-0.5114521557042274	500	500.0
28	32	0.8	-0.5182133600623382	500	500.0
28	32	0.9	-0.5229959298408217	500	500.0
28	32	1.0	-0.5256895057587029	500	500.0
29	33	0.0	-0.564949520438312	500	500.0
29	33	0.1	-0.5769391904978914	500	500.0
29	33	0.2	-0.5878092399126791	500	500.0
29	33	0.3	-0.5974695619514687	500	500.0
29	33	0.4	-0.605838133020202	500	500.0
29	33	0.5	-0.612842341598014	500	500.0
29	33	0.6	-0.6184201820742748	500	500.0
29	33	0.7	-0.6225212804603582	500	500.0
29	33	0.8	-0.6251077238107843	500	500.0
29	33	0.9	-0.6261546712678917	500	500.0
29	33	1.0	-0.6256507316192882	500	500.0
30	34	0.0	-0.5189836812301724	500	500.0
30	34	0.1	-0.5288918714058465	500	500.0
30	34	0.2	-0.5378595179733391	500	500.0
30	34	0.3	-0.5458231386390109	500	500.0
30	34	0.4	-0.5527255296204733	500	500.0
30	34	0.5	-0.558516552229462	500	500.0
30	34	0.6	-0.5631538304101803	500	500.0
30	34	0.7	-0.5666033435519567	500	500.0
30	34	0.8	-0.5688399011961913	500	500.0
30	34	0.9	-0.5698474890069901	500	500.0
30	34	1.0	-0.5696194784749782	500	500.0
31	35	0.0	-0.4760909725246809	500	500.0
31	35	0.1	-0.4937739497423093	500	500.0
31	35	0.2	-0.5105825335995836	500	500.0
31	35	0.3	-0.5260889961595302	500	500.0
31	35	0.4	-0.5398159160494024	500	500.0
31	35	0.5	-0.5512575404527643	500	500.0
31	35	0.6	-0.5599124298941394	500	500.0
31	35	0.7	-0.5653257480768753	500	500.0
31	35	0.8	-0.5671363022712497	500	500.0
31	35	0.9	-0.5651204353243532	500	500.0
31	35	1.0	-0.559223561369444	500	500.0
32	36	0.0	-0.3098298498978406	500	500.0
32	36	0.1	-0.3430563115277209	500	500.0
32	36	0.2	-0.3794249182497305	500	500.0
32	36	0.3	-0.4184051564767573	500	500.0
32	36	0.4	-0.45860456823682083	500	500.0
32	36	0.5	-0.4973255859272516	500	500.0
32	36	0.6	-0.5303379319273329	500	500.0
32	36	0.7	-0.5524217040479085	500	500.0
32	36	0.8	-0.5590869391421742	500	500.0
32	36	0.9	-0.5487814539171608	500	500.0
32	36	1.0	-0.5237930044618245	500	500.0
33	37	0.0	-0.49050214671563896	500	500.0
33	37	0.1	-0.5065843076746044	500	500.0
33	37	0.2	-0.5217180844720618	500	500.0
33	37	0.3	-0.5357418345185504	500	500.0
33	37	0.4	-0.5484999476944121	500	500.0
33	37	0.5	-0.5598472838190574	500	500.0
33	37	0.6	-0.5696536206964107	500	500.0
33	37	0.7	-0.5778078503644762	500	500.0
33	37	0.8	-0.5842216522856589	500	500.0
33	37	0.9	-0.5888323918165204	500	500.0
33	37	1.0	-0.5916050407996213	500	500.0
34	38	0.0	-0.48498013155523895	500	500.0
34	38	0.1	-0.5020093312683591	500	500.0
34	38	0.2	-0.5180070532845759	500	500.0
34	38	0.3	-0.532737231996857	500	500.0
34	38	0.4	-0.5459633831934637	500	500.0
34	38	0.5	-0.5574569826067748	500	500.0
34	38	0.6	-0.5670067491090387	500	500.0
34	38	0.7	-0.5744281982625031	500	500.0
34	38	0.8	-0.5795726787264686	500	500.0
34	38	0.9	-0.5823350451193181	500	500.0
34	38	1.0	-0.5826591864806239	500	500.0
35	39	0.0	-0.5364851241310935	500	500.0
35	39	0.1	-0.5492034195785447	500	500.0
35	39	0.2	-0.5608387180685328	500	500.0
35	39	0.3	-0.5712971050222739	500	500.0
35	39	0.4	-0.5804934059302063	500	500.0
35	39	0.5	-0.5883525491267277	500	500.0
35	39	0.6	-0.5948107623283404	500	500.0
35	39	0.7	-0.5998165711249969	500	500.0
35	39	0.8	-0.6033315738048659	500	500.0
35	39	0.9	-0.6053309740629643	500	500.0
35	39	1.0	-0.6058038609213068	500	500.0
36	40	0.0	-0.5507719189168853	500	500.0
36	40	0.1	-0.5622519714443909	500	500.0
36	40	0.2	-0.5727764067525253	500	500.0
36	40	0.3	-0.5822748734265231	500	500.0
36	40	0.4	-0.5906829760761406	500	500.0
36	40	0.5	-0.5979430199027912	500	500.0
36	40	0.6	-0.6040046769285685	500	500.0
36	40	0.7	-0.6088255648238239	500	500.0
36	40	0.8	-0.6123717311286696	500	500.0
36	40	0.9	-0.6146180374640711	500	500.0
36	40	1.0	-0.6155484400109764	500	500.0
37	41	0.0	-0.5195305729784159	500	500.0
37	41	0.1	-0.5481353420952367	500	500.0
37	41	0.2	-0.5749300141356852	500	500.0
37	41	0.3	-0.5985851814018635	500	500.0
37	41	0.4	-0.6176833943601512	500	500.0
37	41	0.5	-0.6309197687322798	500	500.0
37	41	0.6	-0.6373409879942765	500	500.0
