draw	mean_error	covariance_error	density_error
1	7.105427357601002e-15	1.722355591482483e-11	0.0
183	4.547473508864641e-12	2.3874235921539366e-12	1.0658141036401503e-14
364	2.7284841053187847e-12	5.820766091346741e-11	8.348877145181177e-14
546	2.7284841053187847e-12	5.820766091346741e-11	9.769962616701378e-14
728	2.7284841053187847e-12	3.467448550509289e-12	1.2434497875801753e-14
910	9.094947017729282e-13	2.2168933355715126e-12	7.283063041541027e-14
1091	1.8189894035458565e-12	5.820766091346741e-11	1.0658141036401503e-14
1273	9.094947017729282e-13	1.1641532182693481e-10	7.105427357601002e-15
1455	9.094947017729282e-13	5.820766091346741e-11	8.881784197001252e-15
1637	4.547473508864641e-12	5.820766091346741e-11	8.526512829121202e-14
1818	3.637978807091713e-12	2.9103830456733704e-11	1.0658141036401503e-14
2000	1.8189894035458565e-12	5.9117155615240335e-12	1.7763568394002505e-14
