draw	mean_error	covariance_error	density_error
1	9.094947017729282e-13	2.9103830456733704e-11	5.5067062021407764e-14
183	1.8189894035458565e-12	1.63140612130519e-11	1.2434497875801753e-14
364	9.094947017729282e-13	3.524291969370097e-12	3.019806626980426e-14
546	9.094947017729282e-13	5.820766091346741e-11	4.085620730620576e-14
728	9.094947017729282e-12	5.820766091346741e-11	1.2434497875801753e-14
910	9.094947017729282e-12	1.2505552149377763e-12	1.5987211554602254e-14
1091	5.4569682106375694e-12	5.820766091346741e-11	4.796163466380676e-14
1273	3.637978807091713e-12	4.433786671143025e-12	7.105427357601002e-15
1455	5.4569682106375694e-12	2.9103830456733704e-11	8.881784197001252e-15
1637	1.4551915228366852e-11	2.9103830456733704e-11	2.842170943040401e-14
1818	1.8189894035458565e-12	2.9103830456733704e-11	4.618527782440651e-14
2000	0.0	3.183231456205249e-12	4.085620730620576e-14
