draw	mean_error	covariance_error	density_error
1	9.094947017729282e-13	5.684341886080801e-13	5.861977570020827e-14
183	9.094947017729282e-13	2.9103830456733704e-11	6.927791673660977e-14
364	5.4569682106375694e-12	1.0118128557223827e-11	2.4868995751603507e-14
546	2.7284841053187847e-12	2.9103830456733704e-11	1.5987211554602254e-14
728	3.637978807091713e-12	5.820766091346741e-11	1.2434497875801753e-14
910	9.094947017729282e-13	7.958078640513122e-13	1.5987211554602254e-14
1091	1.4210854715202004e-14	4.661160346586257e-12	1.0658141036401503e-14
1273	7.105427357601002e-15	2.7853275241795927e-12	4.973799150320701e-14
1455	3.637978807091713e-12	6.59383658785373e-12	8.881784197001252e-15
1637	5.4569682106375694e-12	1.2164491636212915e-11	3.019806626980426e-14
1818	6.366462912410498e-12	5.684341886080801e-13	1.0658141036401503e-14
2000	2.7284841053187847e-12	5.684341886080801e-13	4.085620730620576e-14
