parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.829217212205876	0.1610463182207523	98.87039931613431	155.12928809539778	1.0008183351892173
log_tau_load	4.110906031277505	0.22134324999120394	319.94715330140946	468.37538343746627	1.001256365637906
log_sigma_intercept	6.051301868446332	0.014960482900004795	4881.874316919948	1471.643937203115	1.0000604845187289
log_sigma_subj_slope	0.0782043668725733	0.0027949685496262747	3867.5831562565095	1305.4892512280874	0.999866587470794
total_intercept[701]	614.7500182275344	52.52765159486398	3343.0756960537624	1460.7289480300165	0.9996208407160897
total_intercept[702]	1554.982644413431	34.3553820274825	2312.85931796901	1728.8936625033075	1.0007810570103395
total_intercept[703]	1834.2903099633716	37.12752384645354	2753.6253523160285	1600.2415854652293	1.0007039307433467
total_intercept[704]	4816.386922980626	40.612330111515504	3487.895585973279	1811.907308619376	1.0004606279836827
total_intercept[705]	4117.520374035594	46.67963984096612	2307.0638583306104	1498.695571196535	0.9997246586402645
total_intercept[706]	5511.438471895585	44.69891675444254	2213.9631897636127	1713.8620923716562	0.9999586401484921
total_intercept[707]	5381.753879435712	48.75285823572006	2220.1137084851352	1392.8200012500588	0.9996576076489665
total_intercept[708]	5020.312056202082	55.09699341287954	1719.7579438120742	1498.6258451334695	0.9999016846159481
total_intercept[709]	4327.023052856395	57.89708911997909	1692.5639508544607	1381.4591309701398	1.0017937763029872
total_intercept[710]	5654.058368859041	62.598667719750495	1919.6002155986907	1643.697490302922	1.0008653290411722
total_intercept[711]	3734.390777224587	65.85873776358886	3409.919086284666	1517.187617222827	0.9995411705613395
total_intercept[712]	6559.296397539206	74.37671353091069	2137.1679102045973	1449.3055661181286	1.0019332079634318
total_intercept[713]	9358.48394271611	75.88769602431046	2848.6421805152	1753.2619761897786	1.0006531196610762
total_intercept[714]	5620.843213349827	84.03314361680262	2003.3162982434915	1452.1807493374058	1.0000348007269124
total_intercept[715]	6386.946269336669	89.28381149766436	3061.0212148125065	1474.6046981894692	1.002679905266852
total_intercept[716]	6235.077222662061	120.31260497603355	2813.0602529629473	1472.0189724628187	1.0002749039516308
total_intercept[717]	6954.9466212124735	104.29515822770463	1791.539639566193	1435.2797239862891	1.0002543063905136
total_intercept[718]	6778.942692743167	115.56084963089354	1599.2541753410712	1500.4065731646795	1.001899844449825
total_intercept[719]	10160.818606835304	114.11783543836503	2664.907154475561	1535.3069968616298	1.0076086797230281
total_intercept[720]	8767.729308749347	118.59514725515376	2088.5392433517904	1551.3735350436662	0.9999072297560484
total_load[701]	35.71539599052175	17.851644761667792	2895.214094326249	1461.8089660660917	1.001813165793158
total_load[702]	22.195150351156638	11.55231210140643	2556.8151162018275	1574.3367250391057	1.004770145722649
total_load[703]	20.882542396874964	12.098069290486382	3111.6512175122307	1127.067519774261	1.0047436847560587
total_load[704]	69.61326912383359	13.401238452535415	3123.6648325215688	1757.594282731711	0.9995288996654836
total_load[705]	38.38547849879918	15.599153680069811	2680.2734874189564	1208.5615747822533	1.0005108268564336
total_load[706]	52.834162486946305	14.503524437533581	2181.2859324195338	1814.62958524427	1.0000085187231824
total_load[707]	58.237740255812795	16.03262312878127	2115.000036055421	1492.941245538097	0.9995048473061895
total_load[708]	33.64962618942592	17.685026107775087	1731.851828087083	1524.224875622149	0.9996748136972666
total_load[709]	15.111840536673817	18.761345706085542	1889.3227075228922	1609.733680235694	1.0036888422053694
total_load[710]	-15.51118132232836	20.32574299222931	1741.981781892819	1371.792356807099	1.0011291256075323
total_load[711]	72.37248079295895	21.60484200242189	2988.92133350065	1454.084651077066	1.000067172636309
total_load[712]	176.0581692715721	24.450627852853138	1790.3046015379593	1529.6851009559346	1.0002301021203903
total_load[713]	45.37025622780732	24.05467156096256	2589.23198005191	1455.198608428184	1.0000966266968374
total_load[714]	54.409780043948736	26.5180093026875	2297.8887812565913	1750.0654226453041	0.9998034028475377
total_load[715]	16.842117671758512	29.04047994690144	2645.7889780595565	1613.5054379274457	1.0008231430371761
total_load[716]	24.691168519863314	36.19957332472567	2796.5046705678897	1489.8332809229846	0.9998834465268392
total_load[717]	152.13393528251945	34.0747010169498	1738.7313987444134	1264.8649363148882	1.000403921038252
total_load[718]	170.57207580157888	37.773131353446495	1178.8493784665425	1471.1485980127866	1.0066031570496312
total_load[719]	27.375353395778955	35.552142578643505	3009.536517501326	1356.5839690883565	1.0058721035505696
total_load[720]	103.89122840326264	36.85218144658718	1801.511627421195	1677.2724633944104	1.0000869831462207
