model	sampler	total_gradients	sampling_gradients	min_ess	limiting_qoi	sampling_efficiency	total_efficiency	relative_sampling_efficiency	relative_total_efficiency
brms NCP	Native Stan	1063829	682496	170.2980565072976	population_intercept_at_mean_load	0.0002495224243179412	0.0001600802915762755	1.0	1.0
brms NCP	WHMC	274051	234960	83.74104966131779	log_tau_intercept	0.00035640555695147166	0.00030556739315425885	1.4283508102555948	1.9088383094845955
brms CP	WHMC	80373	74768	47.32995819529875	population_intercept_at_mean_load	0.0006330242643283056	0.0005888788298968404	2.536943387187144	3.6786466597373098
brms S2Z CP	Native Stan	319693	60584	2045.9587120584363	population_intercept_at_mean_load	0.03377061125145973	0.00639976074564797	135.34098726304956	39.97844258422402
brms S2Z CP	WHMC	188667	58456	1993.7946624096169	population_intercept_at_mean_load	0.03410761363092953	0.010567797560832667	136.69157681583619	66.01560664822561
brms S2Z NCP	Native Stan	771035	512896	149.97339845151416	log_tau_intercept	0.0002924050849519477	0.00019450919666618786	1.1718589451478134	1.2150727285095404
brms S2Z NCP	WHMC	123267	110944	88.33167026434374	log_tau_intercept	0.0007961824908453251	0.000716588140088943	3.1908254058594356	4.476429503175294
brms S2Z auto	Native Stan	150012	32248	1502.5446578902295	total_intercept[717]	0.046593421542118256	0.010016163092887432	186.73039775675218	62.56962049644258
brms S2Z auto	WHMC	64875	46672	2016.9798693685661	population_load	0.043216058222672396	0.03109024846810892	173.19508793969771	194.21659069939258
total coefficients CP	WHMC	54587	52136	1702.2751137857306	total_load[705]	0.03265066583139732	0.031184624796851457	130.8526314644726	194.8061469015536
total coefficients NCP	WHMC	134652	127088	96.23366761153939	log_tau_intercept	0.000757220725887097	0.0007146842795616804	3.034680061148521	4.464536343133443
Totals post-hoc position	WHMC	168932	29864	1924.9395702248705	total_load[702]	0.06445685675813255	0.011394759845528795	258.32089814902446	71.1815285524976
Totals post-hoc gradient	WHMC	173699	34712	1424.4542704601686	total_intercept[703]	0.041036364094842376	0.008200705072914458	164.4596240478727	51.228698999507785
Totals online position	WHMC	35586	30352	1238.5772622433328	log_tau_load	0.04080710537174924	0.03480518356216863	163.54083398834274	217.42328939714955
Totals online gradient	WHMC	35114	29864	2056.883850489192	population_load	0.06887502847874337	0.05857731532975998	276.0274098290376	365.9245916718543
