prior	arm	total_gradients	sampling_gradients	min_bulk_ess	limiting_qoi	sampling_efficiency	total_efficiency	divergences	max_split_rhat	min_tail_ess	relative_sampling_efficiency	relative_total_efficiency
Gaussian	brms NCP / Native Stan	1223801	852992	230.3945156484024	population_intercept_at_mean_load	0.00027010161367093993	0.00018826142130003357	0	1.0065170074976006	428.512159014343	1.0	1.0
Gaussian	brms NCP / WHMC	166865	154742	74.49696772494585	population_intercept_at_mean_load	0.00048142694113392515	0.00044645053021871484	50	1.010712102859655	157.86534359052948	1.7823919472041332	2.37143928445756
Gaussian	Totals NCP / WHMC	87776	81728	98.87039931613431	log_tau_intercept	0.0012097494043184014	0.001126394450830914	0	1.0076086797230281	155.12928809539778	4.478867741205789	5.9831400562719175
Gaussian	Post-hoc position / WHMC	122442	30224	1648.8967236823212	total_intercept[711]	0.054555873599865044	0.01346675751525066	0	1.0062323381332656	1058.1610512542786	201.98277551325373	71.53222058059676
Gaussian	Post-hoc gradient / WHMC	120499	29920	1264.9092757442656	total_intercept[708]	0.04227637953690727	0.010497259527002428	0	1.0030273117264017	1217.4409369939278	156.52027754418322	55.75895185808074
Gaussian	Historical broken online / WHMC	36696	3955	4.429436961906255	total_load[705]	0.0011199587767146031	0.0001207062612248271	1024	2.1647863946245973	NaN	4.146434971243931	0.6411630189089917
Gaussian	Online position / WHMC	34466	29952	1513.5911113038767	total_intercept[709]	0.050533891269493744	0.04391548515359707	0	1.0026305190511864	1163.829129822801	187.09214870170416	233.26863703853934
Gaussian	Online gradient / WHMC	41151	36576	1569.1911004774988	total_load[718]	0.042902206377884375	0.0381325144097956	0	1.004471487396936	1321.5970684127378	158.83728273519824	202.5508686085161
Student-t	brms NCP / Native Stan	1063829	682496	170.2980565072976	population_intercept_at_mean_load	0.0002495224243179412	0.0001600802915762755	0	1.005682873281681	291.1129515182281	1.0	1.0
Student-t	brms NCP / WHMC	274051	234960	83.74104966131779	log_tau_intercept	0.00035640555695147166	0.00030556739315425885	0	1.026398620335412	163.03517768578172	1.4283508102555948	1.9088383094845955
Student-t	Totals NCP / WHMC	134652	127088	96.23366761153939	log_tau_intercept	0.000757220725887097	0.0007146842795616804	0	1.0300365760403736	220.99574166444813	3.034680061148521	4.464536343133443
Student-t	Totals CP / WHMC	54587	52136	1702.2751137857306	total_load[705]	0.03265066583139732	0.031184624796851457	0	1.0024177029551438	1198.2714151554399	130.8526314644726	194.8061469015536
Student-t	brms S2Z auto / WHMC	64875	46672	2016.9798693685661	population_load	0.043216058222672396	0.03109024846810892	0	1.0042264220858699	1208.4378675431785	173.19508793969771	194.21659069939258
Student-t	Post-hoc position / WHMC	168932	29864	1924.9395702248705	total_load[702]	0.06445685675813255	0.011394759845528795	0	1.0062853482176064	1187.6973234140057	258.32089814902446	71.1815285524976
Student-t	Post-hoc gradient / WHMC	173699	34712	1424.4542704601686	total_intercept[703]	0.041036364094842376	0.008200705072914458	0	1.0028552323137208	1241.6929857039822	164.4596240478727	51.228698999507785
Student-t	Online position / WHMC	35586	30352	1238.5772622433328	log_tau_load	0.04080710537174924	0.03480518356216863	0	1.0048161146327774	1235.9347791315809	163.54083398834274	217.42328939714955
Student-t	Online gradient / WHMC	35114	29864	2056.883850489192	population_load	0.06887502847874337	0.05857731532975998	0	1.006714230840906	1142.8057276629304	276.0274098290376	365.9245916718543
