parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.818118082327597	0.1631343578037634	3200.1579789373045	1298.071231298176	1.0000279391129132
log_tau_load	4.100334256097096	0.22196228521170402	2537.757488369471	1217.4409369939278	1.0003158725573613
log_sigma_intercept	6.051312898788641	0.015884241785120823	4899.23723873635	1493.300542650467	1.000470054131662
log_sigma_subj_slope	0.07824630312248129	0.0028088118076915877	2928.2119601472623	1379.5576581577157	1.0007993431309454
total_intercept[701]	614.699737144386	52.57850557390264	2567.5491995253915	1667.7237323652537	1.0000738684293307
total_intercept[702]	1553.6319610796013	34.65403408594889	1799.4664483901067	1628.6961737993433	0.9995445245452144
total_intercept[703]	1834.6389176319417	36.562714936514546	1768.4634518116577	1601.2583686620035	0.9999862340172896
total_intercept[704]	4816.547348341441	40.654684455910214	4284.982746933288	1220.9557013379108	1.0009925932071324
total_intercept[705]	4118.707553353118	46.75061371112363	2669.386776134727	1473.6696341240843	1.0008702009412331
total_intercept[706]	5508.753192458586	45.59014562557552	2717.067817110629	1467.6815520751127	1.0001929274823735
total_intercept[707]	5382.776594977576	48.937656327666325	2799.1750927859543	1803.9853596141918	1.0022157847099995
total_intercept[708]	5019.889635941567	54.8251033504299	1264.9092757442656	1360.3090503087417	1.0011340229985277
total_intercept[709]	4325.468247676455	59.11346327433999	4024.291132480906	1326.276930157551	1.0013187759064444
total_intercept[710]	5654.828011708238	62.46217821929594	2080.1614682479717	1459.0190528133064	1.0007573134726477
total_intercept[711]	3735.5498709940434	68.21082249373612	2591.854128873909	1280.5709620282955	1.0028087641055112
total_intercept[712]	6565.304072055596	74.70876287925942	2870.512629218633	1620.222456257371	1.0001013849087175
total_intercept[713]	9359.712635648071	74.58496129578015	3682.4980592748616	1474.2463586928568	0.9997679935358775
total_intercept[714]	5615.2066289369595	79.07469954292927	1741.6824328588013	1427.2044914858673	1.001260121078887
total_intercept[715]	6383.75116807688	88.57969738980042	3655.76656804606	1628.035666368701	1.0006541322719222
total_intercept[716]	6232.426537963066	125.80803994537561	3287.585313413315	1553.2211161190748	0.9996655995864603
total_intercept[717]	6954.759182331921	106.72108751352249	2399.0729957038707	1690.1521480544527	1.0002248119388848
total_intercept[718]	6782.802782064189	121.58763164464199	2780.7588120958285	1532.0540834552864	1.0011690028486862
total_intercept[719]	10157.481682537888	111.82887310256609	1740.8150553670823	1447.3350906283108	1.0000977521749548
total_intercept[720]	8772.619818200452	128.08999843195122	2536.8297624090496	1629.1108055250534	0.9995557069358727
total_load[701]	35.99739109449776	17.448683798805146	2712.8122770521672	1712.6313138975231	0.9998294200035506
total_load[702]	22.988900265150892	11.511417731136847	1745.6029625381689	1633.3329194542284	0.9995930061590322
total_load[703]	20.98106345398295	12.06578470760772	1767.3679399484618	1654.2291682232928	1.0001002125797396
total_load[704]	69.3016195995209	13.217116407059509	3849.5295897603096	1624.813411265381	1.0009941934101232
total_load[705]	37.871627820895014	15.262697334569925	2565.794917834706	1745.103559576283	1.000412485028808
total_load[706]	53.410821009060705	15.111201883853342	2655.0830618097716	1360.333881433828	1.0018353599970093
total_load[707]	58.08990227609206	16.39819993338438	2775.383994654942	1554.7236781450065	1.0028167595035529
total_load[708]	33.68964967197125	18.013643689196968	1350.3450230874778	1470.464230147429	1.0004114603358611
total_load[709]	14.557926085134612	19.38755513073485	3487.140914267403	1409.9998266182508	1.000874259330702
total_load[710]	-15.199563514783916	20.380456436051517	2055.308986255057	1491.9976717995426	1.0008330267110426
total_load[711]	71.80982614148094	22.277467368382116	2396.3671507439694	1449.6212261628393	1.0030273117264017
total_load[712]	174.99722987818774	24.723031905696427	3095.6993853440476	1546.6221651356782	0.9996288888428397
total_load[713]	44.99452933023675	24.239119657252676	3800.392314355438	1561.206104527225	1.0000477135183334
total_load[714]	56.82629406948847	25.523234173233906	1654.460802764229	1438.7669037677138	0.9996564756399994
total_load[715]	17.47901796982503	27.845260254090125	3022.8372823694076	1545.1399801149198	1.0006900215992889
total_load[716]	26.105784400037283	38.63071930611012	3336.1845482584126	1458.3204529195102	1.0017422201956483
total_load[717]	152.48059950793808	34.090133247073915	2324.221164104811	1541.3736770269854	1.0003596150690688
total_load[718]	169.68700316797486	39.42214630987402	2872.083632426231	1347.3657834365433	1.0010677669462553
total_load[719]	27.991433254691323	34.60227862973392	1926.7076180713182	1371.0046951432948	1.0000237337850486
total_load[720]	102.50684781570736	39.01289748721823	2493.1295349560974	1604.049011095757	0.999945217787923
