coordinate	candidate	loss
1	0.0	-0.013597129347001483
1	0.01	-0.01402400910968322
1	0.02	-0.014458454239970168
1	0.03	-0.014900691329493742
1	0.04	-0.015350956363682578
1	0.05	-0.015809495210647402
1	0.06	-0.01627656414083111
1	0.07	-0.016752430379707993
1	0.08	-0.017237372695984247
1	0.09	-0.01773168202800956
1	0.1	-0.018235662151288693
1	0.11	-0.01874963039030692
1	0.12	-0.01927391837805768
1	0.13	-0.01980887286714159
1	0.14	-0.02035485659644646
1	0.15	-0.02091224921794559
1	0.16	-0.021481448288538284
1	0.17	-0.02206287033224329
1	0.18	-0.022656951978675482
1	0.19	-0.02326415118422233
1	0.2	-0.023884948542989247
1	0.21	-0.024519848695298028
1	0.22	-0.02516938184225268
1	0.23	-0.025834105375819625
1	0.24	-0.026514605634734675
1	0.25	-0.027211499797708875
1	0.26	-0.02792543792656985
1	0.27	-0.028657105173295075
1	0.28	-0.02940722416641487
1	0.29	-0.030176557593982724
1	0.3	-0.030965911002134208
1	0.31	-0.03177613583042157
1	0.32	-0.03260813270754569
1	0.33	-0.03346285503374594
1	0.34	-0.03434131287922522
1	0.35	-0.035244577231445036
1	0.36	-0.03617378462801695
1	0.37	-0.037130142216459244
1	0.38	-0.038114933287076214
1	0.39	-0.03912952333110398
1	0.4	-0.04017536668278128
1	0.41	-0.04125401381166529
1	0.42	-0.042367119340109796
1	0.43	-0.043516450870808354
1	0.44	-0.04470389872077901
1	0.45	-0.04593148667132657
1	0.46	-0.04720138385884091
1	0.47	-0.0485159179489007
1	0.48	-0.04987758975668941
1	0.49	-0.05128908950056309
1	0.5	-0.05275331490339387
1	0.51	-0.05427339138877474
1	0.52	-0.05585269465721333
1	0.53	-0.057494875972041934
1	0.54	-0.05920389053733073
1	0.55	-0.06098402941203283
1	0.56	-0.06283995547793023
1	0.57	-0.06477674406584441
1	0.58	-0.06679992894799906
1	0.59	-0.0689155545276531
1	0.6	-0.07113023520447209
1	0.61	-0.07345122307078444
1	0.62	-0.0758864853061195
1	0.63	-0.07844479289334955
1	0.64	-0.08113582258882836
1	0.65	-0.08397027445340961
1	0.66	-0.08696000770576835
1	0.67	-0.09011819821249412
1	0.68	-0.09345952160346692
1	0.69	-0.09700036682365622
1	0.7	-0.10075908593728883
1	0.71	-0.10475628722759948
1	0.72	-0.10901518013271148
1	0.73	-0.11356198237991244
1	0.74	-0.11842640188591871
1	0.75	-0.12364220863782002
1	0.76	-0.12924791490328608
1	0.77	-0.13528758574654154
1	0.78	-0.14181180587060982
1	0.79	-0.1488788330151259
1	0.8	-0.15655597192491338
1	0.81	-0.16492120504601698
1	0.82	-0.17406511420733556
1	0.83	-0.1840931170593408
1	0.84	-0.19512801450314193
1	0.85	-0.2073127852134099
1	0.86	-0.22081344241408343
1	0.87	-0.23582153564233443
1	0.88	-0.25255544686294035
1	0.89	-0.2712588421699075
1	0.9	-0.2921932456306552
1	0.91	-0.3156193265756403
1	0.92	-0.3417576979931201
1	0.93	-0.37071467812217224
1	0.94	-0.40235298813942544
1	0.95	-0.43608787672168714
1	0.96	-0.4706120371984024
1	0.97	-0.5036264855872429
1	0.98	-0.5317933208652191
1	0.99	-0.5512380895671553
1	1.0	-0.5587426380311701
2	0.0	-0.056074466996422906
2	0.01	-0.05638970812682058
2	0.02	-0.0567106415847705
2	0.03	-0.05703744596762965
2	0.04	-0.05737030725178681
2	0.05	-0.05770941917663669
2	0.06	-0.0580549836527278
2	0.07	-0.0584072111959293
2	0.08	-0.05876632138950849
2	0.09	-0.05913254337629823
2	0.1	-0.05950611638319039
2	0.11	-0.05988729028051719
2	0.12	-0.06027632617899738
2	0.13	-0.060673497067304565
2	0.14	-0.06107908849335838
2	0.15	-0.06149339929307145
2	0.16	-0.061916742370275016
2	0.17	-0.06234944553214271
2	0.18	-0.06279185238474505
2	0.19	-0.06324432329383828
2	0.2	-0.06370723641647878
2	0.21	-0.06418098880961752
2	0.22	-0.06466599762244342
2	0.23	-0.06516270137996562
2	0.24	-0.06567156136596956
2	0.25	-0.06619306311455254
2	0.26	-0.06672771802017032
2	0.27	-0.06727606507735354
2	0.28	-0.0678386727624138
2	0.29	-0.06841614107076313
2	0.3	-0.0690091037250726
2	0.31	-0.06961823057114196
2	0.32	-0.07024423018030024
2	0.33	-0.07088785267934634
2	0.34	-0.0715498928315088
2	0.35	-0.07223119339468931
2	0.36	-0.0729326487864434
2	0.37	-0.07365520908875135
2	0.38	-0.07439988442977938
2	0.39	-0.07516774978451368
2	0.4	-0.07595995024152505
2	0.41	-0.07677770678932772
2	0.42	-0.07762232268282744
2	0.43	-0.0784951904585512
2	0.44	-0.07939779967672432
2	0.45	-0.08033174547914257
2	0.46	-0.08129873806437354
2	0.47	-0.08230061319643049
2	0.48	-0.08333934388008395
2	0.49	-0.08441705335580885
2	0.5	-0.08553602959061173
2	0.51	-0.08669874146814205
2	0.52	-0.08790785691358503
2	0.53	-0.08916626322648995
2	0.54	-0.0904770899393528
2	0.55	-0.09184373457269897
2	0.56	-0.09326989172027328
2	0.57	-0.09475958597311882
2	0.58	-0.09631720928109089
2	0.59	-0.09794756345832296
2	0.6	-0.09965590866909507
2	0.61	-0.1014480188877368
2	0.62	-0.10333024551681848
2	0.63	-0.10530959058003074
2	0.64	-0.10739379118982578
2	0.65	-0.10959141733787602
2	0.66	-0.11191198548492727
2	0.67	-0.11436609095632792
2	0.68	-0.11696556280685166
2	0.69	-0.11972364563739163
2	0.7	-0.12265521387019769
2	0.71	-0.1257770252748873
2	0.72	-0.12910802215672898
2	0.73	-0.13266969066508358
2	0.74	-0.13648649127301887
2	0.75	-0.14058637677193453
2	0.76	-0.14500141831069957
2	0.77	-0.1497685653267918
2	0.78	-0.1549305719549813
2	0.79	-0.16053713098278233
2	0.8	-0.16664626697671123
2	0.81	-0.17332605305558044
2	0.82	-0.18065673083606879
2	0.83	-0.18873332939986215
2	0.84	-0.1976688939450402
2	0.85	-0.20759844127062935
2	0.86	-0.2186837420866213
2	0.87	-0.23111895635051743
2	0.88	-0.24513694797134755
2	0.89	-0.2610156353620165
2	0.9	-0.27908270033186705
2	0.91	-0.29971479110534904
2	0.92	-0.3233228839812068
2	0.93	-0.3503067143668879
2	0.94	-0.38094531863809705
2	0.95	-0.41516645067769253
2	0.96	-0.45211642257225926
2	0.97	-0.48949116719493047
2	0.98	-0.5228395236720182
2	0.99	-0.5456460355565957
2	1.0	-0.5513935211590882
3	0.0	-0.04431845532751369
3	0.01	-0.04475929308658263
3	0.02	-0.04520715459287352
3	0.03	-0.04566225680232355
3	0.04	-0.04612482566739104
3	0.05	-0.04659509660417311
3	0.06	-0.04707331498888526
3	0.07	-0.047559736685855024
3	0.08	-0.048054628609407284
3	0.09	-0.04855826932218581
3	0.1	-0.04907094967269461
3	0.11	-0.04959297347506192
3	0.12	-0.0501246582344055
3	0.13	-0.050666335921226706
3	0.14	-0.0512183537989485
3	0.15	-0.051781075308703066
3	0.16	-0.05235488101615683
3	0.17	-0.05294016962541037
3	0.18	-0.05353735906563539
3	0.19	-0.05414688765651037
3	0.2	-0.05476921535928871
3	0.21	-0.05540482512080063
3	0.22	-0.05605422431857658
3	0.23	-0.05671794631606001
3	0.24	-0.05739655213773434
3	0.25	-0.0580906322750976
3	0.26	-0.058800808635513666
3	0.27	-0.05952773664722574
3	0.28	-0.06027210753531197
3	0.29	-0.06103465078490388
3	0.3	-0.06181613680982254
3	0.31	-0.06261737984682772
3	0.32	-0.06343924109794304
3	0.33	-0.0642826321458894
3	0.34	-0.06514851867062554
3	0.35	-0.0660379244982621
3	0.36	-0.06695193601735028
3	0.37	-0.06789170700185844
3	0.38	-0.06885846388495243
3	0.39	-0.069853511533218
3	0.4	-0.07087823957733219
3	0.41	-0.07193412936231994
3	0.42	-0.07302276158891133
3	0.43	-0.07414582472692428
3	0.44	-0.07530512429267387
3	0.45	-0.07650259309489771
3	0.46	-0.07774030256837978
3	0.47	-0.07902047533133699
3	0.48	-0.08034549912227998
3	0.49	-0.08171794229485495
3	0.5	-0.08314057107589999
3	0.51	-0.08461636882303339
3	0.52	-0.08614855755465677
3	0.53	-0.08774062206815672
3	0.54	-0.08939633701261333
3	0.55	-0.0911197973420842
3	0.56	-0.09291545264620556
3	0.57	-0.09478814593889201
3	0.58	-0.09674315758590234
3	0.59	-0.09878625517157659
3	0.6	-0.1009237502480979
3	0.61	-0.10316256308262568
3	0.62	-0.10551029672477226
3	0.63	-0.10797532196724659
3	0.64	-0.11056687507588599
3	0.65	-0.1132951705341152
3	0.66	-0.11617153149638305
3	0.67	-0.11920854119457253
3	0.68	-0.12242021921457287
3	0.69	-0.1258222273869242
3	0.7	-0.12943211105255154
3	0.71	-0.13326958271764025
3	0.72	-0.13735685665618813
3	0.73	-0.1417190449216883
3	0.74	-0.14638462756902035
3	0.75	-0.15138601275221095
3	0.76	-0.15676020584465325
3	0.77	-0.1625496109051262
3	0.78	-0.16880299272036628
3	0.79	-0.1755766332177197
3	0.8	-0.18293572194708013
3	0.81	-0.19095602578795853
3	0.82	-0.19972588631676566
3	0.83	-0.2093485908491985
3	0.84	-0.2199451481352431
3	0.85	-0.2316574587306389
3	0.86	-0.24465177798075582
3	0.87	-0.2591221790202536
3	0.88	-0.27529334646845965
3	0.89	-0.2934213085598129
3	0.9	-0.31378936288760756
3	0.91	-0.33669399426918994
3	0.92	-0.3624113177164886
3	0.93	-0.3911277549087585
3	0.94	-0.4228095081465698
3	0.95	-0.45697860905404436
3	0.96	-0.49237630623143497
3	0.97	-0.5265686202927385
3	0.98	-0.5557347206090428
3	0.99	-0.5751161295917514
3	1.0	-0.5805063084822167
4	0.0	-0.17683635233212974
4	0.01	-0.17840238902433359
4	0.02	-0.17999508162775252
4	0.03	-0.18161509972001116
4	0.04	-0.18326313390469623
4	0.05	-0.18493989655265705
4	0.06	-0.18664612256862426
4	0.07	-0.18838257018352017
4	0.08	-0.19015002177290333
4	0.09	-0.19194928470180372
4	0.1	-0.19378119219612353
4	0.11	-0.19564660424070418
4	0.12	-0.19754640850407212
4	0.13	-0.1994815212894672
4	0.14	-0.20145288851199888
4	0.15	-0.20346148670102074
4	0.16	-0.20550832402719266
4	0.17	-0.20759444135260577
4	0.18	-0.20972091330286535
4	0.19	-0.2118888493589885
4	0.2	-0.21409939496670174
4	0.21	-0.2163537326604756
4	0.22	-0.2186530831983275
4	0.23	-0.2209987067037167
4	0.24	-0.22339190380907445
4	0.25	-0.225834016795234
4	0.26	-0.2283264307198181
4	0.27	-0.230870574526273
4	0.28	-0.2334679221240942
4	0.29	-0.23611999342921844
4	0.3	-0.2388283553516264
4	0.31	-0.24159462271538062
4	0.32	-0.2444204590938787
4	0.33	-0.24730757754074076
4	0.34	-0.25025774119352945
4	0.35	-0.2532727637243797
4	0.36	-0.256354509607834
4	0.37	-0.25950489417172906
4	0.38	-0.26272588339257247
4	0.39	-0.26601949339077535
4	0.4	-0.2693877895758857
4	0.41	-0.27283288538408557
4	0.42	-0.2763569405433928
