parameter	mean	sd	bulk_ess	tail_ess	split_rhat
log_tau_intercept	7.814776708223591	0.16138444643284802	4086.144681634618	1429.4556824489266	1.0015296968720515
log_tau_load	4.104062138216847	0.22094198223009465	2628.4823085783537	1396.2121978991524	1.000380084585864
log_sigma_intercept	6.051993448489366	0.015541422267938969	3629.4185337913614	1142.8057276629304	1.0004122031883118
log_sigma_subj_slope	0.07820619700029315	0.0028692934780287253	3928.057405882297	1221.0350303719501	1.0002626371731957
total_intercept[701]	613.656436223598	53.366231810409836	3057.9712261547884	1553.4133749496564	1.0013651520319158
total_intercept[702]	1554.5199640023288	34.73455384354373	3036.8843480317983	1456.8040993747375	1.0004657007591313
total_intercept[703]	1834.5099104025853	37.46820691445482	3126.976305648421	1751.5593972801016	1.0006533204637098
total_intercept[704]	4817.942544632783	41.013846303044524	2402.8829530775147	1373.0782096136675	1.0014327616474337
total_intercept[705]	4120.457783902885	47.627475688811565	3710.332504069526	1268.5294995851664	1.006714230840906
total_intercept[706]	5509.896197805445	46.29753732992898	3600.124561714483	1468.7715594906624	0.9997012510472533
total_intercept[707]	5381.949075288031	50.034410825510754	3379.7724722980597	1751.5593972801016	0.9995692405449567
total_intercept[708]	5018.695717587143	53.97519448031758	2989.0384350785116	1552.2996418367716	0.9999658711937363
total_intercept[709]	4327.074941603787	58.04642910049603	2227.84075215318	1632.5693485981449	1.001450349407473
total_intercept[710]	5654.172892048614	63.492709721854574	2430.084198452018	1843.8551540031692	0.9997955898312538
total_intercept[711]	3733.6915074313983	66.7913237774456	2912.839684473149	1653.918908617152	1.0018083815289158
total_intercept[712]	6560.586517182416	74.49549036848816	2469.7552767407074	1653.987035050605	0.9999013653314731
total_intercept[713]	9358.049016317498	76.95895186325293	2384.9481914321473	1570.2016808270014	1.0053679959387263
total_intercept[714]	5619.263827836001	81.31093865946072	2406.2140415019567	1776.7841974173145	1.0014671777305866
total_intercept[715]	6387.142721432107	89.01860053336551	3184.5259556453725	1594.9321611731825	0.9996331158714914
total_intercept[716]	6232.810107813039	125.15352077415383	3638.8263743062394	1555.8206060066475	0.9995680636260704
total_intercept[717]	6956.729610961873	105.85599539915694	2164.8238489608884	1395.0170821793035	0.9998132301524758
total_intercept[718]	6782.567403436459	115.94498065741487	2134.641102320312	1569.6774585971325	0.9999557745678477
total_intercept[719]	10159.240716442277	118.03807954174601	3306.428485496701	1368.0227732546796	1.0019059631071787
total_intercept[720]	8772.491237945931	124.4696873488781	3206.864693821358	1518.1204983354212	0.999708842545662
total_load[701]	35.98680843376583	17.76160352826702	2784.263908357235	1354.250091414201	1.0018358170821133
total_load[702]	22.53473391799663	11.448912684567935	2984.7095162490973	1502.1810722802536	0.9998098495288777
total_load[703]	20.85532556583605	12.241731637209096	2702.0256436880127	1660.6105878476012	1.0002693478261817
total_load[704]	69.11259915973176	13.606939893447969	2470.136824323899	1576.0751079289605	1.000651201115223
total_load[705]	37.30867727654157	15.295240036448401	3944.4594678321405	1412.7731535674325	1.0021850473531986
total_load[706]	52.95850989930189	14.906437018343816	3724.8389242468966	1540.7936788556572	0.9996235655136424
total_load[707]	57.784347112283385	16.415650718928315	3434.828332363675	1604.258593239626	1.0001408267437246
total_load[708]	33.75918523330267	17.87496288836158	2947.9798869812103	1675.2038387701712	1.0002426677604046
total_load[709]	15.436236021443044	19.135796206006653	2256.3456193015213	1783.6957031443326	1.000223579976913
total_load[710]	-15.221001793219552	20.766313059485782	2256.3303807323505	1599.5558572600282	0.9999179935851659
total_load[711]	72.99221227205005	21.470314935484808	2816.082399614513	1563.3843445831255	1.001475008129592
total_load[712]	176.02215697541524	24.49854403371669	2528.951810363835	1620.2643915322715	0.9997695369182605
total_load[713]	45.24798047151945	25.24823348753597	2388.2334539981275	1398.9889504709756	1.0001417661616234
total_load[714]	54.93653073378412	26.233970411793013	2699.3361571459754	1644.410018592858	1.0007517784872944
total_load[715]	16.7606238530958	28.15100953794878	2725.0314770432556	1728.2479857701567	1.0001068566221885
total_load[716]	25.507769525561496	37.88306730558196	3430.4913932609966	1603.3883944617603	1.0004517274857352
total_load[717]	151.7536783404164	34.53094312590936	2184.8695047542064	1533.9405370883567	1.0001533509658584
total_load[718]	170.53067996006408	37.062044376788904	2440.68177280376	1412.5315235684532	0.999711534622995
total_load[719]	27.265559073552172	35.63312981577451	2969.6022736608384	1596.0212147672203	1.0003145043225443
total_load[720]	102.93329684416341	37.99990111457768	3079.170275373653	1542.1541501655627	1.0001384061590877
log_intercept_mixture_precision	0.01957540231339858	0.7998088486570601	3233.926105043712	1174.4158637568717	1.0027252560401125
